snr_db,mode,packets,total_symbols,correct_symbols,overall_ser,payload_template_known_total,byte_symbol_prior_known_total,reconstructed_exact,reconstructed_compared,reconstructed_unknown_bytes_total,header_methods,summary_path
-23,session_residual,5,175,156,0.1086,150,150,5,5,0,"{""session_header_prior_forced"": 5}",D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\session_sweep_profile\snr_m23dB\session_residual\0_0_0_10_14_16_snr_m23dB_phase_guided_summary.csv
-23,session_residual_profile,5,175,155,0.1143,150,150,5,5,0,"{""session_header_prior_forced"": 5}",D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\session_sweep_profile\snr_m23dB\session_residual_profile\0_0_0_10_14_16_snr_m23dB_phase_guided_summary.csv
-27,session_residual,5,175,150,0.1429,150,150,5,5,0,"{""session_header_prior_forced"": 5}",D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\session_sweep_profile\snr_m27dB\session_residual\0_0_0_10_14_16_snr_m27dB_phase_guided_summary.csv
-27,session_residual_profile,5,175,150,0.1429,150,150,5,5,0,"{""session_header_prior_forced"": 5}",D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\session_sweep_profile\snr_m27dB\session_residual_profile\0_0_0_10_14_16_snr_m27dB_phase_guided_summary.csv
