"trial_id","packet_id","reference_id","esn0_db","seed","sync_status","estimate_available","strict_gate","decoder_aware_gate","extra_decoder_candidate","gate_failure_reasons","strict_crc_accept","decoder_aware_crc_accept","strict_packet_delivered","decoder_aware_packet_delivered","oracle_packet_delivered","ridge_top_k","ridge_packet_delivered","ridge_crc_accept","ridge_crc_false_delivery","ridge_rescue_over_decoder_aware","ridge_regression_vs_decoder_aware","ridge_candidate_count","ridge_decoder_attempts","ridge_selected_candidate","ridge_selected_sfd_peak_rank","ridge_selected_delta_cfo_bins","ridge_selected_delta_payload_samples","strict_crc_false_delivery","decoder_aware_crc_false_delivery","extra_candidate_crc_rescue","extra_candidate_crc_reject","extra_candidate_crc_false_accept","fec_corrected_packet","current_all_symbol_errors","sync_ms","current_decode_ms","oracle_decode_ms","ridge_list_generation_ms","ridge_decode_operational_ms","strict_modeled_decode_ms","decoder_aware_modeled_decode_ms","extra_modeled_decode_ms","signal_power","added_noise_power","current_decode_status","current_header_valid","current_crc_valid","current_payload_exact","current_payload_hex","current_header_symbols_decoded","current_payload_symbols_decoded","current_header_symbol_errors","current_payload_symbol_errors","oracle_decode_status","oracle_header_valid","oracle_crc_valid","oracle_payload_exact","oracle_payload_hex","oracle_header_symbols_decoded","oracle_payload_symbols_decoded","oracle_header_symbol_errors","oracle_payload_symbol_errors","frame_sync_valid","netid_valid","noisy_cfo_total_bins","noisy_payload_start_sample"
"exp0_000000_rxg20_0_fulltrim:10:20260821","exp0_000000_rxg20_0_fulltrim","0","10.0","20260821","no_preamble","0","0","0","0","frame_location_missing|frame_sync_missing","0","0","0","0","0","4","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","64","316.71170000026905","0.02570000015111873","71.53879999987112","0.011200000244571129","0.010700000075303251","0.0","0.0","0.0","6.153250447488309e-08","2.5203713832912115e-05","sync_missing","0","0","0","","0","0","8","56","header_invalid","0","0","0","","8","0","6","56","","","",""
"exp0_000002_rxg20_0_fulltrim:10:20260821","exp0_000002_rxg20_0_fulltrim","2","10.0","20260821","no_preamble","0","0","0","0","frame_location_missing|frame_sync_missing","0","0","0","0","0","4","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","64","301.2554000001728","0.03980000019510044","81.21269999992364","0.01939999992828234","0.014899999769113492","0.0","0.0","0.0","2.9434755784562603e-08","1.2056475969356841e-05","sync_missing","0","0","0","","0","0","8","56","header_invalid","0","0","0","","8","0","4","56","","","",""
"exp0_000003_rxg20_0_fulltrim:10:20260821","exp0_000003_rxg20_0_fulltrim","3","10.0","20260821","sync_invalid","1","0","0","0","locator_sync2|locator_sfd|framesync_preamble_all_bin0|framesync_netid","0","0","0","0","0","4","0","0","0","0","0","4","4","","","","","0","0","0","0","0","0","64","32404.392700000244","58.417499999904976","414.82810000024983","98.6044999999649","242.55679999987478","0.0","0.0","0.0","5.3735255547964695e-08","2.200996067244634e-05","header_invalid","0","0","0","","8","0","8","56","ok","1","0","0","404453025502050050090054c39dd48e5beceb115be2d3bdb96c37843778563412","8","56","2","24","0","0","-1000.877327573274","666578"
"exp0_000004_rxg20_0_fulltrim:10:20260821","exp0_000004_rxg20_0_fulltrim","4","10.0","20260821","sync_invalid","1","0","1","1","framesync_preamble_all_bin0","0","0","0","0","0","4","0","0","0","0","0","4","4","","","","","0","0","0","1","0","0","32","31507.704699999977","374.06490000012127","374.43519999987984","86.93039999980101","572.3127000001114","0.0","374.06490000012127","374.06490000012127","6.126035586516529e-08","2.50922417623717e-05","ok","1","0","0","40c43322110001b058a69913a08f642ba3a84c91c2d73b12374dd5d45b68463412","8","56","2","30","ok","1","0","0","40c43322110001b058a69913a08f646ba3a84c91c2d73b12374dd5d45b68463412","8","56","2","30","0","1","-128.8508798245203","673552"
"exp0_000005_rxg20_0_fulltrim:10:20260821","exp0_000005_rxg20_0_fulltrim","5","10.0","20260821","sync_invalid","1","0","1","1","framesync_preamble_all_bin0","0","0","0","0","0","4","0","0","0","0","0","4","4","","","","","0","0","0","1","0","0","28","37218.440000000104","717.5324999998338","636.47439999977","146.96269999967626","1506.7796999996972","0.0","717.5324999998338","717.5324999998338","7.242874646077204e-08","2.9666814550332227e-05","ok","1","0","0","0c40534215602100d89580f19cbc23747b66fbc40c75a36344928274c9785634f2","8","56","3","25","ok","1","0","0","0c40534217620100d89580f19cbc23747b66fbc40c75a34364908274c9785634f2","8","56","3","25","0","1","-128.7464815729146","673551"
"exp0_000006_rxg20_0_fulltrim:10:20260821","exp0_000006_rxg20_0_fulltrim","6","10.0","20260821","sync_invalid","1","0","0","0","locator_preamble_stability|locator_sfd|framesync_preamble_all_bin0|framesync_netid","0","0","0","0","0","4","0","0","0","0","0","4","4","","","","","0","0","0","0","0","0","64","52335.88959999997","69.90689999975075","63.75979999984338","98.41430000005857","221.03839999999764","0.0","0.0","0.0","7.561376789538686e-08","3.097139932995046e-05","header_invalid","0","0","0","","8","0","8","56","header_invalid","0","0","0","","8","0","3","56","0","0","651.2268010671378","679788"
"exp0_000007_rxg20_0_fulltrim:10:20260821","exp0_000007_rxg20_0_fulltrim","7","10.0","20260821","no_preamble","0","0","0","0","frame_location_missing|frame_sync_missing","0","0","0","0","0","4","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","64","363.1051999996089","0.046999999995023245","78.107700000146","0.020400000266818097","0.014100000043981709","0.0","0.0","0.0","7.449895515307498e-08","3.051477203069951e-05","sync_missing","0","0","0","","0","0","8","56","header_invalid","0","0","0","","8","0","2","56","","","",""
"exp0_000008_rxg20_0_fulltrim:10:20260821","exp0_000008_rxg20_0_fulltrim","8","10.0","20260821","no_preamble","0","0","0","0","frame_location_missing|frame_sync_missing","0","0","0","0","0","4","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","64","334.66709999993327","0.024199999643315095","85.87189999980183","0.026199999865639256","0.016599999980826396","0.0","0.0","0.0","6.982488910305618e-08","2.860027457661181e-05","sync_missing","0","0","0","","0","0","8","56","header_invalid","0","0","0","","8","0","2","56","","","",""
"exp0_000000_rxg20_0_fulltrim:10:20260822","exp0_000000_rxg20_0_fulltrim","0","10.0","20260822","no_preamble","0","0","0","0","frame_location_missing|frame_sync_missing","0","0","0","0","0","4","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","64","359.4218999996883","0.027099999897473026","100.92050000002928","0.019699999938893598","0.012900000001536682","0.0","0.0","0.0","6.153250447488309e-08","2.5203713832912115e-05","sync_missing","0","0","0","","0","0","8","56","header_invalid","0","0","0","","8","0","7","56","","","",""
"exp0_000002_rxg20_0_fulltrim:10:20260822","exp0_000002_rxg20_0_fulltrim","2","10.0","20260822","no_preamble","0","0","0","0","frame_location_missing|frame_sync_missing","0","0","0","0","0","4","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","64","329.9301000001833","0.021100000139995245","100.5088000001706","0.012700000297627412","0.011699999959091656","0.0","0.0","0.0","2.9434755784562603e-08","1.2056475969356841e-05","sync_missing","0","0","0","","0","0","8","56","header_invalid","0","0","0","","8","0","3","56","","","",""
