dataset,method,baseline,metric,method_threshold_snr_db,baseline_threshold_snr_db,gain_db,status
0_0_0_10_14_8,selected,center,CRC/PRR>=90%,-18.0,-15.333333333333334,2.666666666666666,ok
0_0_0_10_14_8,selected,center,CRC/PRR>=80%,-19.0,-15.666666666666666,3.333333333333334,ok
0_0_0_10_14_8,selected,center,CRC/PRR>=50%,-21.0,-17.5,3.5,ok
0_0_0_10_14_8,multi,center,SER<=10%,-20.633333333333333,-17.565217391304348,3.068115942028985,ok
0_0_0_10_14_8,multi,center,accuracy>=90%,-20.633333333333333,-17.565217391304348,3.068115942028985,ok
0_0_0_10_14_8,multi,center,CRC/PRR>=90%,-18.0,-15.333333333333334,2.666666666666666,ok
0_0_0_10_14_8,multi,center,CRC/PRR>=80%,-19.0,-15.666666666666666,3.333333333333334,ok
0_0_0_10_14_8,multi,center,CRC/PRR>=50%,-21.0,-17.5,3.5,ok
0_0_0_10_14_8,selected,multi,SER<=10%,-20.678571428571427,-20.633333333333333,0.04523809523809419,ok
0_0_0_10_14_8,selected,multi,accuracy>=90%,-20.678571428571427,-20.633333333333333,0.04523809523809419,ok
0_0_0_10_14_8,selected,multi,CRC/PRR>=90%,-18.0,-18.0,0.0,ok
0_0_0_10_14_8,selected,multi,CRC/PRR>=80%,-19.0,-19.0,0.0,ok
0_0_0_10_14_8,selected,multi,CRC/PRR>=50%,-21.0,-21.0,0.0,ok
mean_of_datasets,selected,center,SER<=10%,-20.711304807184362,-17.23010193016699,3.4812028770173704,ok
mean_of_datasets,selected,center,accuracy>=90%,-20.711304807184362,-17.23010193016699,3.4812028770173704,ok
mean_of_datasets,selected,center,CRC/PRR>=90%,-18.299319727891156,-15.169435215946844,3.1298845119443115,ok
mean_of_datasets,selected,center,CRC/PRR>=80%,-19.270042194092827,-15.93687707641196,3.333165117680867,ok
mean_of_datasets,selected,center,CRC/PRR>=50%,-20.74304068522484,-17.110983981693362,3.632056703531479,ok
mean_of_datasets,multi,center,SER<=10%,-20.612085308056873,-17.23010193016699,3.381983377889881,ok
mean_of_datasets,multi,center,accuracy>=90%,-20.612085308056873,-17.23010193016699,3.381983377889881,ok
mean_of_datasets,multi,center,CRC/PRR>=90%,-17.82312925170068,-15.169435215946844,2.653694035753837,ok
mean_of_datasets,multi,center,CRC/PRR>=80%,-19.270042194092827,-15.93687707641196,3.333165117680867,ok
mean_of_datasets,multi,center,CRC/PRR>=50%,-20.601386481802425,-17.110983981693362,3.490402500109063,ok
mean_of_datasets,selected,multi,SER<=10%,-20.711304807184362,-20.612085308056873,0.09921949912748929,ok
mean_of_datasets,selected,multi,accuracy>=90%,-20.711304807184362,-20.612085308056873,0.09921949912748929,ok
mean_of_datasets,selected,multi,CRC/PRR>=90%,-18.299319727891156,-17.82312925170068,0.4761904761904745,ok
mean_of_datasets,selected,multi,CRC/PRR>=80%,-19.270042194092827,-19.270042194092827,0.0,ok
mean_of_datasets,selected,multi,CRC/PRR>=50%,-20.74304068522484,-20.601386481802425,0.14165420342241575,ok
