file_name,packet_index,event_index,anchor_count,preamble_len,sf,bw,samp_rate,cfo_int,cfo_frac,sfo_hat,netid_valid,payload_cfo_correction_mode,anchor_slope_pi_per_symbol,anchor_intercept_pi,anchor_fit_r2,anchor_fit_rmse_pi,anchor_residual_std_pi,anchor_residual_peak_to_peak_pi,anchor_bin_mode,anchor_bin,anchor_signed_bin,anchor_bin_argmax_rate,anchor_mean_er,anchor_mean_margin_db,payload_symbol_count,payload_phase_offset_rad,payload_phase_offset_pi,payload_residual_direct_rmse_pi,payload_residual_direct_std_pi,payload_residual_aligned_rmse_pi,payload_residual_aligned_std_pi,payload_residual_aligned_peak_to_peak_pi,payload_own_slope_pi_per_symbol,payload_own_fit_r2,payload_own_fit_rmse_pi,preamble_payload_slope_delta_pi_per_symbol,payload_argmax_correct_rate,payload_gt_top8_recall,payload_gt_top16_recall,payload_gt_top32_recall,payload_mean_gt_rank,payload_mean_gt_er
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,1,1,12,16.0,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,1,continuous,-0.840547406338326,0.3383108791634211,0.999377507203626,0.07241724317676623,0.07241724317676623,0.28894595441441734,modal_argmax,1,1,1.0,0.7881858651120379,19.897601664661526,35,-1.1293536839040788,-0.35948444258475204,0.5803773332760821,0.5767318001749443,0.5726268314572469,0.5725588726681592,1.9685242797228144,-0.05404652253670309,0.9451945794000373,0.1314374086043778,0.786500883801623,1.0,1.0,1.0,1.0,1.0,0.7918576734151025
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,2,2,12,16.0,10,125000.0,500000.0,-24,-0.27825675980667963,-0.006222641162550411,1,continuous,-0.5256184160794385,0.01812941879368399,0.9920584031839665,0.16234288748335166,0.16234288748335166,0.6551423098131034,modal_argmax,1,1,1.0,0.7647311393999012,18.950567201572255,35,0.25345146298002447,0.08067610633428683,0.5617409333502698,0.5596070246999024,0.556975581486283,0.5563968667351732,1.8327251644092888,-0.09982351947389313,0.9705829797324523,0.17551569893339264,0.42579489660554537,1.0,1.0,1.0,1.0,1.0,0.7786928224356088
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,3,3,12,16.0,10,125000.0,500000.0,-24,-0.22814255140766385,-0.006209796635074755,1,continuous,-0.4714991938838522,-0.30804480897647035,0.9938739539478677,0.12778586709250864,0.12778586709250866,0.49174984046427206,modal_argmax,1,1,1.0,0.7658170033359717,18.81005424798879,35,0.8561080292181644,0.27250764934146327,0.5746890988802338,0.574223669929282,0.5604865706326967,0.5550389733996847,1.782898862868651,-0.10715310839377311,0.9710404698284352,0.18688822987044112,0.3643460854900791,1.0,1.0,1.0,1.0,1.0,0.7825964113984692
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,5,5,12,16.0,10,125000.0,500000.0,-24,-0.2470649666885119,-0.006214646546721477,1,continuous,-0.4916494204597258,-0.8523870080679317,0.9998157407634266,0.023040270634668517,0.023040270634668517,0.08359682276109491,modal_argmax,1,1,1.0,0.8412490143265874,28.056761721177534,35,1.0570255797081158,0.3364616919702457,0.5692811223016807,0.5657858602084573,0.5609998572510226,0.559199904148513,1.9252186690149797,-0.11479103658933575,0.9721954539771352,0.19606007970398928,0.37685838387039006,1.0,1.0,1.0,1.0,1.0,0.8215266995304912
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,6,6,12,16.0,10,125000.0,500000.0,-24,-0.2696020429472565,-0.006220422914431837,1,continuous,-0.5157439540711081,0.031472346145174065,0.996354557376267,0.1076910766918853,0.10769107669188528,0.4423538635716041,modal_argmax,1,1,1.0,0.8208687243241252,20.53419585638062,35,1.8929780025462768,0.6025536125389248,0.5781612090649594,0.5781488494761363,0.5669168917732563,0.566480591063301,1.9000665596736872,-0.12256638084554072,0.9736761035187537,0.20353508349484112,0.39317757322556735,1.0,1.0,1.0,1.0,1.0,0.7987397127635228
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,8,8,12,16.0,10,125000.0,500000.0,-24,-0.3483401354552673,-0.006240603889546665,1,continuous,-0.6779679361255497,-0.9522194592143525,0.998748082106106,0.08286029874826582,0.08286029874826582,0.3417587373524859,modal_argmax,1,1,1.0,0.8265007972569891,22.733863444746564,35,-0.4539853202416052,-0.14450801561521712,0.562011375174147,0.5613903823457476,0.5685214925942862,0.5655909026105753,1.909110783872305,-0.12008088873379838,0.9724390582765607,0.20416900333896149,0.5578870473917513,1.0,1.0,1.0,1.0,1.0,0.8209265681858195
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,9,9,12,16.0,10,125000.0,500000.0,-24,-0.3905926756700688,-0.006251433431328191,1,continuous,-0.722553343934385,-1.0580424525459913,0.9826897580517178,0.33104776881704684,0.33104776881704684,1.3225901770877924,modal_argmax,1,1,1.0,0.8337097315442139,26.511156622504725,35,-1.9066169760835399,-0.6068950326532347,0.589340489750845,0.5859297165346978,0.5725199232027758,0.5661764793331235,1.9096289582145909,-0.11815086862308258,0.9724006806400374,0.20103124559288468,0.6044024753113024,1.0,1.0,1.0,1.0,1.0,0.8196537319473856
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,10,12,16.0,10,125000.0,500000.0,-24,-0.439221980632291,-0.006263897370471676,1,continuous,-0.8537605177069528,0.7011078258563797,0.9980790067179064,0.12929863058096513,0.12929863058096513,0.5189322954734634,modal_argmax,1,1,1.0,0.8068606505848362,19.15522786450433,35,-2.4444233966717244,-0.7780841331795716,0.5934873446698048,0.5896809941132813,0.5730922063655138,0.5729675991045117,1.9106618612961968,-0.12343023171817927,0.9726056702865761,0.20921054502214867,0.7303302859887736,1.0,1.0,1.0,1.0,1.0,0.8107315984044784
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,11,11,12,16.0,10,125000.0,500000.0,-24,0.12328787264913654,-0.0061197232231266305,1,continuous,0.21277480709188804,-0.17542944554455323,0.905751092232563,0.23693615198459275,0.23693615198459272,0.9107766271601777,modal_argmax,0,0,1.0,0.8730904732109451,25.39817877026586,35,-2.952698333393568,-0.9398730704375751,0.5984401286064289,0.5915662906800109,0.5030028521058879,0.4988042026775271,1.6711954005719032,-0.158215864105361,0.6225585681772449,1.2441845142537302,-0.37099067119724904,1.0,1.0,1.0,1.0,1.0,0.8503624997760973
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,12,12,12,16.0,10,125000.0,500000.0,-24,-0.11851083147497382,-0.006181697465520549,1,continuous,-0.19991807757999364,-0.5022639119436643,0.9241844948535675,0.1976647102239312,0.19766471022393114,0.8043343193171083,modal_argmax,0,0,1.0,0.9019291365779883,30.1712580557133,35,0.8191854677482557,0.26075483300236263,0.5211070877219692,0.5141345304497991,0.49365686450043855,0.4936375590784033,1.859973920115792,-0.19441250008934827,0.8293442153195204,0.8906711152005304,0.005505577490645369,1.0,1.0,1.0,1.0,1.0,0.8704455447253877
