file_name,packet_index,event_index,anchor_count,preamble_len,sf,bw,samp_rate,cfo_int,cfo_frac,sfo_hat,netid_valid,payload_cfo_correction_mode,anchor_slope_pi_per_symbol,anchor_intercept_pi,anchor_fit_r2,anchor_fit_rmse_pi,anchor_residual_std_pi,anchor_residual_peak_to_peak_pi,anchor_bin_mode,anchor_bin,anchor_signed_bin,anchor_bin_argmax_rate,anchor_mean_er,anchor_mean_margin_db,payload_symbol_count
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,1,1,12,16.0,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,1,continuous,-0.840547406338326,0.3383108791634211,0.999377507203626,0.07241724317676623,0.07241724317676623,0.28894595441441734,modal_argmax,1,1,1.0,0.7881858651120379,19.897601664661526,0
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,2,2,12,16.0,10,125000.0,500000.0,-24,-0.27825675980667963,-0.006222641162550411,1,continuous,-0.5256184160794385,0.01812941879368399,0.9920584031839665,0.16234288748335166,0.16234288748335166,0.6551423098131034,modal_argmax,1,1,1.0,0.7647311393999012,18.950567201572255,0
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,3,3,12,16.0,10,125000.0,500000.0,-24,-0.22814255140766385,-0.006209796635074755,1,continuous,-0.4714991938838522,-0.30804480897647035,0.9938739539478677,0.12778586709250864,0.12778586709250866,0.49174984046427206,modal_argmax,1,1,1.0,0.7658170033359717,18.81005424798879,0
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,5,5,12,16.0,10,125000.0,500000.0,-24,-0.2470649666885119,-0.006214646546721477,1,continuous,-0.4916494204597258,-0.8523870080679317,0.9998157407634266,0.023040270634668517,0.023040270634668517,0.08359682276109491,modal_argmax,1,1,1.0,0.8412490143265874,28.056761721177534,0
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,6,6,12,16.0,10,125000.0,500000.0,-24,-0.2696020429472565,-0.006220422914431837,1,continuous,-0.5157439540711081,0.031472346145174065,0.996354557376267,0.1076910766918853,0.10769107669188528,0.4423538635716041,modal_argmax,1,1,1.0,0.8208687243241252,20.53419585638062,0
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,8,8,12,16.0,10,125000.0,500000.0,-24,-0.3483401354552673,-0.006240603889546665,1,continuous,-0.6779679361255497,-0.9522194592143525,0.998748082106106,0.08286029874826582,0.08286029874826582,0.3417587373524859,modal_argmax,1,1,1.0,0.8265007972569891,22.733863444746564,0
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,9,9,12,16.0,10,125000.0,500000.0,-24,-0.3905926756700688,-0.006251433431328191,1,continuous,-0.722553343934385,-1.0580424525459913,0.9826897580517178,0.33104776881704684,0.33104776881704684,1.3225901770877924,modal_argmax,1,1,1.0,0.8337097315442139,26.511156622504725,0
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,10,12,16.0,10,125000.0,500000.0,-24,-0.439221980632291,-0.006263897370471676,1,continuous,-0.8537605177069528,0.7011078258563797,0.9980790067179064,0.12929863058096513,0.12929863058096513,0.5189322954734634,modal_argmax,1,1,1.0,0.8068606505848362,19.15522786450433,0
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,11,11,12,16.0,10,125000.0,500000.0,-24,0.12328787264913654,-0.0061197232231266305,1,continuous,0.21277480709188804,-0.17542944554455323,0.905751092232563,0.23693615198459275,0.23693615198459272,0.9107766271601777,modal_argmax,0,0,1.0,0.8730904732109451,25.39817877026586,0
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,12,12,12,16.0,10,125000.0,500000.0,-24,-0.11851083147497382,-0.006181697465520549,1,continuous,-0.19991807757999364,-0.5022639119436643,0.9241844948535675,0.1976647102239312,0.19766471022393114,0.8043343193171083,modal_argmax,0,0,1.0,0.9019291365779883,30.1712580557133,0
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,13,13,12,16.0,10,125000.0,500000.0,-25,-0.25404660440359844,-0.006472741081710989,1,continuous,-0.4993366124019713,-0.9827598803154486,0.9998669988473284,0.01988050405880177,0.01988050405880177,0.08578815246675585,modal_argmax,1,1,1.0,0.9037311075551749,29.317758759715677,0
