snr_db,packets,total_symbols,argmax_correct_symbols,argmax_ser,independent_correct_symbols,independent_ser,independent_app_exact,joint_app_exact,app_compared,joint_affine_slope,joint_affine_intercept,candidate_search_score_mode,candidate_search_adaptive_kappa,joint_model_margin,joint_model_margin_per_packet,joint_top1_count,mean_joint_candidate_rank,mean_independent_minus_joint_score_gap,expected_affine_ok,run_dir
-20,5,175,105,0.4000,168,0.0400,5,5,5,1,1,map,1,0.428490,0.085698,5,1.000,0.000000,1,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\joint_residual_sweep_map_adaptive\snr_m20dB
-23,5,175,41,0.7657,154,0.1200,4,5,5,1,1,map,1,0.382502,0.076500,4,1.200,0.000822,1,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\joint_residual_sweep_map_adaptive\snr_m23dB
-25,5,175,9,0.9486,146,0.1657,2,5,5,1,1,map,1,0.250767,0.050153,2,8.800,0.066539,1,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\joint_residual_sweep_map_adaptive\snr_m25dB
-27,5,175,2,0.9886,136,0.2229,2,5,5,1,1,map,1,0.160459,0.032092,2,26.000,0.093829,1,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\joint_residual_sweep_map_adaptive\snr_m27dB
