dataset,snr_db,seed,packet_index,block_index,hard_errors,gt_fixed_coherence,hard_fixed_coherence,gt_beats_hard_fixed,gt_best_coherence,hard_best_coherence,gt_beats_hard_own_best,random_trials,gt_beats_random_fixed_fraction,gt_beats_random_own_best_fraction,random_fixed_max,random_own_best_max
0_0_0_10_14_32,,53,0,0,0,0.9932722914306115,0.9932722914306115,0,0.993272291430611,0.993272291430611,0,64,1.0,1.0,0.6852851541721167,0.8456022774333255
0_0_0_10_14_32,,53,0,1,0,0.9972453152365137,0.9972453152365137,0,0.9972453152365135,0.9972453152365135,0,64,1.0,1.0,0.7143676428938189,0.8232707210163727
0_0_0_10_14_32,,53,0,2,0,0.9957472646703524,0.9957472646703524,0,0.9957472646703524,0.9957472646703524,0,64,1.0,1.0,0.8100427912102997,0.8795682899798226
0_0_0_10_14_32,,53,0,3,0,0.9991113418078293,0.9991113418078293,0,0.9991113418078291,0.9991113418078291,0,64,1.0,1.0,0.5988036869577416,0.8237111544166088
0_0_0_10_14_32,,53,0,4,0,0.9988969413343761,0.9988969413343761,0,0.9988969413343761,0.9988969413343761,0,64,1.0,1.0,0.7430576532111718,0.8096420249280643
0_0_0_10_14_32,,53,0,5,0,0.9752626289616244,0.9752626289616244,0,0.9752626289616241,0.9752626289616241,0,64,1.0,1.0,0.8770741154029131,0.8795923091830906
0_0_0_10_14_32,,53,0,6,0,0.9978016303053645,0.9978016303053645,0,0.9978016303053645,0.9978016303053645,0,64,1.0,1.0,0.657856117921244,0.8543459319931956
0_0_0_10_14_32,,53,2,0,0,0.99989710236293,0.99989710236293,0,0.9998971023629297,0.9998971023629297,0,64,1.0,1.0,0.7831353647022626,0.878256583651453
0_0_0_10_14_32,,53,2,1,0,0.9988836331610789,0.9988836331610789,0,0.9988836331610789,0.9988836331610789,0,64,1.0,1.0,0.618618817863488,0.7943525081353808
0_0_0_10_14_32,,53,2,2,0,0.9998435526517214,0.9998435526517214,0,0.999843552651721,0.999843552651721,0,64,1.0,1.0,0.7621471440580664,0.7776973954528524
0_0_0_10_14_32,,53,2,3,0,0.9986399730106293,0.9986399730106293,0,0.9986399730106293,0.9986399730106293,0,64,1.0,1.0,0.6489373810605034,0.8449763516673122
0_0_0_10_14_32,,53,2,4,0,0.9997035315254522,0.9997035315254522,0,0.9997035315254522,0.9997035315254522,0,64,1.0,1.0,0.6906133914028851,0.8868263231743707
0_0_0_10_14_32,,53,2,5,0,0.9993228376466097,0.9993228376466097,0,0.99932283764661,0.99932283764661,0,64,1.0,1.0,0.7096255898516458,0.8672686646596307
0_0_0_10_14_32,,53,2,6,0,0.9987721226171059,0.9987721226171059,0,0.9987721226171059,0.9987721226171059,0,64,1.0,1.0,0.6714906646188814,0.8238813428468368
0_0_0_10_14_32,,53,3,0,0,0.998615892538406,0.998615892538406,0,0.998615892538406,0.998615892538406,0,64,1.0,1.0,0.7849596364903367,0.8745007534562349
0_0_0_10_14_32,,53,3,1,0,0.9991483043844447,0.9991483043844447,0,0.9991483043844447,0.9991483043844447,0,64,1.0,1.0,0.619790730651145,0.8045260562681761
0_0_0_10_14_32,,53,3,2,0,0.9983145576006194,0.9983145576006194,0,0.998314557600619,0.998314557600619,0,64,1.0,1.0,0.7099430232564176,0.7469567006566002
0_0_0_10_14_32,,53,3,3,0,0.9995407736985159,0.9995407736985159,0,0.9995407736985155,0.9995407736985155,0,64,1.0,1.0,0.7876020545540049,0.8137928093866204
0_0_0_10_14_32,,53,3,4,0,0.9998511025429081,0.9998511025429081,0,0.9998511025429077,0.9998511025429077,0,64,1.0,1.0,0.5502865231181477,0.8731008336595499
0_0_0_10_14_32,,53,3,5,0,0.9989869705273459,0.9989869705273459,0,0.9989869705273459,0.9989869705273459,0,64,1.0,1.0,0.6053049867342979,0.9217743853435282
0_0_0_10_14_32,,53,3,6,0,0.9995906606273545,0.9995906606273545,0,0.9995906606273549,0.9995906606273549,0,64,1.0,1.0,0.5731487527854822,0.8317645851907844
0_0_0_10_14_32,,53,4,0,0,0.9998039559132639,0.9998039559132639,0,0.9998039559132639,0.9998039559132639,0,64,1.0,1.0,0.45835428706644843,0.870784714490292
0_0_0_10_14_32,,53,4,1,0,0.9997474599276374,0.9997474599276374,0,0.9997474599276374,0.9997474599276374,0,64,1.0,1.0,0.5212315470679934,0.8240621524577099
0_0_0_10_14_32,,53,4,2,0,0.9989480756666628,0.9989480756666628,0,0.9989480756666628,0.9989480756666628,0,64,1.0,1.0,0.8061901533275595,0.8244536292813893
0_0_0_10_14_32,,53,4,3,0,0.9996174631048295,0.9996174631048295,0,0.9996174631048295,0.9996174631048295,0,64,1.0,1.0,0.7252849054714297,0.8260110194833727
0_0_0_10_14_32,,53,4,4,0,0.9983008174088355,0.9983008174088355,0,0.9983008174088358,0.9983008174088358,0,64,1.0,1.0,0.7586910139622965,0.8176781815697568
0_0_0_10_14_32,,53,4,5,0,0.9991622866395363,0.9991622866395363,0,0.9991622866395367,0.9991622866395367,0,64,1.0,1.0,0.5787103839077912,0.8616185245219828
0_0_0_10_14_32,,53,4,6,0,0.9996581792471726,0.9996581792471726,0,0.9996581792471718,0.9996581792471718,0,64,1.0,1.0,0.6011357731460995,0.8541608668151263
0_0_0_10_14_32,,53,5,0,0,0.43073012986757164,0.43073012986757164,0,0.43073012986757175,0.43073012986757175,0,64,0.9375,0.203125,0.7789403392759668,0.8597010274387337
0_0_0_10_14_32,,53,5,1,0,0.5641575591257781,0.5641575591257781,0,0.5641575591257779,0.5641575591257779,0,64,0.984375,0.65625,0.60247675151537,0.8021535542367326
0_0_0_10_14_32,,53,5,2,0,0.5480896413090628,0.5480896413090628,0,0.5480896413090627,0.5480896413090627,0,64,0.984375,0.640625,0.6656683081266755,0.8852948907478752
0_0_0_10_14_32,,53,5,3,0,0.596452926451548,0.596452926451548,0,0.5964529264515481,0.5964529264515481,0,64,1.0,0.828125,0.46393304962385074,0.798047671302344
0_0_0_10_14_32,,53,5,4,0,0.5582211330204302,0.5582211330204302,0,0.5582211330204302,0.5582211330204302,0,64,0.921875,0.640625,0.7863016953242117,0.8399353668784802
0_0_0_10_14_32,,53,5,5,0,0.8038993519955463,0.8038993519955463,0,0.8038993519955466,0.8038993519955466,0,64,1.0,1.0,0.5947610007713654,0.7763903677468361
0_0_0_10_14_32,,53,5,6,0,0.40953649502505146,0.40953649502505146,0,0.40953649502505146,0.40953649502505146,0,64,0.875,0.125,0.613542039401603,0.8069579292313146
0_0_0_10_14_32,,53,6,0,0,0.614245377219251,0.614245377219251,0,0.614245377219251,0.614245377219251,0,64,1.0,0.75,0.5834630147457522,0.8000527079068942
0_0_0_10_14_32,,53,6,1,0,0.5615999013464095,0.5615999013464095,0,0.5615999013464091,0.5615999013464091,0,64,1.0,0.703125,0.5370132454914055,0.8278624077586612
0_0_0_10_14_32,,53,6,2,0,0.5599558048669449,0.5599558048669449,0,0.5599558048669452,0.5599558048669452,0,64,0.96875,0.65625,0.5858387646461513,0.7834851254829059
0_0_0_10_14_32,,53,6,3,0,0.5987883013495723,0.5987883013495723,0,0.5987883013495723,0.5987883013495723,0,64,0.96875,0.765625,0.673612015594683,0.8462573290663175
0_0_0_10_14_32,,53,6,4,0,0.5619266400712538,0.5619266400712538,0,0.5619266400712538,0.5619266400712538,0,64,1.0,0.78125,0.5556807881860091,0.7484940836061253
0_0_0_10_14_32,,53,6,5,0,0.7992316853911714,0.7992316853911714,0,0.7992316853911714,0.7992316853911714,0,64,1.0,0.984375,0.6317277916807164,0.8432546222547376
0_0_0_10_14_32,,53,6,6,0,0.5281680417241567,0.5281680417241567,0,0.5281680417241567,0.5281680417241567,0,64,0.953125,0.4375,0.6979529863784691,0.8637755110266334
0_0_0_10_14_32,,53,7,0,0,0.6281325844768545,0.6281325844768545,0,0.6281325844768545,0.6281325844768545,0,64,1.0,0.796875,0.5841816195231939,0.8057845870146115
0_0_0_10_14_32,,53,7,1,0,0.5624282088003103,0.5624282088003103,0,0.5624282088003103,0.5624282088003103,0,64,0.984375,0.65625,0.6249206545784219,0.7990280819915092
0_0_0_10_14_32,,53,7,2,0,0.5640607738783038,0.5640607738783038,0,0.5640607738783038,0.5640607738783038,0,64,0.984375,0.71875,0.5669080155673362,0.8657233064859989
0_0_0_10_14_32,,53,7,3,0,0.6021257132976918,0.6021257132976918,0,0.602125713297692,0.602125713297692,0,64,1.0,0.734375,0.5837469663137695,0.7736485938681548
