dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,branch_gls_bin,savaux_dual_bin,proposed_bin,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,effective_min_consistency_gain,predicted_phase_rad,predicted_fractional_bin,predicted_timing_offset_chips,timing_offset_at_reference_chips,timing_slope_chips_per_symbol,timing_fit_consistency,timing_grid_contrast,frequency_rmse_bins,branch_steering_rank_one_fraction,branch_steering_observations,branch_steering_active,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency,gls_candidate_loss_db
collector_low4_cr47,,42,7,0,8,803,803,803,803,803,803,1,1,8,0.3719036094329046,0.970129316703574,0.2910387950110722,0.12,-0.11045170306913515,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.970129316703574,0.22924066140204813,0.16347227957268104,0.8911796933525771,8,0,0.99783233047352,0.10363429703173743,803|67|773|827|618|281|990|678,0.99783233|0.80549855|0.82138209|0.92582607|0.97334214|0.87001823|0.75314513|0.69882385,0|-14.401376|-14.676591|-14.846056|-14.972081|-15.035542|-15.080905|-15.294745
collector_low4_cr47,,42,7,1,9,711,711,711,711,711,711,1,1,8,0.3719036094329046,0.970129316703574,0.2910387950110722,0.12,-0.08856331008323232,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.970129316703574,0.22924066140204813,0.16347227957268104,0.8911796933525771,8,0,0.9965476498424249,-0.14971943933150048,711|915|874|786|464|698|435|687,0.99654765|0.90413121|0.95147924|0.96345585|0.94136834|0.95863582|0.78812628|0.84621474,0|-12.263416|-12.366808|-12.497358|-12.502385|-12.705911|-13.142384|-13.207301
collector_low4_cr47,,42,7,2,10,922,922,922,922,922,922,1,1,8,0.3719036094329046,0.970129316703574,0.2910387950110722,0.12,-0.06667491709732948,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.970129316703574,0.22924066140204813,0.16347227957268104,0.8911796933525771,8,0,0.9998663382096438,-0.042855117812118426,922|417|467|697|757|252|865|731,0.99986634|0.86605378|0.73889282|0.94812546|0.73920583|0.98258644|0.85472829|0.94727249,0|-12.834312|-13.265023|-13.320214|-13.45541|-13.878895|-14.227453|-14.348205
collector_low4_cr47,,42,7,3,11,718,718,718,718,718,718,1,1,8,0.3719036094329046,0.970129316703574,0.2910387950110722,0.12,-0.044786524111426584,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.970129316703574,0.22924066140204813,0.16347227957268104,0.8911796933525771,8,0,0.9917160386926507,0.19130028911372565,718|688|581|397|686|601|286|931,0.99171604|0.76441847|0.80955103|0.71313719|0.74365383|0.92044639|0.87916112|0.85111435,0|-12.265234|-13.389257|-13.617402|-13.840092|-14.012127|-14.115207|-14.19793
collector_low4_cr47,,42,7,4,12,756,756,756,756,756,756,1,1,8,0.3719036094329046,0.970129316703574,0.2910387950110722,0.12,-0.022898131125523746,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.970129316703574,0.22924066140204813,0.16347227957268104,0.8911796933525771,8,0,0.9915864900417304,0.26163614868802476,756|614|535|460|863|1019|561|302,0.99158649|0.81521735|0.89151296|0.33720608|0.83547401|0.93764408|0.9364286|0.90109617,0|-13.588165|-13.915576|-14.218975|-14.253967|-14.494112|-14.517631|-14.519027
collector_low4_cr47,,42,7,5,13,109,109,109,109,109,109,1,1,8,0.3719036094329046,0.970129316703574,0.2910387950110722,0.12,-0.0010097381396209082,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.970129316703574,0.22924066140204813,0.16347227957268104,0.8911796933525771,8,0,0.9766232888636274,0.0036767616188904673,109|834|459|975|898|132|564|169,0.97662329|0.9828549|0.89727943|0.99632221|0.8762588|0.86718282|0.89414633|0.9449997,0|-11.363726|-11.921787|-12.763115|-12.827457|-12.928505|-13.232916|-13.687695
collector_low4_cr47,,42,7,6,14,932,932,932,932,932,932,1,1,8,0.3719036094329046,0.970129316703574,0.2910387950110722,0.12,0.02087865484628193,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.970129316703574,0.22924066140204813,0.16347227957268104,0.8911796933525771,8,0,0.9967401483162712,0.6398363090494539,932|145|805|907|31|687|599|80,0.99674015|0.95149316|0.87865784|0.76327676|0.99926822|0.98894687|0.7438421|0.94366804,0|-10.722347|-12.223791|-13.724723|-13.837492|-14.371719|-14.400539|-14.414664
collector_low4_cr47,,42,7,7,15,468,468,468,468,468,468,1,1,8,0.3719036094329046,0.970129316703574,0.2910387950110722,0.12,0.04276704783218488,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.970129316703574,0.22924066140204813,0.16347227957268104,0.8911796933525771,8,0,0.9968243693720251,-0.005999540347879195,468|495|325|578|912|408|82|51,0.99682437|0.89666965|0.48083283|0.6554413|0.84995329|0.6382827|0.8773018|0.8738611,0|-14.274864|-14.411481|-14.733747|-14.773865|-14.809905|-14.856673|-14.87587
collector_low4_cr47,,42,7,8,16,89,89,89,89,89,89,1,1,8,0.3719036094329046,0.970129316703574,0.2910387950110722,0.12,0.06465544081808772,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.970129316703574,0.22924066140204813,0.16347227957268104,0.8911796933525771,8,0,0.9867466272527173,-0.23789637831069171,89|734|594|803|271|628|577|906,0.98674663|0.88383198|0.45656405|0.66961274|0.5227626|0.98438187|0.99863954|0.84435333,0|-11.125819|-11.219101|-11.830659|-12.017004|-12.209067|-12.317919|-12.523221
collector_low4_cr47,,42,7,9,17,713,713,713,713,713,713,1,1,8,0.3719036094329046,0.970129316703574,0.2910387950110722,0.12,0.08654383380399056,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.970129316703574,0.22924066140204813,0.16347227957268104,0.8911796933525771,8,0,0.957349074972605,0.5329695082614718,713|828|808|243|792|208|110|109,0.95734907|0.9386134|0.84523344|0.87456287|0.94780635|0.90447693|0.92131643|0.89237308,0|-7.6183704|-7.6262643|-8.8757707|-8.8834844|-9.1457232|-9.238661|-9.3046997
