dataset,snr_db,seed,method,errors,symbol_count,ser,fixes_vs_savaux,breaks_vs_savaux
0_0_0_10_14_8,-22.0,46,ordinary_fft,58,105,0.5523809523809524,0,58
0_0_0_10_14_8,-22.0,46,savaux,0,105,0.0,0,0
0_0_0_10_14_8,-22.0,46,branch_gls,0,105,0.0,0,0
0_0_0_10_14_8,-22.0,46,savaux_dual,0,105,0.0,0,0
0_0_0_10_14_8,-22.0,46,proposed,0,105,0.0,0,0
0_0_0_10_14_8,-22.0,46,unichirp,8,105,0.0761904761904762,0,0
0_0_0_10_14_8,-22.0,46,symfec,5,105,0.047619047619047616,0,0
0_0_0_10_14_8,-22.0,46,loratrimmer,3,105,0.02857142857142857,0,0
0_0_0_10_14_8,-23.0,46,ordinary_fft,64,105,0.6095238095238096,0,61
0_0_0_10_14_8,-23.0,46,savaux,3,105,0.02857142857142857,0,0
0_0_0_10_14_8,-23.0,46,branch_gls,3,105,0.02857142857142857,0,0
0_0_0_10_14_8,-23.0,46,savaux_dual,3,105,0.02857142857142857,0,0
0_0_0_10_14_8,-23.0,46,proposed,3,105,0.02857142857142857,0,0
0_0_0_10_14_8,-23.0,46,unichirp,10,105,0.09523809523809523,0,0
0_0_0_10_14_8,-23.0,46,symfec,24,105,0.22857142857142856,0,0
0_0_0_10_14_8,-23.0,46,loratrimmer,4,105,0.0380952380952381,0,0
0_0_0_10_14_8,-24.0,46,ordinary_fft,74,105,0.7047619047619048,0,67
0_0_0_10_14_8,-24.0,46,savaux,7,105,0.06666666666666667,0,0
0_0_0_10_14_8,-24.0,46,branch_gls,7,105,0.06666666666666667,0,0
0_0_0_10_14_8,-24.0,46,savaux_dual,7,105,0.06666666666666667,0,0
0_0_0_10_14_8,-24.0,46,proposed,7,105,0.06666666666666667,0,0
0_0_0_10_14_8,-24.0,46,unichirp,16,105,0.1523809523809524,0,0
0_0_0_10_14_8,-24.0,46,symfec,45,105,0.42857142857142855,0,0
