dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,branch_gls_bin,savaux_dual_bin,proposed_bin,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,effective_min_consistency_gain,predicted_phase_rad,predicted_fractional_bin,predicted_timing_offset_chips,timing_offset_at_reference_chips,timing_slope_chips_per_symbol,timing_fit_consistency,timing_grid_contrast,frequency_rmse_bins,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency,gls_candidate_loss_db
0_0_0_10_14_8,-22.0,46,0,10,18,765,765,765,765,765,765,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.5646092354805166,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.965366998796829,0.6421906110823047,765|188|958|13|905|725|712|754,0.965367|0.61023761|0.90823209|0.93190865|0.9386342|0.85478293|0.67945738|0.94668804,0|-6.4154218|-6.4900828|-6.6470315|-6.8459499|-7.3405365|-7.3470156|-7.6253278
0_0_0_10_14_8,-22.0,46,0,11,19,1023,721,1023,1023,1023,1023,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.5474119111461467,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.9610884854832907,-1.006663252214595,1023|744|145|505|530|595|183|445,0.96108849|0.84276614|0.81868622|0.94323256|0.99361018|0.97445463|0.8805946|0.81410224,0|-4.3724166|-5.4712318|-5.6254771|-5.7471626|-5.9812862|-6.4252318|-6.5749066
0_0_0_10_14_8,-22.0,46,0,12,20,597,607,597,597,597,597,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.5302145868117769,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.9404187469371167,0.08306617357245971,597|990|60|997|965|207|509|54,0.94041875|0.89087519|0.85247114|0.8616253|0.77072851|0.64124335|0.57641585|0.89832352,0|-3.8563041|-4.2110643|-5.2240711|-5.492834|-5.5212128|-5.752588|-5.8542306
0_0_0_10_14_8,-22.0,46,0,13,21,562,163,562,562,562,562,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.5130172624774071,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.8340445971999407,0.2557212614403307,562|690|448|976|218|706|911|162,0.8340446|0.95248452|0.76299663|0.88724821|0.6280632|0.9513037|0.94928126|0.93363225,0|-4.980315|-5.6833825|-5.7857929|-6.2867241|-6.3296223|-6.6509733|-7.1229671
0_0_0_10_14_8,-22.0,46,0,14,22,478,978,478,478,478,478,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.49581993814303726,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.9042291337418686,0.4370371057389674,478|236|761|834|402|576|521|663,0.90422913|0.89637889|0.96642748|0.98681527|0.12539775|0.57371923|0.43950138|0.34087562,0|-4.281777|-6.4552922|-6.5667017|-6.6451561|-6.6636581|-6.7418044|-6.8142816
0_0_0_10_14_8,-22.0,46,0,15,23,267,267,267,267,267,267,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.47862261380866744,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.9452566260305004,0.7067769297377106,267|673|977|428|377|230|963|704,0.94525663|0.96739788|0.689563|0.71925217|0.85751985|0.99484514|0.7757051|0.98256294,0|-7.3390882|-7.6396459|-7.6611099|-7.7798255|-8.4563401|-8.6276629|-8.632185
0_0_0_10_14_8,-22.0,46,0,16,24,917,406,917,917,917,917,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.4614252894742976,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.9026545299470944,1.3653816420550893,917|101|182|125|284|437|318|414,0.90265453|0.89279751|0.88851694|0.96857235|0.78131203|0.77563878|0.83723914|0.88793604,0|-4.5633316|-4.6214065|-5.2689299|-5.4230207|-5.4660372|-5.759426|-6.0754589
0_0_0_10_14_8,-22.0,46,0,17,25,656,950,656,656,656,656,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.4442279651399278,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.712026857297102,1.2590564176268582,656|298|58|711|569|884|842|851,0.71202686|0.98965807|0.96070375|0.94028619|0.46728534|0.77293926|0.70606986|0.87057003,0|-1.9004498|-2.144098|-2.3469375|-2.6243832|-2.6804918|-2.9488292|-3.4866641
0_0_0_10_14_8,-22.0,46,0,18,26,889,889,889,889,889,889,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.42703064080555797,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.9236984644119914,1.3756629534117248,889|828|225|988|879|616|310|391,0.92369846|0.85001699|0.60669717|0.99858354|0.90745762|0.64122665|0.86769253|0.82848157,0|-5.5086533|-6.5672538|-6.7872847|-6.837754|-7.6611363|-7.7031799|-7.7176522
0_0_0_10_14_8,-22.0,46,0,19,27,510,510,510,510,510,510,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.40983331647118815,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.9517325814047585,0.38876809893683306,510|211|602|287|611|249|489|843,0.95173258|0.54039323|0.92012779|0.81394886|0.99052206|0.54644112|0.46686212|0.68216506,0|-7.2935584|-7.4565322|-7.5997955|-8.0085951|-8.0567378|-8.0701521|-8.1069097
