packet_index,event_index,candidate_index,selected,candidate_values,candidate_payload_hex,score,signal_score,prior_score,known_symbols,mean_phase_score,mean_amp_score,mean_profile_score,line_rmse_pi,line_r2
1,1,2,1,6:02,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,0.788053803,0.788053803,0.000000000,10,0.840912410,0.459189935,0.000000000,0.050578928,0.847883738
1,1,82,0,6:52,404433221100520058303132333435363738393a3b3c3d3e3f4041424378563412,0.773476687,0.773476687,0.000000000,10,0.790978068,0.462156429,0.000000000,0.055291790,0.862078388
1,1,4,0,6:04,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,0.772213189,0.772213189,0.000000000,10,0.779493024,0.444701271,0.000000000,0.045963695,0.842754948
1,1,66,0,6:42,404433221100420058303132333435363738393a3b3c3d3e3f4041424378563412,0.771784025,0.771784025,0.000000000,10,0.788099452,0.439899330,0.000000000,0.049109614,0.894702151
1,1,98,0,6:62,404433221100620058303132333435363738393a3b3c3d3e3f4041424378563412,0.761890635,0.761890635,0.000000000,10,0.752197668,0.452684439,0.000000000,0.055285987,0.856168244
1,1,68,0,6:44,404433221100440058303132333435363738393a3b3c3d3e3f4041424378563412,0.759159773,0.759159773,0.000000000,10,0.726680067,0.425410665,0.000000000,0.037109432,0.905218017
1,1,84,0,6:54,404433221100540058303132333435363738393a3b3c3d3e3f4041424378563412,0.758117976,0.758117976,0.000000000,10,0.729558682,0.447667764,0.000000000,0.050198552,0.836474848
1,1,194,0,6:c2,404433221100c20058303132333435363738393a3b3c3d3e3f4041424378563412,0.755462923,0.755462923,0.000000000,10,0.791542762,0.353989682,0.000000000,0.049109614,0.894702151
1,1,1,0,6:01,404433221100010058303132333435363738393a3b3c3d3e3f4041424378563412,0.749967645,0.749967645,0.000000000,10,0.775131707,0.350985022,0.000000000,0.050578928,0.847883738
1,1,100,0,6:64,404433221100640058303132333435363738393a3b3c3d3e3f4041424378563412,0.746590130,0.746590130,0.000000000,10,0.690778282,0.438195775,0.000000000,0.050084758,0.834963188
1,1,50,0,6:32,404433221100320058303132333435363738393a3b3c3d3e3f4041424378563412,0.746497427,0.746497427,0.000000000,10,0.727931605,0.469156497,0.000000000,0.073743141,0.797197776
1,1,0,0,6:00,404433221100000058303132333435363738393a3b3c3d3e3f4041424378563412,0.745114790,0.745114790,0.000000000,10,0.735814447,0.394096682,0.000000000,0.056885428,0.239481916
1,1,34,0,6:22,404433221100220058303132333435363738393a3b3c3d3e3f4041424378563412,0.744201976,0.744201976,0.000000000,10,0.725052989,0.446899398,0.000000000,0.069927618,0.810415193
