packet_index,event_index,candidate_index,selected,candidate_values,candidate_payload_hex,score,signal_score,prior_score,score_mode,effective_kappa,kappa_source,kappa_source_line_rmse_pi,known_symbols,mean_phase_score,mean_amp_score,mean_profile_score,line_rmse_pi,line_r2,map_phase_ll,map_line_ll,map_amp_ll,map_profile_ll
1,1,2,1,6:02,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,0.465487684,0.465487684,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.965548124,0.999999937,0.000000000,0.004664117,0.995640857,1.862192496,-0.000120855,-0.000000063,0.000000000
1,1,82,0,6:52,404433221100520058303132333435363738393a3b3c3d3e3f4041424378563412,0.305498882,0.305498882,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.935318984,0.807991408,0.000000000,0.019163721,0.937004183,1.741275936,-0.002040268,-0.643999839,0.000000000
1,1,4,0,6:04,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,0.244239100,0.244239100,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.900244059,0.804364612,0.000000000,0.017761860,0.899767757,1.600976235,-0.001752687,-0.775643074,0.000000000
1,1,1,0,6:01,404433221100010058303132333435363738393a3b3c3d3e3f4041424378563412,0.232778951,0.232778951,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.905370211,0.802724559,0.000000000,0.014476087,0.952223625,1.621480845,-0.001164206,-0.860045786,0.000000000
1,1,8,0,6:08,404433221100080058303132333435363738393a3b3c3d3e3f4041424378563412,0.190446358,0.190446358,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.860874018,0.803288689,0.000000000,0.046212740,0.204108842,1.443496073,-0.011864541,-0.822476947,0.000000000
1,1,98,0,6:62,404433221100620058303132333435363738393a3b3c3d3e3f4041424378563412,0.181097352,0.181097352,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.862421032,0.804323288,0.000000000,0.041073948,0.828445203,1.449684129,-0.009372607,-0.883186883,0.000000000
1,1,50,0,6:32,404433221100320058303132333435363738393a3b3c3d3e3f4041424378563412,0.176533926,0.176533926,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.861307305,0.804406575,0.000000000,0.055489052,0.725701625,1.445229218,-0.017105749,-0.881102521,0.000000000
1,1,146,0,6:92,404433221100920058303132333435363738393a3b3c3d3e3f4041424378563412,0.173197716,0.173197716,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.874095613,0.804148067,0.000000000,0.014634006,0.939638969,1.496382453,-0.001189745,-1.001515123,0.000000000
1,1,7,0,6:07,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,0.171278019,0.171278019,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.854501114,0.804114127,0.000000000,0.093736674,0.845312564,1.418004457,-0.048814245,-0.794079866,0.000000000
1,1,0,0,6:00,404433221100000058303132333435363738393a3b3c3d3e3f4041424378563412,0.160136869,0.160136869,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.859807244,0.801890407,0.000000000,0.043371274,0.259749628,1.439228976,-0.010450374,-0.972225940,0.000000000
1,1,66,0,6:42,404433221100420058303132333435363738393a3b3c3d3e3f4041424378563412,0.155263676,0.155263676,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.860896769,0.804063553,0.000000000,0.041073948,0.828445203,1.443587077,-0.009372607,-1.004733948,0.000000000
1,1,18,0,6:12,404433221100120058303132333435363738393a3b3c3d3e3f4041424378563412,0.149466391,0.149466391,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.859783042,0.804146839,0.000000000,0.059356751,0.598273099,1.439132167,-0.019573466,-1.002649586,0.000000000
1,1,11,0,6:0b,4044332211000b0058303132333435363738393a3b3c3d3e3f4041424378563412,0.146501084,0.146501084,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.815131074,0.803038204,0.000000000,0.012688862,0.971037733,1.260524295,-0.000894484,-0.840913739,0.000000000
1,1,6,0,6:06,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,0.126597916,0.126597916,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.808938147,0.803279974,0.000000000,0.019792974,0.936486871,1.235752588,-0.002176455,-0.906260020,0.000000000
1,1,3,0,6:03,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,0.115127647,0.115127647,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.814064300,0.801639921,0.000000000,0.017014061,0.947530398,1.256257198,-0.001608213,-0.990662732,0.000000000
1,1,84,0,6:54,404433221100540058303132333435363738393a3b3c3d3e3f4041424378563412,0.079355368,0.079355368,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.870014919,0.612356084,0.000000000,0.049225533,0.744341180,1.480059675,-0.013461961,-1.419642849,0.000000000
1,1,10,0,6:0a,4044332211000a0058303132333435363738393a3b3c3d3e3f4041424378563412,0.078149020,0.078149020,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.769568107,0.802204051,0.000000000,0.016973833,0.953957927,1.078272426,-0.001600617,-0.953093893,0.000000000
1,1,81,0,6:51,404433221100510058303132333435363738393a3b3c3d3e3f4041424378563412,0.067607751,0.067607751,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.875141071,0.610716031,0.000000000,0.049200760,0.713573255,1.500564285,-0.013448415,-1.504045561,0.000000000
1,1,162,0,6:a2,404433221100a20058303132333435363738393a3b3c3d3e3f4041424378563412,0.052460718,0.052460718,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.801197661,0.800479947,0.000000000,0.014654130,0.932952066,1.204790646,-0.001193020,-1.240702167,0.000000000
1,1,34,0,6:22,404433221100220058303132333435363738393a3b3c3d3e3f4041424378563412,0.037921254,0.037921254,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.786885090,0.800478719,0.000000000,0.014654130,0.932952066,1.147540360,-0.001193020,-1.241836631,0.000000000
1,1,130,0,6:82,404433221100820058303132333435363738393a3b3c3d3e3f4041424378563412,0.026646853,0.026646853,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.799673399,0.800220212,0.000000000,0.014408735,0.911155842,1.198693594,-0.001153398,-1.362249232,0.000000000
1,1,14,0,6:0e,4044332211000e0058303132333435363738393a3b3c3d3e3f4041424378563412,0.026646128,0.026646128,0.000000000,map,2.000000000,scoring_line,0.010740273,10,0.810004921,0.804678257,0.000000000,0.218037546,0.921702065,1.240019685,-0.264113175,-0.756511027,0.000000000
