dataset,target_snr_db,packet_index,frame_index,event_index,payload_len,symbol_count,traditional_fft_symbol_ser,multi_offset_argmax_symbol_ser,current_selected_symbol_ser,savaux_paper_symbol_ser,savaux_codec_symbol_ser,current_gain_vs_traditional_fft,savaux_gain_vs_traditional_fft,savaux_codec_gain_vs_traditional_fft,savaux_gain_vs_current,savaux_codec_gain_vs_current,savaux_codec_gain_vs_savaux,traditional_fft_crc_valid,multi_offset_argmax_crc_valid,current_selected_crc_valid,savaux_paper_crc_valid,savaux_codec_crc_valid,savaux_codec_success,savaux_codec_selected_source,savaux_codec_selected_beam_rank,savaux_codec_candidate_payload_count,savaux_codec_observed_crc_valid_count,savaux_codec_accepted_crc_valid_count,savaux_codec_selected_source_is_argmax_fallback,savaux_codec_topk_recall,savaux_codec_mean_gt_rank,savaux_codec_symbol_change_count,savaux_codec_symbol_fix_count,savaux_codec_symbol_break_count,winner_by_symbol_ser
0_0_0_10_14_32,-12.0,0,0,0,33,35,0.45714285714285713,0.08571428571428572,0.02857142857142857,0.0,0.0,0.42857142857142855,0.45714285714285713,0.45714285714285713,0.02857142857142857,0.02857142857142857,0.0,0,0,1,1,1,1,savaux_hard_crc_preserved,-1,0,0,0,1,0.0,0.0,0,0,0,savaux_paper
0_0_0_10_14_32,-12.0,2,1,2,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,savaux_hard_crc_preserved,-1,0,0,0,1,0.0,0.0,0,0,0,traditional_fft
0_0_0_10_14_32,-12.0,3,2,3,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,savaux_hard_crc_preserved,-1,0,0,0,1,0.0,0.0,0,0,0,traditional_fft
0_0_0_10_14_32,-12.0,4,3,4,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,savaux_hard_crc_preserved,-1,0,0,0,1,0.0,0.0,0,0,0,traditional_fft
0_0_0_10_14_32,-12.0,5,4,5,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,savaux_hard_crc_preserved,-1,0,0,0,1,0.0,0.0,0,0,0,traditional_fft
0_0_0_10_14_32,-12.0,6,5,6,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,savaux_hard_crc_preserved,-1,0,0,0,1,0.0,0.0,0,0,0,traditional_fft
0_0_0_10_14_32,-12.0,7,6,7,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,savaux_hard_crc_preserved,-1,0,0,0,1,0.0,0.0,0,0,0,traditional_fft
