method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db
savaux,0,70,1,0.014285714285714285,0,0,0.6750673999995342,9.643819999993346,0,0.0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,2.0
hamming_8,8,70,1,0.014285714285714285,0,0,1.1195537999992666,15.993625714275238,0,0.0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8,8,70,2,0.02857142857142857,0,1,1.1017638000084844,15.739482857264063,0,0.0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8_wrap,8,70,2,0.02857142857142857,0,1,1.191259200040804,17.017988572011486,0,0.0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8_wrap_gated,8,70,2,0.02857142857142857,0,1,0.3052916000087862,4.361308571554089,17,0.24285714285714285,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,2.0
savaux,0,70,8,0.11428571428571428,0,0,0.27364190001026145,3.909170000146592,0,0.0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,2.0
hamming_8,8,70,8,0.11428571428571428,0,0,1.0995981999803917,15.708545714005595,0,0.0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8,8,70,8,0.11428571428571428,0,0,1.055704499995045,15.08149285707207,0,0.0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8_wrap,8,70,10,0.14285714285714285,0,2,1.1616234999819426,16.594621428313467,0,0.0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8_wrap_gated,8,70,10,0.14285714285714285,0,2,0.5040699999954086,7.2009999999344085,29,0.4142857142857143,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,2.0
savaux,0,70,16,0.22857142857142856,0,0,0.27991920000567916,3.998845714366845,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,2.0
hamming_8,8,70,17,0.24285714285714285,2,3,1.2267500999914773,17.525001428449677,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8,8,70,18,0.2571428571428571,1,3,1.1991577000262623,17.13082428608946,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8_wrap,8,70,20,0.2857142857142857,1,5,1.3067504000246117,18.667862857494452,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8_wrap_gated,8,70,20,0.2857142857142857,1,5,0.7741853000115952,11.059790000165647,41,0.5857142857142857,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,2.0
savaux,0,70,1,0.014285714285714285,0,0,0.28744389998246334,4.1063414283209045,0,0.0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,2.0
hamming_8,8,70,2,0.02857142857142857,0,1,1.196169299983012,17.08813285690017,0,0.0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8,8,70,2,0.02857142857142857,0,1,1.1192020999951637,15.988601428502339,0,0.0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8_wrap,8,70,3,0.04285714285714286,0,2,1.219097300010617,17.415675714437384,0,0.0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8_wrap_gated,8,70,3,0.04285714285714286,0,2,0.24678139999741688,3.52544857139167,15,0.21428571428571427,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,2.0
savaux,0,70,8,0.11428571428571428,0,0,0.2430180000119435,3.471685714456336,0,0.0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,2.0
hamming_8,8,70,10,0.14285714285714285,0,2,1.0553428000166605,15.07632571452372,0,0.0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8,8,70,7,0.1,1,0,1.0826833999999508,15.46690571428501,0,0.0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8_wrap,8,70,6,0.08571428571428572,2,0,1.1728867999881913,16.75552571411702,0,0.0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8_wrap_gated,8,70,6,0.08571428571428572,2,0,0.5062462000023515,7.232088571462165,30,0.42857142857142855,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,2.0
savaux,0,70,15,0.21428571428571427,0,0,0.2789463000081014,3.984947142972877,0,0.0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,2.0
hamming_8,8,70,15,0.21428571428571427,1,1,1.1042928999922879,15.775612857032684,0,0.0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8,8,70,17,0.24285714285714285,2,4,1.132030400018266,16.1718628574038,0,0.0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8_wrap,8,70,16,0.22857142857142856,2,3,1.220182700017176,17.431181428816803,0,0.0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8_wrap_gated,8,70,16,0.22857142857142856,2,3,0.7673210000248218,10.96172857178317,44,0.6285714285714286,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,2.0
savaux,0,70,1,0.014285714285714285,0,0,0.2864700999998604,4.092429999998005,0,0.0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,2.0
hamming_8,8,70,1,0.014285714285714285,0,0,1.110375500004011,15.862507142914442,0,0.0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8,8,70,1,0.014285714285714285,0,0,1.1167618000108632,15.95374000015519,0,0.0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8_wrap,8,70,1,0.014285714285714285,0,0,1.2130500999919605,17.32928714274229,0,0.0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8_wrap_gated,8,70,1,0.014285714285714285,0,0,0.21945000000778236,3.1350000001111766,13,0.18571428571428572,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,2.0
savaux,0,70,5,0.07142857142857142,0,0,0.26702850002766354,3.8146928575380508,0,0.0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,2.0
hamming_8,8,70,6,0.08571428571428572,0,1,1.0247114000085276,14.638734285836108,0,0.0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8,8,70,8,0.11428571428571428,0,3,1.0319953999969584,14.742791428527978,0,0.0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8_wrap,8,70,6,0.08571428571428572,2,3,1.120365499988111,16.005221428401587,0,0.0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,2.0
information_8_wrap_gated,8,70,6,0.08571428571428572,2,3,0.5301289000126417,7.573270000180595,32,0.45714285714285713,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,2.0
savaux,0,70,15,0.21428571428571427,0,0,0.18177539999669534,2.5967914285242193,0,0.0,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,2.0
