dataset,snr_db,seed,packet_count,symbol_count,mean_gt_topk_recall,mean_gt_savaux_rank,savaux_ser,best_pattern_ser,mean_pattern_ser,coherent_pattern_ser,whitened_pattern_ser,stable_pattern_ser,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,best_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,mean_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,coherent_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,whitened_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,stable_pattern_changes_vs_savaux
0_0_0_10_14_16,-24.0,1,1,35,1.0,1.0285714285714285,0.02857142857142857,0.42857142857142855,0.17142857142857143,0.08571428571428572,0.08571428571428572,0.02857142857142857,0,14,14,0,5,5,0,2,2,0,2,2,0,0,0
0_0_0_10_14_16,-25.0,1,1,35,1.0,1.2,0.14285714285714285,0.5142857142857142,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.14285714285714285,0,13,15,0,6,7,0,6,7,0,6,7,0,0,0
0_0_0_10_14_16,-26.0,1,1,35,1.0,2.3714285714285714,0.37142857142857144,0.6571428571428571,0.4,0.4,0.4,0.34285714285714286,1,11,19,1,2,6,1,2,6,1,2,6,1,0,2
0_0_0_10_14_16,-24.0,2,1,35,1.0,1.3714285714285714,0.14285714285714285,0.5142857142857142,0.2571428571428571,0.22857142857142856,0.22857142857142856,0.11428571428571428,0,13,17,0,4,7,1,4,7,1,4,7,1,0,3
0_0_0_10_14_16,-25.0,2,1,35,0.9428571428571428,2.6,0.2571428571428571,0.6571428571428571,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.2857142857142857,0,14,21,0,7,13,0,7,12,0,7,12,0,1,3
0_0_0_10_14_16,-26.0,2,1,35,0.9142857142857143,6.685714285714286,0.45714285714285713,0.7142857142857143,0.6,0.6571428571428571,0.6571428571428571,0.5142857142857142,0,9,22,0,5,15,0,7,16,0,7,16,0,2,7
0_0_0_10_14_16,-24.0,3,1,35,1.0,1.2285714285714286,0.17142857142857143,0.37142857142857144,0.17142857142857143,0.22857142857142856,0.22857142857142856,0.11428571428571428,1,8,14,1,1,2,0,2,2,0,2,2,2,0,2
0_0_0_10_14_16,-25.0,3,1,35,1.0,2.3714285714285714,0.2857142857142857,0.5428571428571428,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.22857142857142856,0,9,18,3,3,7,3,3,6,3,3,6,2,0,2
0_0_0_10_14_16,-26.0,3,1,35,0.8857142857142857,6.0285714285714285,0.34285714285714286,0.7428571428571429,0.5428571428571428,0.6,0.6,0.37142857142857144,0,14,24,0,7,11,0,9,11,0,9,12,0,1,2
0_0_0_10_14_16,-24.0,42,1,35,1.0,1.2571428571428571,0.11428571428571428,0.4,0.17142857142857143,0.22857142857142856,0.2,0.17142857142857143,0,10,13,1,3,6,0,4,6,0,3,5,0,2,2
0_0_0_10_14_16,-25.0,42,1,35,0.9428571428571428,3.5428571428571427,0.2857142857142857,0.6,0.3142857142857143,0.2857142857142857,0.2857142857142857,0.2571428571428571,0,11,19,1,2,7,1,1,7,1,1,7,1,0,2
0_0_0_10_14_16,-26.0,42,1,35,0.8857142857142857,10.057142857142857,0.4857142857142857,0.7714285714285715,0.5142857142857142,0.4857142857142857,0.4857142857142857,0.4857142857142857,2,12,26,2,3,14,2,2,12,2,2,12,0,0,3
