packet_index,symbol_index,gt_bin,savaux_bin,nus_null_bin,savaux_correct,nus_null_correct,changed,fix,break,activated,sensed_delta_bin,sensed_stability,alternative_bin,savaux_glrt,alternative_glrt,savaux_nullability,alternative_nullability,dataset,snr_db,seed,echo_delay_samples
1,16,917,917,917,1,1,0,0,0,0,-333,2.8398022380833643,226,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,17,656,656,656,1,1,0,0,0,0,-145,2.7482225463692234,801,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,18,889,889,889,1,1,0,0,0,0,-145,2.7482225463692234,10,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,19,510,510,510,1,1,0,0,0,0,-145,2.7482225463692234,655,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,20,860,860,860,1,1,0,0,0,0,-145,2.7482225463692234,1005,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,21,553,553,553,1,1,0,0,0,0,-145,2.7482225463692234,698,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,22,629,629,629,1,1,0,0,0,0,-145,2.7482225463692234,774,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,23,759,759,759,1,1,0,0,0,0,-145,2.7482225463692234,904,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,24,874,874,874,1,1,0,0,0,0,-145,2.7482225463692234,1019,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,25,720,720,720,1,1,0,0,0,0,-145,2.7482225463692234,865,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,26,314,314,314,1,1,0,0,0,0,-145,2.7482225463692234,459,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,27,602,602,602,1,1,0,0,0,0,-145,2.7482225463692234,747,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,28,7,7,7,1,1,0,0,0,0,-145,2.7482225463692234,152,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,29,610,610,610,1,1,0,0,0,0,-145,2.7482225463692234,755,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,30,807,807,807,1,1,0,0,0,0,-145,2.7482225463692234,952,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,31,897,897,897,1,1,0,0,0,0,-145,2.7482225463692234,18,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,32,749,749,749,1,1,0,0,0,0,-145,2.7482225463692234,894,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,33,584,584,584,1,1,0,0,0,0,-145,2.7482225463692234,729,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,34,934,934,934,1,1,0,0,0,0,-145,2.7482225463692234,55,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
2,0,803,803,803,1,1,0,0,0,0,353,2.2563531141456985,450,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
2,1,826,826,826,1,1,0,0,0,0,353,2.2563531141456985,473,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
2,2,922,922,922,1,1,0,0,0,0,353,2.2563531141456985,569,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
2,3,718,718,718,1,1,0,0,0,0,353,2.2563531141456985,365,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
2,4,86,86,86,1,1,0,0,0,0,353,2.2563531141456985,757,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
2,5,468,468,468,1,1,0,0,0,0,353,2.2563531141456985,115,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
2,6,89,89,89,1,1,0,0,0,0,353,2.2563531141456985,760,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
2,7,713,713,713,1,1,0,0,0,0,353,2.2563531141456985,360,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
2,8,865,865,865,1,1,0,0,0,0,353,2.2563531141456985,512,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
2,9,492,492,492,1,1,0,0,0,0,353,2.2563531141456985,139,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
2,10,765,765,765,1,1,0,0,0,0,353,2.2563531141456985,412,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
2,11,1023,1023,1023,1,1,0,0,0,0,353,2.2563531141456985,670,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
2,12,597,597,597,1,1,0,0,0,0,353,2.2563531141456985,244,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
2,13,562,562,562,1,1,0,0,0,0,353,2.2563531141456985,209,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
2,14,478,478,478,1,1,0,0,0,0,353,2.2563531141456985,125,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
2,15,267,267,267,1,1,0,0,0,0,353,2.2563531141456985,938,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
2,16,917,917,917,1,1,0,0,0,0,353,2.2563531141456985,564,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
2,17,656,656,656,1,1,0,0,0,0,-253,2.657894966494575,909,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
2,18,889,889,889,1,1,0,0,0,0,-253,2.657894966494575,118,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
