dataset,snr_db,echo_delay_samples,echo_delay_chips,seed_count,symbol_count,savaux_errors,nus_null_errors,savaux_ser,nus_null_ser,fixes,breaks,activated_symbols,mode_sensed_delta_bin,median_condition_stability
0_0_0_10_14_16,-24.0,0,0.0,3,315,41,41,0.13015873015873017,0.13015873015873017,0,0,0,-253,2.561490795593482
0_0_0_10_14_16,-22.0,0,0.0,3,315,4,4,0.012698412698412698,0.012698412698412698,0,0,0,-175,2.553240608311591
0_0_0_10_14_16,-20.0,0,0.0,3,315,0,0,0.0,0.0,0,0,0,322,2.6395805626350985
0_0_0_10_14_16,-24.0,8,2.0,3,315,108,87,0.34285714285714286,0.2761904761904762,21,0,246,-2,8.208673916712451
0_0_0_10_14_16,-22.0,8,2.0,3,315,77,55,0.24444444444444444,0.1746031746031746,22,0,315,-2,14.896244272160752
0_0_0_10_14_16,-20.0,8,2.0,3,315,54,40,0.17142857142857143,0.12698412698412698,14,0,315,-2,26.834499980404534
0_0_0_10_14_16,-24.0,16,4.0,3,315,106,80,0.33650793650793653,0.25396825396825395,30,4,315,-4,10.642979158887107
0_0_0_10_14_16,-22.0,16,4.0,3,315,85,59,0.2698412698412698,0.1873015873015873,30,4,315,-4,17.42177980406459
0_0_0_10_14_16,-20.0,16,4.0,3,315,74,47,0.23492063492063492,0.1492063492063492,28,1,315,-4,27.14125275180992
0_0_0_10_14_16,-24.0,32,8.0,3,315,97,78,0.30793650793650795,0.24761904761904763,22,3,297,-8,8.153452093605296
0_0_0_10_14_16,-22.0,32,8.0,3,315,76,54,0.24126984126984127,0.17142857142857143,24,2,315,-8,15.248066177180153
0_0_0_10_14_16,-20.0,32,8.0,3,315,64,43,0.20317460317460317,0.1365079365079365,21,0,315,-8,26.031447812999826
