dataset,snr_db,seed,echo_delay_samples,echo_delay_chips,expected_relative_bin,symbol_count,savaux_errors,nus_null_errors,savaux_ser,nus_null_ser,changes,fixes,breaks,activated_symbols,mode_sensed_delta_bin,median_sensed_stability
0_0_0_10_14_16,-20.0,42,0,0.0,0.0,105,0,0,0.0,0.0,0,0,0,0,-253,2.657894966494575
0_0_0_10_14_16,-22.0,42,0,0.0,0.0,105,3,3,0.02857142857142857,0.02857142857142857,0,0,0,0,-253,2.7331132823244837
0_0_0_10_14_16,-24.0,42,0,0.0,0.0,105,18,18,0.17142857142857143,0.17142857142857143,0,0,0,0,-253,2.4088621998547493
0_0_0_10_14_16,-20.0,43,0,0.0,0.0,105,0,0,0.0,0.0,0,0,0,0,322,2.6395805626350985
0_0_0_10_14_16,-22.0,43,0,0.0,0.0,105,1,1,0.009523809523809525,0.009523809523809525,0,0,0,0,322,2.553240608311591
0_0_0_10_14_16,-24.0,43,0,0.0,0.0,105,11,11,0.10476190476190476,0.10476190476190476,0,0,0,0,301,2.6545300050806353
0_0_0_10_14_16,-20.0,44,0,0.0,0.0,105,0,0,0.0,0.0,0,0,0,0,-338,2.295056276668856
0_0_0_10_14_16,-22.0,44,0,0.0,0.0,105,0,0,0.0,0.0,0,0,0,0,-175,2.3696073426511264
0_0_0_10_14_16,-24.0,44,0,0.0,0.0,105,12,12,0.11428571428571428,0.11428571428571428,0,0,0,0,-338,2.561490795593482
0_0_0_10_14_16,-20.0,42,8,2.0,-2.0,105,26,18,0.24761904761904763,0.17142857142857143,8,8,0,105,-2,28.53904750630679
0_0_0_10_14_16,-22.0,42,8,2.0,-2.0,105,32,23,0.3047619047619048,0.21904761904761905,9,9,0,105,-2,14.429195682387597
0_0_0_10_14_16,-24.0,42,8,2.0,-2.0,105,40,36,0.38095238095238093,0.34285714285714286,4,4,0,53,-2,8.208673916712451
0_0_0_10_14_16,-20.0,43,8,2.0,-2.0,105,13,10,0.12380952380952381,0.09523809523809523,3,3,0,105,-2,26.53902912911072
0_0_0_10_14_16,-22.0,43,8,2.0,-2.0,105,25,17,0.23809523809523808,0.1619047619047619,8,8,0,105,-2,14.896244272160752
0_0_0_10_14_16,-24.0,43,8,2.0,-2.0,105,38,28,0.3619047619047619,0.26666666666666666,10,10,0,105,-2,7.192895761188924
0_0_0_10_14_16,-20.0,44,8,2.0,-2.0,105,15,12,0.14285714285714285,0.11428571428571428,3,3,0,105,-2,26.834499980404534
0_0_0_10_14_16,-22.0,44,8,2.0,-2.0,105,20,15,0.19047619047619047,0.14285714285714285,5,5,0,105,-2,16.147292510999655
0_0_0_10_14_16,-24.0,44,8,2.0,-2.0,105,30,23,0.2857142857142857,0.21904761904761905,7,7,0,88,-2,9.898729786351987
0_0_0_10_14_16,-20.0,42,16,4.0,-4.0,105,20,13,0.19047619047619047,0.12380952380952381,7,7,0,105,-4,24.98859258868484
0_0_0_10_14_16,-22.0,42,16,4.0,-4.0,105,24,23,0.22857142857142856,0.21904761904761905,7,4,3,105,-4,14.014863395113561
0_0_0_10_14_16,-24.0,42,16,4.0,-4.0,105,33,29,0.3142857142857143,0.2761904761904762,8,6,2,105,-4,8.182298302244638
0_0_0_10_14_16,-20.0,43,16,4.0,-4.0,105,27,15,0.2571428571428571,0.14285714285714285,12,12,0,105,-4,27.14125275180992
0_0_0_10_14_16,-22.0,43,16,4.0,-4.0,105,31,15,0.29523809523809524,0.14285714285714285,16,16,0,105,-4,17.42177980406459
0_0_0_10_14_16,-24.0,43,16,4.0,-4.0,105,37,24,0.3523809523809524,0.22857142857142856,14,13,0,105,-4,10.642979158887107
0_0_0_10_14_16,-20.0,44,16,4.0,-4.0,105,27,19,0.2571428571428571,0.18095238095238095,10,9,1,105,-4,27.27119485330085
0_0_0_10_14_16,-22.0,44,16,4.0,-4.0,105,30,21,0.2857142857142857,0.2,11,10,1,105,-4,17.446078469513793
0_0_0_10_14_16,-24.0,44,16,4.0,-4.0,105,36,27,0.34285714285714286,0.2571428571428571,13,11,2,105,-4,10.926654245149354
0_0_0_10_14_16,-20.0,42,32,8.0,-8.0,105,25,15,0.23809523809523808,0.14285714285714285,10,10,0,105,-8,28.272513823097444
0_0_0_10_14_16,-22.0,42,32,8.0,-8.0,105,30,22,0.2857142857142857,0.20952380952380953,10,9,1,105,-8,15.677692183526007
0_0_0_10_14_16,-24.0,42,32,8.0,-8.0,105,37,31,0.3523809523809524,0.29523809523809524,8,7,1,87,-8,6.948048506736056
0_0_0_10_14_16,-20.0,43,32,8.0,-8.0,105,15,10,0.14285714285714285,0.09523809523809523,5,5,0,105,-8,25.02496996448731
0_0_0_10_14_16,-22.0,43,32,8.0,-8.0,105,18,12,0.17142857142857143,0.11428571428571428,8,7,1,105,-8,15.248066177180153
0_0_0_10_14_16,-24.0,43,32,8.0,-8.0,105,25,18,0.23809523809523808,0.17142857142857143,9,8,1,105,-8,8.795678994164257
0_0_0_10_14_16,-20.0,44,32,8.0,-8.0,105,24,18,0.22857142857142856,0.17142857142857143,6,6,0,105,-8,26.031447812999826
0_0_0_10_14_16,-22.0,44,32,8.0,-8.0,105,28,20,0.26666666666666666,0.19047619047619047,8,8,0,105,-8,14.877320199146387
0_0_0_10_14_16,-24.0,44,32,8.0,-8.0,105,35,29,0.3333333333333333,0.2761904761904762,8,7,1,105,-8,8.153452093605296
