dataset,sf,os_factor,offpacket_windows,raw_noise_power,raw_bins
0_0_0_10_14_8,10,4,256,1.5707122862973324e-06,89 874 467 713 865 405
0_0_0_10_14_16,10,4,256,6.580712129071404e-06,89 468 713 865 492 765
0_0_0_10_14_32,10,4,256,7.936389222152867e-06,89 468 713 865 492 765
