dataset,snr_label,added_snr_db,decision_count,trial_seed_count,savaux_errors,savaux_ser,white_ml_errors,white_ml_ser,white_ml_decision_mismatches_vs_savaux,colored_ml_errors,colored_ml_ser,colored_ml_fixes_vs_savaux,colored_ml_breaks_vs_savaux,colored_ml_paired_sign_p,seed_wins_ties_losses,seed_level_sign_p,packet_wins_ties_losses,packet_level_sign_p
ALL,-18,-18.0,2520,3,31,0.012301587301587301,31,0.012301587301587301,0,34,0.013492063492063493,0,3,0.25,0|0|3,0.25,0|27|1,1.0
ALL,-20,-20.0,2520,3,57,0.02261904761904762,57,0.02261904761904762,0,57,0.02261904761904762,0,0,1.0,0|3|0,1.0,0|28|0,1.0
ALL,-22,-22.0,2520,3,115,0.04563492063492063,115,0.04563492063492063,0,115,0.04563492063492063,0,0,1.0,0|3|0,1.0,0|28|0,1.0
ALL,-24,-24.0,2520,3,401,0.15912698412698412,401,0.15912698412698412,0,400,0.15873015873015872,1,0,1.0,1|2|0,1.0,1|27|0,1.0
ALL,-26,-26.0,2520,3,982,0.3896825396825397,982,0.3896825396825397,0,982,0.3896825396825397,0,0,1.0,0|3|0,1.0,0|28|0,1.0
ALL,-28,-28.0,2520,3,1656,0.6571428571428571,1656,0.6571428571428571,0,1657,0.6575396825396825,1,2,1.0,1|1|1,1.0,1|25|2,1.0
ALL,clean,,840,1,0,0.0,0,0.0,0,0,0.0,0,0,1.0,0|1|0,1.0,0|28|0,1.0
