dataset,snr_label,added_snr_db,decision_count,trial_seed_count,savaux_errors,savaux_ser,white_ml_errors,white_ml_ser,white_ml_decision_mismatches_vs_savaux,colored_ml_errors,colored_ml_ser,colored_ml_fixes_vs_savaux,colored_ml_breaks_vs_savaux,colored_ml_paired_sign_p,seed_wins_ties_losses,seed_level_sign_p,packet_wins_ties_losses,packet_level_sign_p
0_0_0_10_14_16,-18,-18.0,990,3,0,0.0,0,0.0,0,0,0.0,0,0,1.0,0|3|0,1.0,0|11|0,1.0
0_0_0_10_14_16,-20,-20.0,990,3,0,0.0,0,0.0,0,0,0.0,0,0,1.0,0|3|0,1.0,0|11|0,1.0
0_0_0_10_14_16,-22,-22.0,990,3,16,0.01616161616161616,16,0.01616161616161616,0,16,0.01616161616161616,0,0,1.0,0|3|0,1.0,0|11|0,1.0
0_0_0_10_14_16,-24,-24.0,990,3,136,0.13737373737373737,136,0.13737373737373737,0,135,0.13636363636363635,1,0,1.0,1|2|0,1.0,1|10|0,1.0
0_0_0_10_14_16,-26,-26.0,990,3,380,0.3838383838383838,380,0.3838383838383838,0,380,0.3838383838383838,0,0,1.0,0|3|0,1.0,0|11|0,1.0
0_0_0_10_14_16,-28,-28.0,990,3,641,0.6474747474747474,641,0.6474747474747474,0,642,0.6484848484848484,0,1,1.0,0|2|1,1.0,0|10|1,1.0
0_0_0_10_14_16,clean,,330,1,0,0.0,0,0.0,0,0,0.0,0,0,1.0,0|1|0,1.0,0|11|0,1.0
0_0_0_10_14_32,-18,-18.0,630,3,31,0.049206349206349205,31,0.049206349206349205,0,34,0.05396825396825397,0,3,0.25,0|0|3,0.25,0|6|1,1.0
0_0_0_10_14_32,-20,-20.0,630,3,57,0.09047619047619047,57,0.09047619047619047,0,57,0.09047619047619047,0,0,1.0,0|3|0,1.0,0|7|0,1.0
0_0_0_10_14_32,-22,-22.0,630,3,76,0.12063492063492064,76,0.12063492063492064,0,76,0.12063492063492064,0,0,1.0,0|3|0,1.0,0|7|0,1.0
0_0_0_10_14_32,-24,-24.0,630,3,125,0.1984126984126984,125,0.1984126984126984,0,125,0.1984126984126984,0,0,1.0,0|3|0,1.0,0|7|0,1.0
0_0_0_10_14_32,-26,-26.0,630,3,262,0.4158730158730159,262,0.4158730158730159,0,262,0.4158730158730159,0,0,1.0,0|3|0,1.0,0|7|0,1.0
0_0_0_10_14_32,-28,-28.0,630,3,431,0.6841269841269841,431,0.6841269841269841,0,431,0.6841269841269841,0,0,1.0,0|3|0,1.0,0|7|0,1.0
0_0_0_10_14_32,clean,,210,1,0,0.0,0,0.0,0,0,0.0,0,0,1.0,0|1|0,1.0,0|7|0,1.0
0_0_0_10_14_8,-18,-18.0,900,3,0,0.0,0,0.0,0,0,0.0,0,0,1.0,0|3|0,1.0,0|10|0,1.0
0_0_0_10_14_8,-20,-20.0,900,3,0,0.0,0,0.0,0,0,0.0,0,0,1.0,0|3|0,1.0,0|10|0,1.0
0_0_0_10_14_8,-22,-22.0,900,3,23,0.025555555555555557,23,0.025555555555555557,0,23,0.025555555555555557,0,0,1.0,0|3|0,1.0,0|10|0,1.0
0_0_0_10_14_8,-24,-24.0,900,3,140,0.15555555555555556,140,0.15555555555555556,0,140,0.15555555555555556,0,0,1.0,0|3|0,1.0,0|10|0,1.0
0_0_0_10_14_8,-26,-26.0,900,3,340,0.37777777777777777,340,0.37777777777777777,0,340,0.37777777777777777,0,0,1.0,0|3|0,1.0,0|10|0,1.0
0_0_0_10_14_8,-28,-28.0,900,3,584,0.6488888888888888,584,0.6488888888888888,0,584,0.6488888888888888,1,1,1.0,1|1|1,1.0,1|8|1,1.0
0_0_0_10_14_8,clean,,300,1,0,0.0,0,0.0,0,0,0.0,0,0,1.0,0|1|0,1.0,0|10|0,1.0
