dataset,packet_index,frame_index,payload_symbol_index,frame_symbol_index,start_sample,gt_bin,snr_label,added_snr_db,seed,added_awgn_power,savaux_bin,savaux_correct,savaux_margin_db,white_ml_bin,white_ml_matches_savaux,colored_ml_bin,colored_ml_correct,colored_ml_margin_db,colored_ml_fix_vs_savaux,colored_ml_break_vs_savaux,covariance_model
0_0_0_10_14_8,0,0,0,8,728283,803,clean,,0,0.0,803,1,20.2995094633385,803,1,803,1,7.2529807972205385,0,0,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,0,0,1,9,732379,826,clean,,0,0.0,826,1,21.600136733069725,826,1,826,1,7.4050816066556715,0,0,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,0,0,2,10,736475,922,clean,,0,0.0,922,1,19.141361883236442,922,1,922,1,7.345154396377879,0,0,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,0,0,3,11,740571,718,clean,,0,0.0,718,1,22.329754888329653,718,1,718,1,7.49031005744307,0,0,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,0,0,4,12,744667,86,clean,,0,0.0,86,1,23.212258229205574,86,1,86,1,7.839433847969301,0,0,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,0,0,5,13,748763,467,clean,,0,0.0,467,1,24.99903304138289,467,1,467,1,7.795845677094576,0,0,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,0,0,6,14,752859,89,clean,,0,0.0,89,1,22.636105256193055,89,1,89,1,7.52284269769963,0,0,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,0,0,7,15,756955,713,clean,,0,0.0,713,1,26.86051676410107,713,1,713,1,7.892980889212485,0,0,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,0,0,8,16,761051,865,clean,,0,0.0,865,1,23.102243688617627,865,1,865,1,7.602647296983411,0,0,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,0,0,9,17,765147,405,clean,,0,0.0,405,1,24.267637507406526,405,1,405,1,8.261553736104087,0,0,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,0,0,10,18,769243,765,clean,,0,0.0,765,1,27.456545926504226,765,1,765,1,7.962816657819128,0,0,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,0,0,11,19,773339,1023,clean,,0,0.0,1023,1,28.47645793349518,1023,1,1023,1,8.645785282113058,0,0,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,0,0,12,20,777435,597,clean,,0,0.0,597,1,27.863719483116665,597,1,597,1,8.476686363779827,0,0,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,0,0,13,21,781531,562,clean,,0,0.0,562,1,25.44042768659174,562,1,562,1,9.126476888646247,0,0,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,0,0,14,22,785627,478,clean,,0,0.0,478,1,25.80634412194297,478,1,478,1,8.747242266420779,0,0,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,0,0,15,23,789723,267,clean,,0,0.0,267,1,25.612265038257437,267,1,267,1,8.345854774847567,0,0,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,0,0,16,24,793819,917,clean,,0,0.0,917,1,24.159065052527467,917,1,917,1,8.136326516104955,0,0,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,0,0,17,25,797915,656,clean,,0,0.0,656,1,26.359702303918418,656,1,656,1,8.782665549101893,0,0,header_residual_circulant_plus_known_awgn_identity
