dataset,snr_label,added_snr_db,signal_reference_power,estimated_covariance_power,added_awgn_power,added_to_estimated_covariance_power_db,total_covariance_color_cv,total_lag1_abs_correlation,total_offdiag_to_diag_frobenius,total_covariance_condition_number,covariance_model
0_0_0_10_14_8,clean,,9.801777634934276e-05,6.33969308465362e-05,0.0,-inf,1.7018573337483498,0.7086034810479251,1.7018573337483494,75.97089263593153,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,-18,-18.0,9.801777634934276e-05,6.33969308465362e-05,0.00618450358772348,19.89236612343223,0.01726860589051256,0.0071901410325099,0.01726860589051256,1.0919858480093365,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,-20,-20.0,9.801777634934276e-05,6.33969308465362e-05,0.009801777634934275,21.89236612343223,0.010936707807742186,0.004553724375180841,0.010936707807742184,1.0580654383283747,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,-22,-22.0,9.801777634934276e-05,6.33969308465362e-05,0.015534770647624933,23.892366123432232,0.006917000420435761,0.002880036110627065,0.00691700042043576,1.0366472895185976,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,-24,-24.0,9.801777634934276e-05,6.33969308465362e-05,0.024620952245865465,25.89236612343223,0.004370888246877655,0.00181990967491224,0.0043708882468776545,1.023127048492953,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,-26,-26.0,9.801777634934276e-05,6.33969308465362e-05,0.039021579606382355,27.892366123432232,0.0027604604443230442,0.0011493747691730153,0.0027604604443230442,1.0145938425010368,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_8,-28,-28.0,9.801777634934276e-05,6.33969308465362e-05,0.06184503587723477,29.89236612343223,0.0017427760129671821,0.0007256408189959228,0.0017427760129671821,1.0092087536476053,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_16,clean,,7.290681023720233e-05,4.454168398762108e-05,0.0,-inf,1.6004783961416187,0.6520808743719835,1.6004783961416187,56.142067620877015,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_16,-18,-18.0,7.290681023720233e-05,4.454168398762108e-05,0.004600108738178656,20.140014653505943,0.015348410853427738,0.006253383484370385,0.015348410853427738,1.0827507902928426,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_16,-20,-20.0,7.290681023720233e-05,4.454168398762108e-05,0.0072906810237202335,22.140014653505947,0.009718587395450876,0.003959631683729012,0.009718587395450876,1.052241150893472,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_16,-22,-22.0,7.290681023720233e-05,4.454168398762108e-05,0.011554950722899623,24.140014653505947,0.006145786423173749,0.002503969934357048,0.006145786423173748,1.0329734662887422,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_16,-24,-24.0,7.290681023720233e-05,4.454168398762108e-05,0.018313362739947225,26.140014653505943,0.003883232056541817,0.0015821402906303537,0.0038832320565418163,1.020809442904418,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_16,-26,-26.0,7.290681023720233e-05,4.454168398762108e-05,0.029024723937613375,28.140014653505947,0.0024523496354507644,0.000999157688354732,0.0024523496354507636,1.0131316996717303,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_16,-28,-28.0,7.290681023720233e-05,4.454168398762108e-05,0.046001087381786536,30.140014653505943,0.0015482034754726183,0.0006307825700276425,0.0015482034754726196,1.0082862705917823,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_32,clean,,6.437826280243076e-05,4.491675574168839e-05,0.0,-inf,1.54311365382677,0.6485781030736884,1.5431136538267696,52.910682638960864,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_32,-18,-18.0,6.437826280243076e-05,4.491675574168839e-05,0.004061993774006972,19.563308730122277,0.016876836874954552,0.007093415847301478,0.01687683687495455,1.0898914704834703,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_32,-20,-20.0,6.437826280243076e-05,4.491675574168839e-05,0.006437826280243076,21.56330873012228,0.01069171779382005,0.004493780499004946,0.010691717793820048,1.0567539524109402,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_32,-22,-22.0,6.437826280243076e-05,4.491675574168839e-05,0.010203267045804508,23.56330873012228,0.006763311471847716,0.0028426523957126104,0.006763311471847716,1.0358237770773906,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_32,-24,-24.0,6.437826280243076e-05,4.491675574168839e-05,0.016171088481758373,25.56330873012228,0.0042742745858465655,0.001796498200913234,0.004274274585846564,1.022609033274324,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_32,-26,-26.0,6.437826280243076e-05,4.491675574168839e-05,0.02562944804942518,27.56330873012228,0.0026996445519326963,0.0011346736114501938,0.002699644551932697,1.01426762885776,header_residual_circulant_plus_known_awgn_identity
0_0_0_10_14_32,-28,-28.0,6.437826280243076e-05,4.491675574168839e-05,0.0406199377400697,29.563308730122277,0.001704461012586204,0.0007163931752951229,0.001704461012586204,1.0090031784194524,header_residual_circulant_plus_known_awgn_identity
