capture,packet_index,frame_index,payload_start_sample,payload_start_time_s,symbol_count,dechirp_gt_bin_energy,dechirp_residual_fft_energy,dechirp_total_fft_energy,dechirp_gt_energy_ratio,dechirp_gt_packet_snr_db
xcopy_aligned_raw_low4,0,0,30416308,60.832616,49,0.0002979215570923946,0.009995458143970886,0.01029337970106328,0.0289430260754512,-15.257007757360768
xcopy_aligned_raw_low4,2,2,33417040,66.83408,49,0.00017948367116523705,0.0097541145646362,0.009933598235801436,0.018068344109022288,-17.351629081619183
xcopy_aligned_raw_low4,3,3,34917406,69.834812,49,0.00020587906891225157,0.00958026219853991,0.009786141267452161,0.021037819022395182,-16.677651997946334
xcopy_aligned_raw_low4,4,4,36417772,72.835544,49,0.000197957782024605,0.009826439699547329,0.010024397481571934,0.01974759903410804,-16.958236142181136
xcopy_aligned_raw_low4,5,5,37918139,75.836278,49,0.00018514184033342456,0.010780930032549986,0.01096607187288341,0.01688315036410057,-17.651516511524708
xcopy_aligned_raw_low4,6,6,39418504,78.837008,49,0.00019860890781312352,0.011927340813821786,0.012125949721634909,0.01637883319429974,-17.785449058849977
xcopy_aligned_raw_low4,7,7,40918871,81.837742,49,0.00017438594176789679,0.00982753171519216,0.010001917656960055,0.01743525069380535,-17.509329829543415
xcopy_aligned_raw_low4,8,8,42419237,84.838474,49,0.00018928576085235508,0.010168510862362654,0.010357796623215008,0.018274713024207048,-17.301394117936823
xcopy_aligned_raw_low4,9,9,43919602,87.839204,49,0.00023904783482095785,0.010106653889109779,0.010345701723930737,0.023106004909073892,-16.261225787530638
xcopy_aligned_raw_low4,10,10,45419969,90.839938,49,0.00028661665974416816,0.0093605005523195,0.009647117212063667,0.029710083690675553,-15.139976428454375
xcopy_aligned_raw_low4,11,11,46920334,93.840668,49,0.00021259642335847003,0.009095073188827414,0.009307669612185885,0.022840993741347706,-16.31250244374971
xcopy_aligned_raw_low4,12,12,48420699,96.841398,49,0.00016909592711373536,0.009287676419040486,0.009456772346154222,0.0178809345222846,-17.397739290536574
