payload_symbol_index,frame_count,mode_raw_fft_bin,mode_signed_fft_bin,mode_symbol_value,mode_raw_count,mode_symbol_count,raw_mismatch_count,raw_unique_count,symbol_unique_count,unique_raw_fft_bins,unique_symbol_values,mismatch_frame_indices,mismatch_packet_indices,mismatch_event_indices
0,1,803,-221,802,1,1,0,1,1,803,802,,,
1,1,711,-313,710,1,1,0,1,1,711,710,,,
2,1,922,-102,921,1,1,0,1,1,922,921,,,
3,1,718,-306,717,1,1,0,1,1,718,717,,,
4,1,756,-268,755,1,1,0,1,1,756,755,,,
5,1,109,109,108,1,1,0,1,1,109,108,,,
6,1,932,-92,931,1,1,0,1,1,932,931,,,
7,1,468,468,467,1,1,0,1,1,468,467,,,
8,1,89,89,88,1,1,0,1,1,89,88,,,
9,1,713,-311,712,1,1,0,1,1,713,712,,,
10,1,865,-159,864,1,1,0,1,1,865,864,,,
11,1,92,92,91,1,1,0,1,1,92,91,,,
12,1,645,-379,644,1,1,0,1,1,645,644,,,
13,1,426,426,425,1,1,0,1,1,426,425,,,
14,1,765,-259,764,1,1,0,1,1,765,764,,,
15,1,1023,-1,1022,1,1,0,1,1,1023,1022,,,
16,1,597,-427,596,1,1,0,1,1,597,596,,,
17,1,562,-462,561,1,1,0,1,1,562,561,,,
18,1,827,-197,826,1,1,0,1,1,827,826,,,
19,1,890,-134,889,1,1,0,1,1,890,889,,,
20,1,174,174,173,1,1,0,1,1,174,173,,,
21,1,267,267,266,1,1,0,1,1,267,266,,,
22,1,917,-107,916,1,1,0,1,1,917,916,,,
23,1,656,-368,655,1,1,0,1,1,656,655,,,
24,1,889,-135,888,1,1,0,1,1,889,888,,,
25,1,66,66,65,1,1,0,1,1,66,65,,,
26,1,586,-438,585,1,1,0,1,1,586,585,,,
27,1,425,425,424,1,1,0,1,1,425,424,,,
28,1,860,-164,859,1,1,0,1,1,860,859,,,
29,1,553,-471,552,1,1,0,1,1,553,552,,,
30,1,629,-395,628,1,1,0,1,1,629,628,,,
31,1,759,-265,758,1,1,0,1,1,759,758,,,
32,1,494,494,493,1,1,0,1,1,494,493,,,
33,1,303,303,302,1,1,0,1,1,303,302,,,
34,1,1022,-2,1021,1,1,0,1,1,1022,1021,,,
35,1,720,-304,719,1,1,0,1,1,720,719,,,
36,1,314,314,313,1,1,0,1,1,314,313,,,
37,1,602,-422,601,1,1,0,1,1,602,601,,,
38,1,7,7,6,1,1,0,1,1,7,6,,,
39,1,414,414,413,1,1,0,1,1,414,413,,,
40,1,807,-217,806,1,1,0,1,1,807,806,,,
41,1,195,195,194,1,1,0,1,1,195,194,,,
42,1,826,-198,825,1,1,0,1,1,826,825,,,
43,1,928,-96,927,1,1,0,1,1,928,927,,,
44,1,761,-263,760,1,1,0,1,1,761,760,,,
45,1,590,-434,589,1,1,0,1,1,590,589,,,
46,1,383,383,382,1,1,0,1,1,383,382,,,
47,1,267,267,266,1,1,0,1,1,267,266,,,
48,1,314,314,313,1,1,0,1,1,314,313,,,
