copy_index,transmission_index,nominal_start_sample,relative_delay_samples,relative_cfo_hz,relative_phase_rad,peak_to_median,tone_bin,included,is_reference
0,20,30228484,-11,-7.753723395377554,-1.1881554854942211,47.31656827231164,-8.130368263031414,1,0
1,21,31728849,-9,-7.542205524603551,-0.8814831027838077,20.242144593914563,-7.908575700166693,0,0
2,22,33229214,-9,-6.53623378546464,1.6819668496199667,46.32351085584031,-6.8537378778273705,1,0
3,23,34729579,-8,-5.69025532376477,3.0950408976498753,48.249938906247024,-5.966665166371968,1,0
4,24,36229944,-7,-4.760200989682717,-0.8141425316592711,40.98173081597377,-4.9914325129575445,1,0
5,25,37730309,-5,-3.7674390978639782,0.4589076494090511,36.431223740637364,-3.950446219481819,1,0
6,26,39230674,-5,-2.549695970889554,0.1928445648837229,40.74493057922953,-2.673550002371485,1,0
7,27,40731039,-3,-1.9613690586672838,-1.2804290407797085,30.027064282765682,-2.056644522061106,1,0
8,28,42231404,-2,-1.0248786587938041,0.9812514040081787,44.22990214511146,-1.074663164523372,1,0
9,29,43731769,-2,-0.2709723837150718,-0.18569989628042027,39.281784884807976,-0.2841351382264152,1,0
10,30,45232134,0,0.0,0.0,inf,0.0,1,1
11,31,46732499,0,0.8486139361916423,-1.828769441527106,45.70682316466413,0.8898362067560874,1,0
12,32,48232864,0,1.0214161356372575,2.5568799302813154,71.60363224225853,1.0710324458419729,1,0
