method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations
savaux,0,70,25,0.35714285714285715,0,0,0.2507710999925621,3.58244428560803,0_0_0_10_14_16,-23.0,42,41,-24.0,512,8
information_16,16,70,18,0.2571428571428571,7,0,1.0350847000008798,14.786924285726855,0_0_0_10_14_16,-23.0,42,41,-24.0,512,8
hamming_16,16,70,20,0.2857142857142857,6,1,1.0002139999887731,14.288771428411044,0_0_0_10_14_16,-23.0,42,41,-24.0,512,8
information_32,32,70,15,0.21428571428571427,10,0,1.5860658000092371,22.658082857274817,0_0_0_10_14_16,-23.0,42,41,-24.0,512,8
hamming_32,32,70,17,0.24285714285714285,8,0,1.610875300000771,23.0125042857253,0_0_0_10_14_16,-23.0,42,41,-24.0,512,8
savaux,0,70,25,0.35714285714285715,0,0,0.1102546999900369,1.5750671427148129,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8
information_16,16,70,19,0.2714285714285714,6,0,1.0412403999762319,14.874862856803313,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8
hamming_16,16,70,21,0.3,6,2,1.0242826000066998,14.632608571524283,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8
information_32,32,70,17,0.24285714285714285,8,0,1.611044999986916,23.014928571241658,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8
hamming_32,32,70,18,0.2571428571428571,8,1,1.6374344999967434,23.391921428524906,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8
savaux,0,70,29,0.4142857142857143,0,0,0.11070189998281421,1.581455714040203,0_0_0_10_14_16,-25.0,42,41,-24.0,512,8
information_16,16,70,21,0.3,8,0,1.0393280000171217,14.847542857387452,0_0_0_10_14_16,-25.0,42,41,-24.0,512,8
hamming_16,16,70,22,0.3142857142857143,7,0,1.0107841000026383,14.439772857180547,0_0_0_10_14_16,-25.0,42,41,-24.0,512,8
information_32,32,70,17,0.24285714285714285,12,0,1.6172937999945134,23.104197142778762,0_0_0_10_14_16,-25.0,42,41,-24.0,512,8
hamming_32,32,70,20,0.2857142857142857,9,0,1.6421421999984886,23.459174285692693,0_0_0_10_14_16,-25.0,42,41,-24.0,512,8
savaux,0,70,17,0.24285714285714285,0,0,0.11055879999912577,1.5794114285589396,0_0_0_10_14_16,-23.0,43,41,-24.0,512,8
information_16,16,70,14,0.2,3,0,1.0205840999842621,14.57977285691803,0_0_0_10_14_16,-23.0,43,41,-24.0,512,8
hamming_16,16,70,16,0.22857142857142856,1,0,1.0022053999928175,14.317219999897393,0_0_0_10_14_16,-23.0,43,41,-24.0,512,8
information_32,32,70,14,0.2,4,1,1.5716941000100633,22.452772857286618,0_0_0_10_14_16,-23.0,43,41,-24.0,512,8
hamming_32,32,70,16,0.22857142857142856,2,1,1.5890810999881069,22.70115857125867,0_0_0_10_14_16,-23.0,43,41,-24.0,512,8
savaux,0,70,21,0.3,0,0,0.11033829998996225,1.576261428428032,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8
information_16,16,70,16,0.22857142857142856,5,0,1.0410711000222364,14.872444286031948,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8
hamming_16,16,70,18,0.2571428571428571,3,0,1.0214206999698945,14.591724285284206,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8
