packet_index,frame_index,event_index,payload_len,cr,has_crc,ldro,symbol_count,gt_compared_symbols,center_raw_ser,center_symbol_ser,multi_raw_ser,multi_symbol_ser,pure_raw_ser,pure_symbol_ser,pure_gain_vs_center,pure_gain_vs_multi,pure_crc_valid,pure_payload_hex,pure_decode_error,mean_phase_score,mean_amp_score,mean_candidate_count,mean_selected_energy_drop_db,phase_line_slope_pi,phase_line_r2,phase_line_rmse_pi,phase_line_anchor_count,reference_line_slope_pi,reference_line_anchor_count,refinement_count,error,dataset,target_snr_db,noise_seed
1,0,1,33,1,1,0,35,35,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.9428571428571428,0.9428571428571428,-0.08571428571428574,-0.22857142857142854,0,4024f89bb438424f8a541570ebc94da36b692d3e2a4c79977f661417d26f247c5e,,0.9955178907939366,0.6807024695329728,32.0,-1.8203563608183928,-0.024816282367669366,0.9820721233865554,0.03156740133152776,28,-0.025337552033791788,8,1,,0_0_0_10_14_16,-24.0,42
2,1,2,33,1,1,0,35,35,0.8857142857142857,0.8857142857142857,0.6,0.6,0.9142857142857143,0.9142857142857143,-0.02857142857142858,-0.3142857142857143,0,405425172262868098703d02c596c85906695fa7a6853c017467e182fe03411e37,,0.9947483965328762,0.6707455028170481,32.0,-1.933729809407904,-0.04330696341864577,0.9944150846429408,0.03273594540174931,28,-0.044687974011923925,8,1,,0_0_0_10_14_16,-24.0,42
3,2,3,33,1,1,0,35,35,0.9714285714285714,0.9714285714285714,0.6571428571428571,0.6571428571428571,0.9714285714285714,0.9714285714285714,0.0,-0.3142857142857143,0,40b41f5e0cddbd960e29d17280eb64eef7ef0e1481a854c619e6aae0a9bedcca91,,0.9950411319732666,0.6382453895375164,32.0,-2.0317387954676183,-0.012298874287859083,0.9580056847470486,0.0265908407065091,28,-0.011183014457091687,8,1,,0_0_0_10_14_16,-24.0,42
5,3,5,33,1,1,0,35,35,0.8571428571428571,0.8571428571428571,0.5428571428571428,0.5428571428571428,0.8857142857142857,0.8857142857142857,-0.02857142857142858,-0.34285714285714286,0,4034661752150200503031da909b183a82e28f2e7da26d0e2045b55efb24fefd00,,0.9953493118286133,0.6986458916647716,32.0,-1.7235413385252434,-0.05496958050049323,0.996435334714587,0.0333484479542539,28,-0.05334314429506908,8,1,,0_0_0_10_14_16,-24.0,42
6,4,6,33,1,1,0,35,35,0.8857142857142857,0.8857142857142857,0.42857142857142855,0.42857142857142855,0.9714285714285714,0.9714285714285714,-0.08571428571428574,-0.5428571428571429,0,40a4e01c66b93015e725e6b46e4c1730f0f053091abfd204a92b207e42759de649,,0.9948206901550293,0.682745128499572,32.0,-1.803051070172737,-0.09203392174058916,0.9991531953961049,0.02801520962054518,28,-0.0910458171516345,8,1,,0_0_0_10_14_16,-24.0,42
8,5,8,33,1,1,0,35,35,0.9142857142857143,0.9142857142857143,0.5714285714285714,0.5714285714285714,1.0,1.0,-0.08571428571428574,-0.4285714285714286,0,40e482f76211b5353ed1201cc4c67126e297b88ca6e2a7bcb1ea54ce04968e2cd9,,0.994516967024122,0.6522574456383515,32.0,-1.992627317201115,0.0027367422667494644,0.45176598836477466,0.030579557649423543,28,0.0030182951745696945,8,1,,0_0_0_10_14_16,-24.0,42
9,6,9,33,1,1,0,35,35,0.8,0.8,0.5714285714285714,0.5714285714285714,0.9428571428571428,0.9428571428571428,-0.1428571428571428,-0.37142857142857144,0,407403a33aaa79e9ecfb8df716f722c8e93478aa2fb16396849d0ce0cf19476369,,0.9944635714803424,0.6752741958097318,32.0,-1.8191183190490896,-0.07750325771596026,0.9976759035436453,0.036394128744318625,28,-0.07760200734169853,8,1,,0_0_0_10_14_16,-24.0,42
10,7,10,33,1,1,0,35,35,0.8,0.8,0.6,0.6,0.9714285714285714,0.9714285714285714,-0.17142857142857137,-0.37142857142857144,0,40e467c5f54bce2766ca11f0d512d82364ad179b3bff0e23cca5dce1f5c070a3c3,,0.9958673289843968,0.717789011353115,32.0,-1.554619859721649,-0.0500861625616386,0.9969719513562909,0.027479409487135162,28,-0.04972933809741951,8,1,,0_0_0_10_14_16,-24.0,42
11,8,11,33,1,1,0,35,35,0.8285714285714286,0.8285714285714286,0.4,0.4,0.9714285714285714,0.9714285714285714,-0.1428571428571428,-0.5714285714285714,0,40c42bb65dcc3dee04da033988a3ba4f2febe0c67eef24edc1071c57408cccac8d,,0.9941476242882865,0.6547517992423753,32.0,-1.9690916603788318,-0.0797701732967526,0.998225810234292,0.03409429960065555,28,-0.07993644198485637,8,1,,0_0_0_10_14_16,-24.0,42
12,9,12,33,1,1,0,35,35,0.6285714285714286,0.6285714285714286,0.2857142857142857,0.2857142857142857,0.9142857142857143,0.9142857142857143,-0.2857142857142857,-0.6285714285714286,0,40b4f928dc5732612956051644660f7a80777a8fa82adfe3c86c6146013c7210da,,0.9937766466821943,0.6475651133296613,32.0,-2.079127520793029,-0.046437527835389375,0.9942861098543182,0.035904532451574406,28,-0.047084119146971214,8,1,,0_0_0_10_14_16,-24.0,42
13,10,13,33,1,1,0,35,35,0.7428571428571429,0.7428571428571429,0.3142857142857143,0.3142857142857143,0.9142857142857143,0.9142857142857143,-0.17142857142857137,-0.6,0,40947eb2d19563cc9ef49d6007ecf859f82ec53d663a9d3d9d9ffafafbfb46742a,,0.9959182875497,0.710710025310021,32.0,-1.652415015547449,-0.04596854151591772,0.9963352599057312,0.029129160746509893,28,-0.04491333758342689,8,1,,0_0_0_10_14_16,-24.0,42
