method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,accepted_proposals,rejected_proposals,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db,lora_guard_margin_db,lora_guard_segments
savaux,0,70,8,0.11428571428571428,0,0,0.24743909999233438,3.534844285604777,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
hamming_8,8,70,8,0.11428571428571428,0,0,0.37365509999654023,5.337929999950575,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8,8,70,8,0.11428571428571428,0,0,0.36959289998412714,5.279898571201817,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap,8,70,10,0.14285714285714285,0,2,0.4099384999972244,5.8562642856746345,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_gated,8,70,9,0.12857142857142856,0,1,0.04295279999496415,0.6136114284994879,7,0.1,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_lora_guarded,8,70,9,0.12857142857142856,0,1,0.05110899999635876,0.7301285713765537,7,0.1,3,1,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
savaux,0,70,8,0.11428571428571428,0,0,0.1021074000018416,1.4586771428834513,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
hamming_8,8,70,10,0.14285714285714285,0,2,0.3780575000018871,5.400821428598387,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8,8,70,7,0.1,1,0,0.37523240000155056,5.360462857165008,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap,8,70,6,0.08571428571428572,2,0,0.41708599999765283,5.958371428537897,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_gated,8,70,7,0.1,1,0,0.046643900001072325,0.6663414285867475,8,0.11428571428571428,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_lora_guarded,8,70,7,0.1,1,0,0.05366130000038538,0.7665900000055055,8,0.11428571428571428,1,1,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
savaux,0,70,5,0.07142857142857142,0,0,0.10082619998138398,1.4403742854483426,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
hamming_8,8,70,6,0.08571428571428572,0,1,0.3891750000184402,5.559642857406288,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8,8,70,8,0.11428571428571428,0,3,0.3885270999962813,5.550387142804019,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap,8,70,6,0.08571428571428572,2,3,0.43059280002489686,6.151325714641383,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_gated,8,70,6,0.08571428571428572,2,3,0.06253949999882025,0.893421428554575,10,0.14285714285714285,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_lora_guarded,8,70,7,0.1,1,3,0.0734067999983381,1.04866857140483,10,0.14285714285714285,4,3,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
