packet_index,event_index,success,total_payload,correct_count,final_error_rate,initial_slope_pi,final_slope_pi,initial_line_r2,final_line_r2,preamble_anchors,header_anchors,header_method,header_rescue_score,header_rescue_visited,preamble_line_slope_pi,header_line_slope_pi,preamble_line_r2,header_line_r2,refinement_rounds,round0_acc,round1_acc,round2_acc,payload_len,gt_bins_available
1,1,1,228,8,0.9649,-0.1028,-0.1028,0.1603,0.1603,16,8,phase_checksum_beam,7.0759,174950,-0.0011,-0.1028,-0.0114,0.1603,2,0.0351,0.0263,,187,35
2,2,1,225,3,0.9867,-0.2564,-0.2564,0.8232,0.8232,16,8,phase_checksum_beam,6.8903,174950,-0.0039,-0.2564,0.0681,0.8232,2,0.0133,0.0133,,222,35
3,3,1,180,12,0.9333,0.1554,0.1554,0.5019,0.5019,16,8,phase_checksum_beam,6.9602,174950,-0.0053,0.1554,0.1157,0.5019,2,0.0667,0.0333,,98,35
