dataset,snr_db,seed,packet_index,block_index,hard_errors,gt_fixed_coherence,hard_fixed_coherence,gt_beats_hard_fixed,gt_best_coherence,hard_best_coherence,gt_beats_hard_own_best,random_trials,gt_beats_random_fixed_fraction,gt_beats_random_own_best_fraction,random_fixed_max,random_own_best_max
0_0_0_10_14_32,-22.0,50,0,0,4,0.7223459431564704,0.004362930515168721,1,0.7223459431564704,0.6777374095269639,1,64,0.984375,0.9375,0.7292901312372785,0.8191203428536107
0_0_0_10_14_32,-22.0,50,0,1,4,0.8963889574221643,0.024339628469875623,1,0.8963889574221646,0.8361202976223194,1,64,1.0,1.0,0.6854933394099032,0.8146789396700387
0_0_0_10_14_32,-22.0,50,0,2,4,0.8985131414106585,0.5572019621847905,1,0.8985131414106583,0.5574599674415502,1,64,1.0,0.984375,0.6361081962513965,0.9043446932210152
0_0_0_10_14_32,-22.0,50,0,3,5,0.6962152240660158,0.01743676004922552,1,0.6962152240660158,0.5921227284481415,1,64,1.0,0.90625,0.6275676470315755,0.9101945190398489
0_0_0_10_14_32,-22.0,50,0,4,5,0.6539484010212134,0.09004288298517293,1,0.6539484010212134,0.43270413772317995,1,64,0.984375,0.78125,0.7047178098203456,0.8567108390234457
0_0_0_10_14_32,-22.0,50,0,5,2,0.8562306724842051,0.89410692864123,0,0.8562306724842048,0.8941304578714233,0,64,1.0,0.96875,0.7089256304822656,0.9463698179071274
0_0_0_10_14_32,-22.0,50,0,6,4,0.747365377004531,0.2469057149660701,1,0.747365377004531,0.647154763516331,1,64,0.96875,0.78125,0.8552132827136145,0.8557642337594559
0_0_0_10_14_32,-22.0,50,2,0,0,0.961144683098642,0.961144683098642,0,0.961144683098642,0.961144683098642,0,64,1.0,1.0,0.8680520846293645,0.8909063951206608
0_0_0_10_14_32,-22.0,50,2,1,0,0.952416719977781,0.952416719977781,0,0.9524167199777812,0.9524167199777812,0,64,1.0,1.0,0.7355631652180393,0.8351507790787375
0_0_0_10_14_32,-22.0,50,2,2,0,0.9531147402167928,0.9531147402167928,0,0.9531147402167923,0.9531147402167923,0,64,1.0,1.0,0.5718753944029379,0.9420370829449722
