dataset,target_snr_db,packet_index,frame_index,event_index,payload_len,symbol_count,traditional_fft_symbol_ser,multi_offset_argmax_symbol_ser,current_selected_symbol_ser,savaux_paper_symbol_ser,savaux_codec_symbol_ser,current_gain_vs_traditional_fft,savaux_gain_vs_traditional_fft,savaux_codec_gain_vs_traditional_fft,savaux_gain_vs_current,savaux_codec_gain_vs_current,savaux_codec_gain_vs_savaux,traditional_fft_crc_valid,multi_offset_argmax_crc_valid,current_selected_crc_valid,savaux_paper_crc_valid,savaux_codec_crc_valid,savaux_codec_success,savaux_codec_selected_source,savaux_codec_selected_beam_rank,savaux_codec_candidate_payload_count,savaux_codec_observed_crc_valid_count,savaux_codec_accepted_crc_valid_count,savaux_codec_selected_source_is_argmax_fallback,savaux_codec_topk_recall,savaux_codec_mean_gt_rank,savaux_codec_symbol_change_count,savaux_codec_symbol_fix_count,savaux_codec_symbol_break_count,winner_by_symbol_ser
0_0_0_10_14_8,-12.0,0,0,0,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,17,17,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-12.0,1,1,1,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,13,13,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-12.0,2,2,2,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,25,25,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-12.0,3,3,3,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,17,17,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-12.0,4,4,4,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,17,17,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-12.0,5,5,5,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,9,9,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-12.0,6,6,6,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,13,13,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-12.0,7,7,7,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,27,27,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-12.0,8,8,8,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,11,11,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-12.0,9,9,9,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,21,21,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-13.0,0,0,0,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,17,17,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-13.0,1,1,1,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,13,13,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-13.0,2,2,2,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,25,25,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-13.0,3,3,3,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,20,20,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-13.0,4,4,4,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,16,16,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-13.0,5,5,5,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,9,9,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-13.0,6,6,6,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,13,13,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-13.0,7,7,7,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,28,28,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-13.0,8,8,8,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,10,10,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-13.0,9,9,9,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,19,19,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-14.0,0,0,0,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,17,17,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-14.0,1,1,1,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,14,14,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-14.0,2,2,2,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,25,25,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-14.0,3,3,3,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,20,20,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-14.0,4,4,4,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,16,16,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-14.0,5,5,5,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,8,8,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-14.0,6,6,6,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,13,13,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-14.0,7,7,7,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,28,28,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-14.0,8,8,8,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,10,10,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-14.0,9,9,9,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,17,17,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-15.0,0,0,0,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,16,16,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-15.0,1,1,1,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,12,12,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-15.0,2,2,2,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,25,25,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-15.0,3,3,3,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,22,22,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-15.0,4,4,4,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,16,16,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-15.0,5,5,5,33,35,0.02857142857142857,0.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,8,8,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-15.0,6,6,6,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,13,13,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-15.0,7,7,7,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,26,26,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-15.0,8,8,8,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,10,10,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-15.0,9,9,9,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,17,17,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-16.0,0,0,0,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,17,17,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-16.0,1,1,1,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,11,11,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-16.0,2,2,2,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,26,26,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-16.0,3,3,3,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,23,23,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-16.0,4,4,4,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,14,14,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-16.0,5,5,5,33,35,0.11428571428571428,0.0,0.0,0.0,0.0,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,9,9,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-16.0,6,6,6,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,14,14,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-16.0,7,7,7,33,35,0.02857142857142857,0.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,23,23,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-16.0,8,8,8,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,10,10,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-16.0,9,9,9,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,20,20,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-17.0,0,0,0,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,17,17,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-17.0,1,1,1,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,12,12,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-17.0,2,2,2,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,26,26,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-17.0,3,3,3,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,21,21,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-17.0,4,4,4,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,14,14,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-17.0,5,5,5,33,35,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,9,9,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-17.0,6,6,6,33,35,0.08571428571428572,0.0,0.0,0.0,0.0,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,12,12,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-17.0,7,7,7,33,35,0.02857142857142857,0.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,22,22,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-17.0,8,8,8,33,35,0.05714285714285714,0.0,0.0,0.0,0.0,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,10,10,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-17.0,9,9,9,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,21,21,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-18.0,0,0,0,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,16,16,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-18.0,1,1,1,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,11,11,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-18.0,2,2,2,33,35,0.02857142857142857,0.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,27,27,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-18.0,3,3,3,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,21,21,0,1.0,1.0,0,0,0,traditional_fft
0_0_0_10_14_8,-18.0,4,4,4,33,35,0.02857142857142857,0.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,14,14,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-18.0,5,5,5,33,35,0.37142857142857144,0.0,0.0,0.0,0.0,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,9,9,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-18.0,6,6,6,33,35,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,13,13,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-18.0,7,7,7,33,35,0.2571428571428571,0.0,0.0,0.0,0.0,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,21,21,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-18.0,8,8,8,33,35,0.11428571428571428,0.0,0.0,0.0,0.0,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,6,6,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-18.0,9,9,9,33,35,0.08571428571428572,0.0,0.0,0.0,0.0,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.0,0.0,0.0,0,1,1,1,1,1,beam,0,512,21,21,0,1.0,1.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-19.0,0,0,0,33,35,0.02857142857142857,0.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,1,1,1,1,1,1,beam,0,512,14,14,0,1.0,1.0,0,0,0,multi_offset_argmax
