dataset,method,metric,threshold_snr_db,status
mean_of_datasets,multi_offset_argmax,CRC/PRR>=90%,-19.06656580937973,interpolated
mean_of_datasets,multi_offset_argmax,CRC/PRR>=80%,-19.416036308623298,interpolated
mean_of_datasets,multi_offset_argmax,CRC/PRR>=50%,-20.53206239168111,interpolated
mean_of_datasets,current_selected,SER<=10%,-21.915295551492992,interpolated
mean_of_datasets,current_selected,accuracy>=90%,-21.915295551492996,interpolated
mean_of_datasets,current_selected,CRC/PRR>=90%,-20.076691729323308,interpolated
mean_of_datasets,current_selected,CRC/PRR>=80%,-20.42406015037594,interpolated
mean_of_datasets,current_selected,CRC/PRR>=50%,-21.47184170471842,interpolated
mean_of_datasets,savaux_paper,SER<=10%,-23.050640634533252,interpolated
mean_of_datasets,savaux_paper,accuracy>=90%,-23.050640634533252,interpolated
mean_of_datasets,savaux_paper,CRC/PRR>=90%,-21.07085346215781,interpolated
mean_of_datasets,savaux_paper,CRC/PRR>=80%,-21.44283413848631,interpolated
mean_of_datasets,savaux_paper,CRC/PRR>=50%,-22.536321483771253,interpolated
0_0_0_10_14_16,savaux_codec,SER<=10%,-24.07758620689655,interpolated
0_0_0_10_14_16,savaux_codec,accuracy>=90%,-24.07758620689655,interpolated
0_0_0_10_14_16,savaux_codec,CRC/PRR>=80%,-23.066666666666666,interpolated
0_0_0_10_14_16,savaux_codec,CRC/PRR>=50%,-24.166666666666668,interpolated
0_0_0_10_14_32,savaux_codec,SER<=10%,-18.4375,interpolated
0_0_0_10_14_32,savaux_codec,accuracy>=90%,-18.4375,interpolated
0_0_0_10_14_32,savaux_codec,CRC/PRR>=80%,-22.4,interpolated
0_0_0_10_14_32,savaux_codec,CRC/PRR>=50%,-24.25,interpolated
0_0_0_10_14_8,savaux_codec,SER<=10%,-23.714285714285715,interpolated
0_0_0_10_14_8,savaux_codec,accuracy>=90%,-23.714285714285715,interpolated
0_0_0_10_14_8,savaux_codec,CRC/PRR>=80%,-23.0,interpolated
0_0_0_10_14_8,savaux_codec,CRC/PRR>=50%,-24.0,interpolated
mean_of_datasets,savaux_codec,SER<=10%,-23.392607392607392,interpolated
mean_of_datasets,savaux_codec,accuracy>=90%,-23.392607392607392,interpolated
mean_of_datasets,savaux_codec,CRC/PRR>=80%,-22.871287128712872,interpolated
mean_of_datasets,savaux_codec,CRC/PRR>=50%,-24.154109589041095,interpolated
