packet_index,event_index,anchor_symbol_index,absolute_symbol_index,anchor_grid,anchor_start_sample,anchor_cfo_common_phase_rad,anchor_bin_mode,anchor_bin,anchor_signed_bin,argmax_bin,argmax_signed_bin,is_anchor_bin_argmax,anchor_real,anchor_imag,anchor_amp,anchor_power,anchor_phase,anchor_energy_ratio,peak_margin_db,total_fft_energy,anchor_phase_unwrap,phase_line_fit,phase_line_residual,file_name,sf,bw,samp_rate,cfo_int,cfo_frac,sfo_hat,anchor_line_slope_pi_per_symbol,anchor_line_r2
1,1,0,0.0,payload_backtrack,2435248,3108.232061326145,bin0,0,0,0,0,1,-6.898196697235107,2.2135159969329834,7.244637378255972,52.484771728515625,2.831088679002103,0.7891968967051098,20.092907348580805,66.50402700218297,2.831088679002103,2.8257265121454975,0.005362166856605288,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,0.00013192181303570675,0.021082933480084498
1,1,1,1.0,payload_backtrack,2439344,2954.7391200260886,bin0,0,0,0,0,1,-7.118429183959961,2.229372501373291,7.459365643064582,55.64213943481445,2.8380854802253586,0.8092911358037421,20.21377625627324,68.75416889319297,2.8380854802253586,2.8261409567441786,0.011944523481179912,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,0.00013192181303570675,0.021082933480084498
1,1,2,2.0,payload_backtrack,2443440,2801.2461787260318,bin0,0,0,0,0,1,-7.165926456451416,2.3425099849700928,7.539088473347088,56.837860107421875,2.8256471859046166,0.82219761367575,21.292943316301006,69.12919614704333,2.8256471859046166,2.8265554013428598,-0.0009082154382431539,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,0.00013192181303570675,0.021082933480084498
1,1,3,3.0,payload_backtrack,2447536,2647.7532374259754,bin0,0,0,0,0,1,-6.752790927886963,2.3794288635253906,7.1597393131545095,51.261871337890625,2.802814897835091,0.7664861317120765,23.10001038051745,66.87905914669136,2.802814897835091,2.8269698459415413,-0.024154948106450466,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,0.00013192181303570675,0.021082933480084498
1,1,4,4.0,payload_backtrack,2451632,2494.260296125919,bin0,0,0,0,0,1,-6.588751792907715,2.203096389770508,6.947322066175173,48.265281677246094,2.8189072800579402,0.717655897571761,23.67939573490179,67.25407237724244,2.8189072800579402,2.8273842905402224,-0.008477010482282221,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,0.00013192181303570675,0.021082933480084498
1,1,5,5.0,payload_backtrack,2455728,2340.767354825862,bin0,0,0,0,0,1,-6.941460609436035,2.1033239364624023,7.253126703294779,52.607845306396484,2.84737774526711,0.7800505825343286,20.481040145053836,67.44158197469369,2.84737774526711,2.8277987351389036,0.01957901012820651,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,0.00013192181303570675,0.021082933480084498
1,1,6,6.0,payload_backtrack,2459824,2187.274413525806,bin0,0,0,0,0,1,-7.158919334411621,2.324429750442505,7.526825340165317,56.65309524536133,2.8276411351632182,0.8262485509998231,24.05450308854537,68.56665004350907,2.8276411351632182,2.8282131797375847,-0.0005720445743664371,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,0.00013192181303570675,0.021082933480084498
1,1,7,7.0,payload_backtrack,2463920,2033.7814722257492,bin0,0,0,0,0,1,-7.1226301193237305,2.416316509246826,7.521332680420162,56.5704460144043,2.8145310866616557,0.8205551790322233,23.78180166665038,68.94167200446464,2.8145310866616557,2.8286276243362662,-0.014096537674610499,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,0.00013192181303570675,0.021082933480084498
1,1,8,8.0,payload_backtrack,2468016,1880.2885309256926,bin0,0,0,0,0,1,-7.2135796546936035,2.203660726547241,7.542668760613593,56.89185333251953,2.8451087967599418,0.8282206426650485,27.392444415352955,68.69166306873603,2.8451087967599418,2.8290420689349474,0.01606672782499441,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,0.00013192181303570675,0.021082933480084498
1,1,9,9.0,payload_backtrack,2472112,1726.795589625636,bin0,0,0,0,0,1,-7.232919692993164,2.2924282550811768,7.587513070168832,57.57035446166992,2.834664578688897,0.8320414915514298,27.970200684683352,69.19168700868977,2.834664578688897,2.8294565135336285,0.005208065155268392,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,0.00013192181303570675,0.021082933480084498
