dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_raw_bin,savaux_top1_raw_bin,phase_line_raw_bin,gt_symbol,savaux_top1_symbol,phase_line_symbol,gt_in_topk_raw,topk_size,raw_category,symbol_category
0_0_0_10_14_16,-22.0,42,1,0,222,222,222,221,221,221,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,1,826,826,826,825,825,825,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,2,922,922,922,921,921,921,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,3,718,718,718,717,717,717,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,4,107,107,107,106,106,106,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,5,468,468,468,467,467,467,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,6,89,89,89,88,88,88,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,7,713,713,713,712,712,712,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,8,865,865,865,864,864,864,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,9,492,492,492,491,491,491,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,10,765,765,765,764,764,764,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,11,1023,1023,1023,1022,1022,1022,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,12,597,597,597,596,596,596,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,13,562,562,562,561,561,561,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,14,478,478,478,477,477,477,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,15,267,267,267,266,266,266,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,16,917,917,917,916,916,916,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,17,656,656,656,655,655,655,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,18,889,889,889,888,888,888,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,19,510,510,510,509,509,509,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,20,860,860,860,859,859,859,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,21,553,553,553,552,552,552,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,22,629,629,629,628,628,628,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,23,759,759,759,758,758,758,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,24,874,874,874,873,873,873,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,25,720,720,720,719,719,719,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,26,314,314,314,313,313,313,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,27,602,602,602,601,601,601,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,28,7,7,7,6,6,6,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,29,610,610,610,609,609,609,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,30,807,807,807,806,806,806,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,31,897,897,897,896,896,896,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,32,749,749,749,748,748,748,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,33,584,584,584,583,583,583,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,1,34,934,934,934,933,933,933,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,0,803,803,803,802,802,802,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,1,826,826,826,825,825,825,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,2,922,922,922,921,921,921,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,3,718,718,718,717,717,717,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,4,86,86,86,85,85,85,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,5,468,468,468,467,467,467,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,6,89,89,89,88,88,88,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,7,713,713,713,712,712,712,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,8,865,865,865,864,864,864,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,9,492,492,492,491,491,491,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,10,765,765,765,764,764,764,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,11,1023,1023,1023,1022,1022,1022,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,12,597,151,597,596,150,596,1,40,B_savaux_wrong_phase_rescue,B_savaux_wrong_phase_rescue
0_0_0_10_14_16,-22.0,42,2,13,562,562,562,561,561,561,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,14,478,478,478,477,477,477,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,15,267,267,267,266,266,266,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,16,917,917,917,916,916,916,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,17,656,656,656,655,655,655,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,18,889,889,889,888,888,888,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,19,510,510,510,509,509,509,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,20,860,860,860,859,859,859,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,21,553,553,553,552,552,552,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,22,629,629,629,628,628,628,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,23,759,759,759,758,758,758,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,24,874,874,874,873,873,873,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,25,720,720,720,719,719,719,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,26,314,314,314,313,313,313,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,27,602,602,602,601,601,601,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,28,7,7,7,6,6,6,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,29,610,610,610,609,609,609,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,30,775,775,775,774,774,774,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,31,912,912,912,911,911,911,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,32,768,768,768,767,767,767,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,33,581,581,581,580,580,580,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,2,34,93,93,93,92,92,92,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,0,222,222,222,221,221,221,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,1,711,711,711,710,710,710,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,2,871,871,871,870,870,870,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,3,718,718,718,717,717,717,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,4,107,107,107,106,106,106,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,5,468,468,468,467,467,467,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,6,89,752,89,88,751,88,1,40,B_savaux_wrong_phase_rescue,B_savaux_wrong_phase_rescue
0_0_0_10_14_16,-22.0,42,3,7,713,602,713,712,601,712,1,40,B_savaux_wrong_phase_rescue,B_savaux_wrong_phase_rescue
0_0_0_10_14_16,-22.0,42,3,8,865,865,865,864,864,864,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,9,492,492,492,491,491,491,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,10,765,765,765,764,764,764,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,11,1023,1023,1023,1022,1022,1022,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,12,597,597,597,596,596,596,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,13,562,562,562,561,561,561,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,14,478,478,478,477,477,477,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,15,267,267,267,266,266,266,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,16,917,917,917,916,916,916,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,17,656,656,656,655,655,655,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,18,889,889,889,888,888,888,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,19,510,510,510,509,509,509,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,20,860,860,860,859,859,859,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,21,553,553,553,552,552,552,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,22,629,629,629,628,628,628,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,23,759,759,759,758,758,758,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,24,874,874,874,873,873,873,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,25,720,720,720,719,719,719,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,26,314,314,314,313,313,313,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,27,602,602,602,601,601,601,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,28,7,7,7,6,6,6,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,29,610,610,610,609,609,609,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,30,778,778,778,777,777,777,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,31,897,897,897,896,896,896,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,32,740,740,740,739,739,739,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,33,590,590,590,589,589,589,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,3,34,930,930,930,929,929,929,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,0,222,222,222,221,221,221,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,1,826,826,826,825,825,825,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,2,871,871,871,870,870,870,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,3,718,718,718,717,717,717,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,4,86,86,86,85,85,85,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,5,468,468,468,467,467,467,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,6,89,89,89,88,88,88,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,7,713,713,713,712,712,712,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,8,865,865,865,864,864,864,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,9,492,492,492,491,491,491,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,10,765,765,765,764,764,764,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,11,1023,1023,1023,1022,1022,1022,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,12,597,597,597,596,596,596,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,13,562,562,562,561,561,561,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,14,478,478,478,477,477,477,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,15,267,267,267,266,266,266,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,16,917,917,917,916,916,916,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,17,656,656,656,655,655,655,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,18,889,889,889,888,888,888,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,19,510,510,510,509,509,509,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,20,860,860,860,859,859,859,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,21,553,553,553,552,552,552,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,22,629,629,629,628,628,628,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,23,759,759,759,758,758,758,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,24,874,874,874,873,873,873,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,25,720,720,720,719,719,719,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,26,314,314,314,313,313,313,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,27,602,602,602,601,601,601,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,28,7,7,7,6,6,6,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,29,610,610,610,609,609,609,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,30,823,823,823,822,822,822,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,31,913,913,913,912,912,912,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,32,741,741,741,740,740,740,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,33,581,581,581,580,580,580,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,5,34,91,91,91,90,90,90,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,0,803,803,803,802,802,802,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-22.0,42,6,1,826,826,826,825,825,825,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
