dataset,snr_db,seed,packet_count,symbol_count,mean_gt_topk_recall,mean_gt_savaux_rank,savaux_ser,best_pattern_ser,mean_pattern_ser,coherent_pattern_ser,whitened_pattern_ser,stable_pattern_ser,hybrid_mean_pattern_ser,gated_mean_pattern_ser,gated_stable_pattern_ser,gated_consensus_pattern_ser,gated_hybrid_pattern_ser,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,best_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,mean_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,coherent_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,whitened_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,stable_pattern_changes_vs_savaux,hybrid_mean_pattern_fix_vs_savaux,hybrid_mean_pattern_break_vs_savaux,hybrid_mean_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_mean_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_stable_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,gated_consensus_pattern_changes_vs_savaux,gated_hybrid_pattern_fix_vs_savaux,gated_hybrid_pattern_break_vs_savaux,gated_hybrid_pattern_changes_vs_savaux
0_0_0_10_14_8,-22.0,1,3,105,1.0,1.0,0.0,0.10476190476190476,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0,11,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_8,-23.0,1,3,105,1.0,1.0380952380952382,0.01904761904761905,0.24761904761904763,0.047619047619047616,0.05714285714285714,0.05714285714285714,0.0380952380952381,0.0380952380952381,0.0380952380952381,0.0380952380952381,0.02857142857142857,0.047619047619047616,1,25,27,1,4,5,1,5,6,1,5,6,0,2,2,1,3,4,1,3,4,0,2,2,0,1,1,0,3,3
0_0_0_10_14_8,-24.0,1,3,105,1.0,1.3714285714285712,0.14285714285714285,0.3619047619047619,0.14285714285714285,0.12380952380952381,0.13333333333333333,0.11428571428571428,0.12380952380952381,0.11428571428571428,0.13333333333333333,0.13333333333333333,0.11428571428571428,4,27,40,4,4,11,4,2,9,4,3,9,3,0,4,3,1,6,4,1,6,1,0,2,1,0,1,3,0,3
0_0_0_10_14_8,-22.0,2,3,105,1.0,1.0,0.0,0.10476190476190476,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0,11,11,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0_0_0_10_14_8,-23.0,2,3,105,1.0,1.0666666666666667,0.02857142857142857,0.22857142857142856,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.01904761904761905,0.02857142857142857,0.0380952380952381,0.02857142857142857,0.02857142857142857,0.0380952380952381,0,21,23,1,3,5,1,3,5,1,3,5,1,0,2,1,1,3,1,2,4,0,0,0,0,0,0,0,1,2
0_0_0_10_14_8,-24.0,2,3,105,1.0,1.2476190476190476,0.08571428571428572,0.3619047619047619,0.11428571428571428,0.11428571428571428,0.10476190476190476,0.08571428571428572,0.0761904761904762,0.10476190476190476,0.08571428571428572,0.08571428571428572,0.06666666666666667,1,30,38,1,4,8,1,4,9,1,3,8,1,1,4,1,0,4,1,3,7,1,1,2,0,0,0,2,0,3
0_0_0_10_14_8,-22.0,42,3,105,1.0,1.0,0.0,0.09523809523809523,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.0,0.009523809523809525,0.009523809523809525,0.0,0.0,0.0,0,10,10,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
0_0_0_10_14_8,-23.0,42,3,105,1.0,1.0285714285714285,0.01904761904761905,0.2571428571428571,0.0380952380952381,0.02857142857142857,0.009523809523809525,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.01904761904761905,0,25,26,0,2,3,1,2,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0_0_0_10_14_8,-24.0,42,3,105,1.0,1.2476190476190476,0.08571428571428572,0.4380952380952381,0.12380952380952381,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.09523809523809523,0.11428571428571428,0.08571428571428572,0.08571428571428572,0.08571428571428572,2,39,46,2,6,9,0,6,6,0,6,6,0,1,1,0,1,1,0,3,4,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,-22.0,1,3,105,1.0,1.0,0.0,0.11428571428571428,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.0,0.009523809523809525,0.009523809523809525,0.0,0.0,0.0,0,12,12,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,-23.0,1,3,105,1.0,1.0571428571428572,0.0380952380952381,0.20952380952380953,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.0380952380952381,0.047619047619047616,0.05714285714285714,0.0380952380952381,0.0380952380952381,0.0380952380952381,1,19,22,0,2,3,0,2,3,0,2,3,0,0,0,0,1,1,0,2,3,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,-24.0,1,3,105,0.9904761904761905,1.5142857142857142,0.14285714285714285,0.45714285714285713,0.19047619047619047,0.17142857142857143,0.17142857142857143,0.1523809523809524,0.13333333333333333,0.17142857142857143,0.14285714285714285,0.14285714285714285,0.12380952380952381,2,35,48,1,6,14,2,5,12,2,5,12,0,1,4,2,1,4,1,4,10,0,0,1,0,0,1,2,0,2
0_0_0_10_14_16,-22.0,2,3,105,1.0,1.0,0.0,0.1523809523809524,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0,16,16,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,-23.0,2,3,105,1.0,1.0095238095238095,0.009523809523809525,0.34285714285714286,0.0380952380952381,0.0380952380952381,0.047619047619047616,0.009523809523809525,0.01904761904761905,0.0380952380952381,0.009523809523809525,0.009523809523809525,0.009523809523809525,0,35,35,0,3,3,0,3,3,0,4,4,0,0,0,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,-24.0,2,3,105,1.0,1.2476190476190476,0.12380952380952381,0.5238095238095238,0.14285714285714285,0.1619047619047619,0.17142857142857143,0.09523809523809523,0.11428571428571428,0.14285714285714285,0.09523809523809523,0.11428571428571428,0.11428571428571428,1,43,55,5,7,17,4,8,17,3,8,17,3,0,6,2,1,8,4,6,14,3,0,4,1,0,1,1,0,4
0_0_0_10_14_16,-22.0,42,3,105,1.0,1.0,0.0,0.1523809523809524,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0,16,16,0,2,2,0,2,2,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,-23.0,42,3,105,1.0,1.0476190476190477,0.0380952380952381,0.26666666666666666,0.0761904761904762,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.06666666666666667,0.047619047619047616,0.0380952380952381,0.047619047619047616,0,24,28,0,4,6,1,2,3,1,2,3,0,1,1,0,1,1,0,3,5,0,1,1,0,0,0,0,1,1
0_0_0_10_14_16,-24.0,42,3,105,0.9904761904761905,1.5714285714285714,0.13333333333333333,0.44761904761904764,0.14285714285714285,0.1523809523809524,0.17142857142857143,0.1523809523809524,0.1523809523809524,0.1523809523809524,0.14285714285714285,0.13333333333333333,0.13333333333333333,1,34,47,1,2,10,1,3,9,0,4,9,0,2,5,0,2,4,0,2,7,0,1,1,0,0,0,0,0,0
0_0_0_10_14_32,-22.0,1,3,105,0.7904761904761904,29.8,0.2761904761904762,0.34285714285714286,0.29523809523809524,0.2857142857142857,0.29523809523809524,0.2761904761904762,0.26666666666666666,0.2857142857142857,0.2761904761904762,0.2761904761904762,0.26666666666666666,1,8,31,1,3,11,1,2,11,1,3,12,0,0,3,1,0,4,1,2,8,0,0,3,0,0,0,1,0,2
0_0_0_10_14_32,-23.0,1,3,105,0.7619047619047619,43.06666666666666,0.3238095238095238,0.4095238095238095,0.3142857142857143,0.3142857142857143,0.3047619047619048,0.3142857142857143,0.3238095238095238,0.3047619047619048,0.3238095238095238,0.3238095238095238,0.3142857142857143,1,10,38,2,1,13,2,1,14,3,1,14,1,0,4,1,1,8,2,0,10,0,0,2,0,0,0,1,0,4
0_0_0_10_14_32,-24.0,1,3,105,0.7428571428571429,57.63809523809524,0.3333333333333333,0.4666666666666667,0.3523809523809524,0.34285714285714286,0.34285714285714286,0.3333333333333333,0.34285714285714286,0.34285714285714286,0.3333333333333333,0.3333333333333333,0.34285714285714286,0,14,41,0,2,13,1,2,15,1,2,15,1,1,5,0,1,7,0,1,10,0,0,1,0,0,0,0,1,4
0_0_0_10_14_32,-22.0,2,3,105,0.8380952380952381,15.885714285714286,0.2857142857142857,0.3619047619047619,0.2761904761904762,0.2761904761904762,0.2857142857142857,0.2761904761904762,0.2761904761904762,0.26666666666666666,0.2761904761904762,0.2761904761904762,0.2857142857142857,0,8,30,2,1,13,1,0,12,1,1,13,1,0,9,1,0,8,2,0,9,1,0,5,1,0,2,0,0,2
0_0_0_10_14_32,-23.0,2,3,105,0.780952380952381,24.56190476190476,0.3142857142857143,0.4380952380952381,0.3238095238095238,0.3142857142857143,0.3047619047619048,0.29523809523809524,0.3142857142857143,0.3238095238095238,0.3047619047619048,0.3142857142857143,0.3238095238095238,1,14,38,1,2,14,1,1,14,2,1,15,2,0,10,1,1,9,0,1,9,1,0,6,0,0,2,0,1,3
0_0_0_10_14_32,-24.0,2,3,105,0.7714285714285714,35.476190476190474,0.3523809523809524,0.5047619047619047,0.3619047619047619,0.38095238095238093,0.3904761904761905,0.3523809523809524,0.34285714285714286,0.3523809523809524,0.3523809523809524,0.3523809523809524,0.3523809523809524,1,17,45,1,2,15,1,4,18,1,5,19,0,0,8,1,0,9,1,1,11,0,0,5,0,0,2,0,0,4
0_0_0_10_14_32,-22.0,42,3,105,0.7904761904761904,49.076190476190476,0.2761904761904762,0.3619047619047619,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2761904761904762,0.2761904761904762,0.29523809523809524,0.2857142857142857,0.2761904761904762,0,9,37,1,2,19,1,2,17,1,2,16,1,2,8,1,1,8,1,1,13,0,2,6,0,1,2,1,1,5
0_0_0_10_14_32,-23.0,42,3,105,0.7714285714285714,65.35238095238095,0.3047619047619048,0.42857142857142855,0.2857142857142857,0.29523809523809524,0.29523809523809524,0.3142857142857143,0.29523809523809524,0.29523809523809524,0.3047619047619048,0.3047619047619048,0.3047619047619048,1,14,45,3,1,20,2,1,17,2,1,16,0,1,6,2,1,9,2,1,14,0,0,4,0,0,1,0,0,3
0_0_0_10_14_32,-24.0,42,3,105,0.7523809523809524,81.83809523809524,0.3238095238095238,0.5333333333333333,0.3333333333333333,0.3619047619047619,0.3619047619047619,0.3238095238095238,0.3238095238095238,0.3333333333333333,0.3238095238095238,0.3238095238095238,0.3238095238095238,1,23,56,2,3,23,1,5,23,1,5,22,0,0,8,0,0,8,1,2,16,0,0,4,0,0,2,0,0,5
