packet_index,frame_index,event_index,symbol_count,gt_topk_recall,mean_gt_savaux_rank,pattern_count,bank_kind,mode_best_pattern_on_savaux,mean_best_pattern_gain_vs_savaux,mean_coherent_gain_vs_savaux,mean_whitened_gain_vs_savaux,mean_stable_gain_vs_savaux,mean_hybrid_gain_vs_savaux,savaux_err,savaux_ser,best_pattern_err,best_pattern_ser,best_pattern_changes_vs_savaux,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,mean_pattern_err,mean_pattern_ser,mean_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,coherent_pattern_err,coherent_pattern_ser,coherent_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,whitened_pattern_err,whitened_pattern_ser,whitened_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,stable_pattern_err,stable_pattern_ser,stable_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,hybrid_mean_pattern_err,hybrid_mean_pattern_ser,hybrid_mean_pattern_changes_vs_savaux,hybrid_mean_pattern_fix_vs_savaux,hybrid_mean_pattern_break_vs_savaux,gated_mean_pattern_err,gated_mean_pattern_ser,gated_mean_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_stable_pattern_err,gated_stable_pattern_ser,gated_stable_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_consensus_pattern_err,gated_consensus_pattern_ser,gated_consensus_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,gated_hybrid_pattern_err,gated_hybrid_pattern_ser,gated_hybrid_pattern_changes_vs_savaux,gated_hybrid_pattern_fix_vs_savaux,gated_hybrid_pattern_break_vs_savaux,dataset,snr_db,seed
0,0,0,35,1.0,1.0,32,random_only,random_028,0.1552392615531322,0.06150770613145919,0.22523989853556092,0.8709000628634231,0.2566089679304057,0,0.0,4,0.11428571428571428,4,0,4,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0_0_0_10_14_8,-22.0,1
1,1,1,35,1.0,1.0,32,random_only,random_022,0.15974088511653692,0.06286802048564309,0.23026573065498326,0.8858329257362709,0.2581906638760985,0,0.0,1,0.02857142857142857,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0_0_0_10_14_8,-22.0,1
2,2,2,35,1.0,1.0,32,random_only,random_029,0.15897453649082557,0.06339625586781286,0.23266962690312332,0.8703398100854423,0.2604245821025518,0,0.0,6,0.17142857142857143,6,0,6,0,0.0,0,0,0,0,0.0,0,0,0,1,0.02857142857142857,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0_0_0_10_14_8,-22.0,1
0,0,0,35,1.0,1.1142857142857143,32,random_only,random_028,0.16732267435518222,0.06127786528316011,0.22428326827706324,0.844236902822713,0.25811986910598933,2,0.05714285714285714,8,0.22857142857142856,9,1,7,3,0.08571428571428572,3,1,2,3,0.08571428571428572,3,1,2,3,0.08571428571428572,3,1,2,2,0.05714285714285714,0,0,0,3,0.08571428571428572,3,1,2,3,0.08571428571428572,3,1,2,2,0.05714285714285714,0,0,0,2,0.05714285714285714,0,0,0,4,0.11428571428571428,2,0,2,0_0_0_10_14_8,-23.0,1
1,1,1,35,1.0,1.0,32,random_only,random_022,0.17655299681237735,0.06296363513950065,0.23055822984047317,0.8600951952907775,0.2602670693964742,0,0.0,5,0.14285714285714285,5,0,5,1,0.02857142857142857,1,0,1,1,0.02857142857142857,1,0,1,1,0.02857142857142857,1,0,1,1,0.02857142857142857,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,1,0.02857142857142857,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0_0_0_10_14_8,-23.0,1
2,2,2,35,1.0,1.0,32,random_only,random_029,0.17570689262184536,0.06358056428886978,0.23336917041828933,0.8411664411924793,0.26302469669956063,0,0.0,13,0.37142857142857144,13,0,13,1,0.02857142857142857,1,0,1,2,0.05714285714285714,2,0,2,2,0.05714285714285714,2,0,2,1,0.02857142857142857,1,0,1,1,0.02857142857142857,1,0,1,1,0.02857142857142857,1,0,1,1,0.02857142857142857,1,0,1,1,0.02857142857142857,1,0,1,1,0.02857142857142857,1,0,1,0_0_0_10_14_8,-23.0,1
0,0,0,35,1.0,1.5142857142857142,32,random_only,random_005,0.18608419034744325,0.06203543700102836,0.22728890649954872,0.8189279548914775,0.2616354029197927,5,0.14285714285714285,15,0.42857142857142855,16,1,11,5,0.14285714285714285,1,0,0,5,0.14285714285714285,0,0,0,5,0.14285714285714285,0,0,0,5,0.14285714285714285,0,0,0,5,0.14285714285714285,0,0,0,5,0.14285714285714285,0,0,0,5,0.14285714285714285,0,0,0,5,0.14285714285714285,0,0,0,5,0.14285714285714285,0,0,0,0_0_0_10_14_8,-24.0,1
1,1,1,35,1.0,1.2857142857142858,32,random_only,random_014,0.17675993046376812,0.061204825172394756,0.22410878023920378,0.8332023385626591,0.2586337208846435,4,0.11428571428571428,9,0.2571428571428571,12,3,8,3,0.08571428571428572,6,3,2,2,0.05714285714285714,5,3,1,3,0.08571428571428572,6,3,2,2,0.05714285714285714,2,2,0,1,0.02857142857142857,4,3,0,1,0.02857142857142857,4,3,0,3,0.08571428571428572,1,1,0,3,0.08571428571428572,1,1,0,1,0.02857142857142857,3,3,0,0_0_0_10_14_8,-24.0,1
2,2,2,35,1.0,1.3142857142857143,32,random_only,random_029,0.19440798433354195,0.06573630319994803,0.24130829834350043,0.8208571469262699,0.2689599731255231,6,0.17142857142857143,14,0.4,12,0,8,7,0.2,4,1,2,6,0.17142857142857143,4,1,1,6,0.17142857142857143,3,1,1,5,0.14285714285714285,2,1,0,7,0.2,2,0,1,6,0.17142857142857143,2,1,1,6,0.17142857142857143,1,0,0,6,0.17142857142857143,0,0,0,6,0.17142857142857143,0,0,0,0_0_0_10_14_8,-24.0,1
0,0,0,35,1.0,1.0,32,random_only,random_021,0.1682237574666255,0.06371932617967085,0.23333701261086612,0.8658746414240777,0.26147397006822165,0,0.0,5,0.14285714285714285,5,0,5,2,0.05714285714285714,2,0,2,2,0.05714285714285714,2,0,2,2,0.05714285714285714,2,0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0_0_0_10_14_8,-22.0,2
