method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight
savaux,0,70,25,0.35714285714285715,0,0,0.5810328999832564,8.300469999760805,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,1.0,1.0
hamming_12,12,70,23,0.32857142857142857,4,2,1.3394045999957598,19.134351428510854,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,1.0,1.0
information_12,12,70,21,0.3,4,0,1.41821790000904,20.260255714414857,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,1.0,1.0
lora_information_12,12,70,23,0.32857142857142857,4,2,1.4042150000132096,20.060214285902994,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,1.0,1.0
savaux,0,70,21,0.3,0,0,0.19982299999901443,2.854614285700206,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,1.0,1.0
hamming_12,12,70,18,0.2571428571428571,3,0,1.34097169998131,19.156738571161572,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,1.0,1.0
information_12,12,70,15,0.21428571428571427,6,0,1.374087900006998,19.629827142957115,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,1.0,1.0
lora_information_12,12,70,19,0.2714285714285714,2,0,1.336779299992486,19.096847142749798,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,1.0,1.0
savaux,0,70,23,0.32857142857142857,0,0,0.1982323999836808,2.8318914283382974,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,1.0,1.0
hamming_12,12,70,19,0.2714285714285714,4,0,1.3685724999995728,19.55103571427961,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,1.0,1.0
information_12,12,70,17,0.24285714285714285,6,0,1.367323899994517,19.533198571350244,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,1.0,1.0
lora_information_12,12,70,18,0.2571428571428571,5,0,1.3881127000240667,19.83018142891524,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,1.0,1.0
