snr_label,added_snr_db,seed,method,decisions,errors,ser,fixes_vs_savaux,breaks_vs_savaux,paired_sign_p,mean_gt_margin_db,physical_samples,sample_fraction_vs_savaux,branch_phases,downsample_phases,uses_phase_fingerprint
clean,,,litenap_savaux_k1,4,0,0.0,0,0,1.0,3.8642961582900215,1024,0.25,0|1|2|3,0,0
clean,,,litenap_savaux_k1_phase,4,0,0.0,0,0,1.0,3.8642961582900215,1024,0.25,0|1|2|3,0,1
clean,,,litenap_savaux_k2,4,0,0.0,0,0,1.0,6.904562982171713,2048,0.5,0|1|2|3,0|1,0
clean,,,litenap_savaux_k2_phase,4,0,0.0,0,0,1.0,6.904562982171713,2048,0.5,0|1|2|3,0|1,1
clean,,,litenap_single,4,4,1.0,0,4,0.125,0.0,256,0.0625,0,0,0
clean,,,litenap_single_phase,4,0,0.0,0,0,1.0,0.0,256,0.0625,0,0,1
clean,,,savaux,4,0,0.0,0,0,1.0,24.412689886613627,4096,1.0,0|1|2|3,0|1|2|3,0
-24,-24.0,,litenap_savaux_k1,4,4,1.0,0,4,0.125,-4.695885514261137,1024,0.25,0|1|2|3,0,0
-24,-24.0,,litenap_savaux_k1_phase,4,4,1.0,0,4,0.125,-4.695885514261137,1024,0.25,0|1|2|3,0,1
-24,-24.0,,litenap_savaux_k2,4,4,1.0,0,4,0.125,-1.5714453366697931,2048,0.5,0|1|2|3,0|1,0
-24,-24.0,,litenap_savaux_k2_phase,4,3,0.75,0,3,0.25000000000000006,-1.5714453366697931,2048,0.5,0|1|2|3,0|1,1
-24,-24.0,,litenap_single,4,4,1.0,0,4,0.125,-6.51438179680388,256,0.0625,0,0,0
-24,-24.0,,litenap_single_phase,4,4,1.0,0,4,0.125,-6.51438179680388,256,0.0625,0,0,1
-24,-24.0,,savaux,4,0,0.0,0,0,1.0,1.7250533419776706,4096,1.0,0|1|2|3,0|1|2|3,0
