method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,screened_symbols,screen_rate,accepted_proposals,rejected_proposals,dataset,training_dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db,branch_color_threshold,lora_guard_margin_db,lora_guard_segments
savaux,0,70,25,0.35714285714285715,0,0,0.22556749997966108,3.2223928568523013,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,22,0.3142857142857143,3,0,0.09160769999289187,1.3086814284698838,13,0.18571428571428572,15,0.21428571428571427,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,25,0.35714285714285715,0,0,0.08578619998661452,1.2255171426659217,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,23,0.32857142857142857,3,1,0.10776299998542527,1.539471428363218,16,0.22857142857142856,18,0.2571428571428571,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,29,0.4142857142857143,0,0,0.08628749999479624,1.2326785713542319,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,25,0.35714285714285715,4,0,0.11544589999175514,1.6492271427393592,17,0.24285714285714285,19,0.2714285714285714,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,17,0.24285714285714285,0,0,0.08868969999457477,1.2669957142082109,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,15,0.21428571428571427,2,0,0.11005299999305862,1.5721857141865516,16,0.22857142857142856,16,0.22857142857142856,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,21,0.3,0,0,0.08508029998847633,1.2154328569782333,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,16,0.22857142857142856,5,0,0.12468019998414093,1.781145714059156,18,0.2571428571428571,18,0.2571428571428571,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,22,0.3142857142857143,0,0,0.09010670001953258,1.2872385717076082,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,20,0.2857142857142857,3,1,0.13120850000268547,1.8744071428955067,19,0.2714285714285714,20,0.2857142857142857,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,21,0.3,0,0,0.08895689999917522,1.2708128571310746,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,18,0.2571428571428571,3,0,0.09745679998377454,1.3922399997682078,14,0.2,16,0.22857142857142856,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,23,0.32857142857142857,0,0,0.08244279999416904,1.1777542856309862,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,20,0.2857142857142857,3,0,0.08701319999818224,1.2430457142597464,13,0.18571428571428572,14,0.2,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,24,0.34285714285714286,0,0,0.08748170000035316,1.2497385714336164,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,20,0.2857142857142857,4,0,0.11152900004162802,1.5932714291661145,16,0.22857142857142856,16,0.22857142857142856,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
