packet_index,event_index,detected_start_sample,detected_end_sample,detected_window_count,detected_reference_bin,detected_reference_signed_bin,detected_mean_confidence_db,aligned_start_sample,align_offset_samples,align_peak_bin,align_peak_signed_bin,align_confidence_db,align_peak_share,frame_valid,located_preamble_start_sample,located_sfd_start_sample,located_payload_start_sample,locator_score,preamble_ref_bin,preamble_ref_signed_bin,preamble_stable_count,sync1_bin,sync2_bin,sync1_expected_bin,sync2_expected_bin,sync1_distance,sync2_distance,sfd1_bin,sfd2_bin,sfd_bin_distance,mean_preamble_confidence_db,mean_sfd_confidence_db,grlora_framesync_valid,grlora_coarse_offset_chips,grlora_coarse_offset_samples,grlora_synced_preamble_start_sample,grlora_synced_sfd_start_sample,grlora_synced_payload_start_sample,grlora_fine_preamble_start_sample,grlora_fine_payload_start_sample,grlora_preamble_peak_mean_signed_bin,grlora_preamble_peak_max_abs_signed_bin,grlora_preamble_bin0_count,grlora_preamble_peak_count,grlora_sync1_peak_signed_bin,grlora_sync2_peak_signed_bin,grlora_sync1_expected_signed_bin,grlora_sync2_expected_signed_bin,grlora_sync1_distance,grlora_sync2_distance,grlora_sfd1_peak_signed_bin,grlora_sfd2_peak_signed_bin,grlora_sfd_mean_signed_bin,grlora_up_symbols_used,grlora_cfo_frac_est,grlora_sto_frac_initial,grlora_sto_frac_refined,grlora_sto_frac_used,grlora_sto_sample_correction,grlora_cfo_int_est,grlora_down_val_signed_bin,grlora_cfo_total_est,grlora_cfo_hz_est,grlora_sfo_hat,grlora_sfo_samples_per_symbol,grlora_clk_off,grlora_fs_p,grlora_netid_sto_frac_est,grlora_payload_sto_frac_est,grlora_payload_sto_sample_correction,grlora_netid1_est,grlora_netid2_est,grlora_netid_offset,grlora_netid_valid,grlora_sfo_cum_initial,grlora_fine_preamble_peak_mean_signed_bin,grlora_fine_preamble_peak_max_abs_signed_bin,grlora_fine_preamble_bin0_count,grlora_fine_preamble_peak_count,grlora_center_sample_phase,grlora_branch_sample_phases,grlora_branch_valid,grlora_branch_down_val_valid,grlora_branch_cfo_frac_est,grlora_branch_sto_frac_initial,grlora_branch_sto_frac_refined,grlora_branch_sto_frac_used,grlora_branch_sto_sample_correction,grlora_branch_cfo_int_est,grlora_branch_down_val_signed_bin,grlora_branch_cfo_total_est,grlora_branch_cfo_hz_est,grlora_branch_sfo_hat,grlora_branch_sfo_samples_per_symbol,grlora_branch_clk_off,grlora_branch_fs_p,grlora_branch_netid_sto_frac_est,grlora_branch_payload_sto_frac_est,grlora_branch_payload_sto_sample_correction,grlora_branch_netid1_est,grlora_branch_netid2_est,grlora_branch_netid_offset,grlora_branch_netid_valid,grlora_branch_sfo_cum_initial,grlora_branch_fine_preamble_start_sample,grlora_branch_fine_payload_start_sample,grlora_spectrum_chirps,grlora_spectrum_raw_peak_signed_bin,grlora_spectrum_peak_signed_bin,grlora_spectrum_peak_relative_db,grlora_spectrum_bin0_relative_db,grlora_spectrum_bin0_is_peak
0,0,311296,425984,13,4004,-92,0.38415451237164944,312064,768,3855,-241,1.3619287310822548,0.0013470056420950508,0,308376,447640,456856,-1081.2253178063406,3797,-299,1,3687,3891,24,32,134,62,3820,3973,153,0.560276610424146,0.25245547893726084,0,299,1196,309572,448836,458052,309570,458589,-79.0,1391,1,32,-1444,-378,24,32,1468,410,564,391,477.5,28,0.20412616851437004,0.4819811933572282,-0.49379419899401,0.4819811933572282,2,134,268,134.20412616851436,16382.339620179977,0.0343972027292686,0.1375888109170744,3.3591018290301366e-05,124995.80112271372,-0.4173083193061764,-0.2711202077067849,-1,509,958,485,0,-0.02112020770678491,46.035714285714285,497,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,-0.08059849764460551|-0.3116719185844429|0.20412616851437004|-0.0038057563844941245,-0.4785468067142915|0.47952104643627536|0.4819811933572282|-0.014740981916276041,0.0021645529095621896|-0.020023780119345247|-0.49379419899401|0.4486037794526112,0.0021645529095621896|-0.020023780119345247|0.4819811933572282|0.4486037794526112,0|0|2|2,-110|-168|134|-217,-219|-336|268|-433,-110.0805984976446|-168.31167191858444|134.20412616851436|-217.00380575638448,-13437.573058794507|-20545.858388499077|16382.339620179977|-26489.722382371154,-0.028214219422197203|-0.04313914084441881|0.0343972027292686|-0.055619183349493666,-0.11285687768878881|-0.17255656337767525|0.1375888109170744|-0.22247673339797466,-2.7552948654489456e-05|-4.2128067230877746e-05|3.3591018290301366e-05|-5.431560873973991e-05,125003.4441185818|125005.26600840387|124995.80112271372|125006.78945109248,0.0993095313992517|-0.40047628714074723|-0.4173083193061764|-0.3312100877311861,-0.020600901145086503|0.4161823642704727|-0.2711202077067849|0.43240838303346596,0|2|-1|2,558|195|509|559,94|360|958|95,534|171|485|535,0|0|0|0,-0.020600901145086503|-0.08381763572952727|-0.02112020770678491|-0.06759161696653404,309570|309571|309570|309571,457610|457377|458589|457183,,,,,,
1,1,1155072,1269760,13,3459,-637,0.38931995383488494,1157544,2472,3911,-185,1.2423033047796268,0.00136283858927903,0,1149664,1288928,1298144,-443.7522423135302,3771,-325,2,3713,3821,24,32,82,18,3704,3676,28,0.6210592287236927,0.2172767200315491,0,325,1300,1150964,1290228,1299444,1150962,1298439,-153.28125,1429,0,32,500,-1117,24,32,476,1149,-230,-803,-516.5,28,-0.04545872237087939,0.0011446115507851573,0.4767435941083704,0.4767435941083704,2,-251,-502,-251.04545872237088,-30645.197597945666,-0.06434423280766119,-0.25737693123064476,-6.283616485123163e-05,125007.85452060639,0.41772814426321236,0.14426515483065216,1,268,338,244,0,-0.10573484516934784,20.714285714285715,473,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,-0.39251782088455595|0.28678682865671173|-0.04545872237087939|-0.48394357049339104,-0.03265803406213763|0.4243580896604726|0.0011446115507851573|-0.47412024303406497,-0.05083629639040055|0.05081628668642679|0.4767435941083704|-0.013327687040987968,-0.05083629639040055|0.05081628668642679|0.4767435941083704|-0.013327687040987968,0|0|2|0,150|-155|-251|159,301|-310|-502|319,149.60748217911544|-154.71321317134328|-251.04545872237088|158.51605642950662,18262.632101942803|-18885.890279704992|-30645.197597945666|19350.10454461751,0.038345161518124726|-0.039653786439241154|-0.06434423280766119|0.04062847458209622,0.1533806460724989|-0.15861514575696462|-0.25737693123064476|0.1625138983283849,3.744644679504368e-05|-3.872440081957144e-05|-6.283616485123163e-05|3.967624470907834e-05,124995.31919415062|125004.84055010244|125007.85452060639|124995.04046941135,0.1762088721895907|-0.21810487936929013|0.41772814426321236|0.2867834995860912,0.3391758086416208|-0.3866334717360651|0.14426515483065216|0.45945451656000014,1|-2|1|2,191|793|268|532,70|433|338|830,167|769|244|508,0|0|0|0,0.08917580864162078|0.1133665282639349|-0.10573484516934784|-0.04054548343999986,1150962|1150963|1150962|1150965,1300041|1298825|1298439|1300079,,,,,,
2,2,1740800,1851392,12,3876,-220,0.7867491845254925,1738952,-1848,3706,-390,0.5804524892058837,0.0013195428595203429,0,1739032,1878296,1887512,-1902.261295486481,102,102,2,352,4042,24,32,226,188,3760,3630,130,0.5675582466678191,0.6936160980297326,0,-102,-408,1738624,1877888,1887104,1738626,1886622,-167.9375,1821,1,32,250,-500,24,32,226,532,535,262,398.5,28,0.03813929073706078,0.05419208203255721,-0.4363162698849692,-0.4363162698849692,-2,-120,-240,-119.96186070926294,-14643.781824861198,-0.030746837376784637,-0.12298734950713855,-3.0026208375766247e-05,125003.75327604696,-0.4202150659420776,0.44911087520658777,2,373,116,349,0,-0.05088912479341223,31.714285714285715,510,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,0.11221922419527745|-0.018646996126988426|0.03813929073706078|-0.1617293870122561,-0.43656508229057067|0.036573895455148886|0.05419208203255721|0.02296553586413097,0.0296613245646995|-0.0009547590322256383|-0.4363162698849692|0.41511824675012576,0.0296613245646995|-0.0009547590322256383|-0.4363162698849692|0.41511824675012576,0|0|-2|2,-120|181|-120|-248,-240|362|-240|-495,-119.88778077580473|180.981353003873|-119.96186070926294|-248.16172938701226,-14634.738864233976|22092.450317855593|-14643.781824861198|-30293.179856813018,-0.03072785031161696|0.046386444792872926|-0.030746837376784637|-0.06360511825584689,-0.12291140124646784|0.1855457791714917|-0.12298734950713855|-0.25442047302338755,-3.0007666319938436e-05|4.529926249303997e-05|-3.0026208375766247e-05|-6.211437329672548e-05,125003.75095829|124994.33759218837|125003.75327604696|125007.76429666208,0.04637011459295681|0.483411474339708|-0.4202150659420776|0.37975446256302536,-0.08422324923141522|-0.31944613529058197|0.44911087520658777|0.109432709975676,0|-1|2|0,372|133|373|199,115|774|116|847,348|109|349|175,0|0|0|0,-0.08422324923141522|-0.06944613529058197|-0.05088912479341223|0.109432709975676,1738622|1738623|1738626|1738623,1886622|1887828|1886622|1886113,,,,,,
3,3,2621440,2744320,15,291,291,0.4505949466800808,2621400,-40,3267,-829,1.7385151714923182,0.001462378002624065,0,2612872,2752136,2761352,-980.5877435914324,183,183,2,204,42,24,32,3,173,145,299,154,0.5088778106207821,0.23233629740829195,0,-183,-732,2612140,2751404,2760620,2612140,2760017,-21.8125,1470,0,32,1276,-587,24,32,1252,619,691,428,559.5,28,-0.24498597811281086,0.4616676359209606,0.07497212248199503,0.07497212248199503,0,-151,-301,-151.24498597811282,-18462.52270240635,-0.03876486210224339,-0.15505944840897357,-3.785631064672206e-05,125004.73203883083,-0.1655034647897935,-0.3302541287243279,-1,275,159,251,0,-0.08025412872432791,-26.964285714285715,509,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,-0.17678524594354195|0.20932180552224056|-0.24498597811281086|-0.11230284251668232,0.01971541588522996|-0.4738756466844052|0.4616676359209606|-0.0671124368418532,-0.010552019187457518|-0.0896618382420229|0.07497212248199503|-0.022816149942741504,-0.010552019187457518|-0.0896618382420229|0.07497212248199503|-0.022816149942741504,0|0|0|0,242|-211|-151|201,484|-422|-301|402,241.82321475405647|-210.79067819447775|-151.24498597811282|200.88769715748333,29519.435394782282|-25731.283959286833|-18462.52270240635|24522.423969419353,0.06198052459351457|-0.05402672703364715|-0.03876486210224339|0.05148854243322825,0.2479220983740583|-0.2161069081345886|-0.15505944840897357|0.205954169732913,6.0527856048354075e-05|-5.2760475618796046e-05|-3.785631064672206e-05|5.028177971994946e-05,124992.43401799395|125006.59505945236|125004.73203883083|124993.714777535,-0.02717523219499096|0.18148289668126827|-0.1655034647897935|-0.3751827920794373,0.23624199732744566|-0.04813069321173202|-0.3302541287243279|-0.15635648673821745,1|0|-1|-1,685|642|275|718,398|776|159|402,661|618|251|694,0|0|0|0,-0.013758002672554337|-0.04813069321173202|-0.08025412872432791|0.09364351326178255,2612138|2612139|2612140|2612141,2761585|2759775|2760017|2761426,,,,,,
4,4,3530752,3645440,13,148,148,0.3060086546955821,3526992,-3760,3992,-104,0.7038993050416915,0.0013020912735692957,0,3523208,3662472,3671688,-510.78617533838064,3832,-264,2,3828,3822,24,32,28,42,3997,22,121,0.516774336388482,0.16671036056415134,0,264,1056,3524264,3663528,3672744,3524262,3672814,-101.03125,1231,0,32,-462,-10,24,32,486,42,957,43,500.0,28,-0.1952631740101471,0.4981020904200477,0.46802172754780713,0.46802172754780713,2,17,35,16.804736825989853,2051.3594758288395,0.004307139846726946,0.017228559386907785,4.206191256569283e-06,124999.47422609293,-0.39414979735693056,-0.37584445300834113,-2,159,764,135,0,0.12415554699165887,-40.857142857142854,510,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,0.24497908827378223|0.2460756121320493|-0.1952631740101471|-0.33344411812457353,0.010630420650670658|-0.10893484056782654|0.4981020904200477|-0.04164509607846867,-0.05935713752938909|0.02480935047455546|0.46802172754780713|-0.029321954119268412,-0.05935713752938909|0.02480935047455546|0.46802172754780713|-0.029321954119268412,0|0|2|0,63|-121|17|-239,126|-242|35|-477,63.24497908827378|-120.75392438786795|16.804736825989853|-239.33344411812456,7720.334361361545|-14740.469285628413|2051.3594758288395|-29215.508315200754,0.01621001104374456|-0.0309498473415696|0.004307139846726946|-0.06134238366775799,0.06484004417497824|-0.1237993893662784|0.017228559386907785|-0.24536953467103195,1.5830088909906797e-05|-3.0224460294501564e-05|4.206191256569283e-06|-5.990467155054491e-05,124998.02123888626|125003.77805753682|124999.47422609293|125007.48808394383,0.4593632158704368|0.03441423554432821|-0.39414979735693056|0.007721768512475968,-0.4717442371936489|-0.09712261565734259|-0.37584445300834113|-0.2529833620754953,-2|0|-2|-1,779|405|159|280,920|768|764|794,755|381|135|256,0|0|0|0,0.028255762806351115|-0.09712261565734259|0.12415554699165887|-0.0029833620754953216,3524262|3524263|3524262|3524265,3672996|3672259|3672814|3671790,,,,,,
5,5,4337664,4456448,14,3947,-149,0.228015520085229,4338440,776,223,223,1.0765259688951958,0.0012602966167678071,0,4338616,4477880,4487096,-671.2015185534224,3933,-163,2,3936,3916,24,32,21,49,4066,175,205,0.5553806120442094,1.9784175430894164,0,163,652,4339268,4478532,4487748,4339268,4487154,-38.375,1571,1,32,-233,-801,24,32,257,833,496,12,254.0,28,0.19041086385240052,-0.01038786509008105,-0.020800262897409993,-0.020800262897409993,0,-149,-297,-148.8095891361476,-18165.23304884614,-0.03814065745749118,-0.1525626298299647,-3.724673579833123e-05,125004.65584197479,-0.2413013015371277,-0.40339909573146526,-2,119,162,95,0,0.09660090426853474,-36.714285714285715,512,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,-0.017490348319837517|-0.2622925883277983|0.19041086385240052|-0.05334018836773982,-0.4903116817099118|-0.435368771658446|-0.01038786509008105|-0.011018286346484274,0.478505535943782|-0.44178317679178747|-0.020800262897409993|-0.01578706602526836,-0.4903116817099118|-0.44178317679178747|-0.020800262897409993|-0.01578706602526836,-2|-2|0|0,184|2|-149|2,369|4|-297|4,183.98250965168018|1.7377074116722018|-148.8095891361476|1.9466598116322602,22458.802447714865|212.1224867763918|-18165.23304884614|237.62937153714114,0.04715565656440439|0.0004453832816465557|-0.03814065745749118|0.000498938848583212,0.18862262625761755|0.0017815331265862227|-0.1525626298299647|0.001995755394332848,4.605044586367616e-05|4.349446109829645e-07|-3.724673579833123e-05|4.87244969319543e-07,124994.24369426703|124999.94563192362|125004.65584197479|124999.93909437883,0.018669328351028636|-0.4275309117790977|-0.2413013015371277|0.00017897712939440868,0.2190808687497472|-0.42563803283209983|-0.40339909573146526|0.002299467235873043,1|-2|-2|0,2|715|119|119,814|162|162|162,-22|691|95|95,0|0|0|0,-0.030919131250252807|0.07436196716790017|0.09660090426853474|0.002299467235873043,4339268|4339269|4339268|4339269,4488481|4487757|4487154|4487757,,,,,,
6,6,4952064,5079040,16,3799,-297,0.41697943959376127,4953200,1136,34,34,0.5269738337749069,0.001368051603766534,0,4953288,5092552,5101768,-555.5333888044886,139,139,1,224,101,24,32,61,70,3271,3292,21,0.6752312355084493,0.4429363121734993,0,-139,-556,4952732,5091996,5101212,4952730,5100980,-40.9375,1461,0,32,-241,178,24,32,265,146,-448,-1417,-932.5,28,0.2930493792571814,0.4896590887930756,0.47439617582426763,0.47439617582426763,2,-58,-116,-57.706950620742816,-7044.305495696144,-0.014790586072570949,-0.059162344290283796,-1.4443931711495067e-05,125001.80549146395,0.001097421501997209,-0.061762569306429316,0,225,434,201,0,-0.061762569306429316,15.107142857142858,500,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,0.1370259051382185|-0.4444015945179659|0.2930493792571814|-0.476436319248928,-0.4845426444745726|-0.43179744779212115|0.4896590887930756|0.4434351365650855,-0.022813873450672872|0.46885253997632503|0.47439617582426763|0.05145961768505458,-0.022813873450672872|-0.43179744779212115|0.47439617582426763|0.05145961768505458,0|-2|2|0,-115|171|-58|16,-230|342|-116|32,-114.86297409486178|170.55559840548204|-57.706950620742816|15.523563680751073,-14021.359142439183|20819.775195981696|-7044.305495696144|1894.9662696229336,-0.029439966704649833|0.04371427065959659|-0.014790586072570949|0.003978768628447578,-0.11775986681859933|0.17485708263838637|-0.059162344290283796|0.015915074513790314,-2.8749967485009603e-05|4.26897174410123e-05|-1.4443931711495067e-05|3.885516238718338e-06,125003.59374593562|124994.66378531988|125001.80549146395|124999.51431047016,0.03510719200053247|-0.0329407866850302|0.001097421501997209|0.17878021379537712,-0.09001266649422934|0.15284486361825533|-0.061762569306429316|0.19568998046627928,0|1|0|1,1013|469|225|12,63|1012|434|793,989|445|201|-12,0|0|0|0,-0.09001266649422934|-0.09715513638174467|-0.061762569306429316|-0.05431001953372072,4952730|4952733|4952730|4952733,5100750|5101894|5100980|5101276,,,,,,
7,7,5255168,5378048,15,3563,-533,0.850018546550426,5259184,4016,350,350,0.4079594269023882,0.0013140208569166643,0,5255576,5394840,5404056,-629.2106615313787,3993,-103,2,4065,4069,24,32,48,44,14,3973,137,0.6136820869598074,0.3661320806193745,0,103,412,5255988,5395252,5404468,5255986,5403491,2.03125,1384,0,32,1111,76,24,32,1087,44,-609,409,-100.0,28,-0.1628998335664106,0.4931570438698145,-0.43071414698539456,0.4931570438698145,2,-244,-487,-244.1628998335664,-29805.041483589648,-0.06258019782488373,-0.25032079129953494,-6.111347443836302e-05,125007.6391843048,0.490590713473535,0.2246248727177793,1,699,171,675,0,-0.02537512728222069,-65.75,507,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,0.016649566251360517|0.09692196919708976|-0.1628998335664106|-0.34966747826157096,0.04849086571937278|-0.015776495368299948|0.4931570438698145|-0.07880152748634828,-0.4837821333323973|-0.48832089997159756|-0.43071414698539456|0.07644846102652991,-0.4837821333323973|-0.48832089997159756|0.4931570438698145|0.07644846102652991,-2|-2|2|0,-244|-251|-244|-163,-487|-502|-487|-325,-243.98335043374863|-250.9030780308029|-244.1628998335664|-163.34966747826158,-29783.123832244706|-30627.817142431995|-29805.041483589648|-19940.14495584248,-0.06253417839700344|-0.06430773990947378|-0.06258019782488373|-0.04186735377236559,-0.25013671358801376|-0.2572309596378951|-0.25032079129953494|-0.16746941508946236,-6.106853359082367e-05|-6.280052725534549e-05|-6.111347443836302e-05|-4.088608766832577e-05,125007.63356669886|125007.85006590693|125007.6391843048|125005.11076095855,-0.48487584203650735|0.4538314229252416|0.490590713473535|-0.263306859689169,0.2493538997762279|0.18052352830997798|0.2246248727177793|-0.4412431132217227,1|1|1|-2,6|72|699|689,312|538|171|107,-18|48|675|665,0|0|0|0,-0.0006461002237720948|-0.06947647169002202|-0.02537512728222069|0.058756886778277284,5255988|5255989|5255986|5255989,5403489|5403462|5403491|5403819,,,,,,
8,8,5566464,5685248,14,94,94,0.3489435373084251,5570232,3768,352,352,0.9723562318816452,0.0013585110659986585,0,5569736,5709000,5718216,-881.5351350188495,3921,-175,2,3952,3988,24,32,7,35,162,525,363,0.399188774940498,0.7144342527530397,0,175,700,5570436,5709700,5718916,5570438,5719366,-136.59375,1517,1,32,-647,444,24,32,671,412,-13,549,268.0,28,0.3374138264428312,-0.4810996944074759,0.4460600308797211,-0.4810996944074759,-2,112,224,112.33741382644283,13713.063211235696,0.028792652713359346,0.11517061085343738,2.8117824915389986e-05,124996.48527188557,0.44026519242002315,-0.4373660335481997,-2,230,973,206,0,0.0626339664518003,-42.535714285714285,511,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,-0.468667399065795|0.23056123499013573|0.3374138264428312|-0.45948788667937335,-0.4567789165967149|0.45201504945639215|-0.4810996944074759|0.4955392196793582,0.45069251874974725|-0.015739971810489806|0.4460600308797211|-0.04663474314747873,-0.4567789165967149|-0.015739971810489806|-0.4810996944074759|-0.04663474314747873,-2|0|-2|0,233|174|112|191,467|348|224|383,232.5313326009342|174.23056123499015|112.33741382644283|190.54051211332063,28385.172436637476|21268.379057005634|13713.063211235696|23259.339857583083,0.059598967757057156|0.044656182395681296|0.028792652713359346|0.04883650607784515,0.23839587102822862|0.17862472958272518|0.11517061085343738|0.1953460243113806,5.820211695025113e-05|4.3609553120782516e-05|2.8117824915389986e-05|4.769190046664565e-05,124992.72473538121|124994.5488058599|124996.48527188557|124994.03851244168,0.4503880516291141|0.41325786485131166|0.44026519242002315|-0.48386654865643397,-0.2963163354033931|-0.39695335996704273|-0.4373660335481997|-0.2763113978255918,-1|-2|-2|-1,893|618|230|58,218|1017|973|421,869|594|206|34,0|0|0|0,-0.04631633540339308|0.10304664003295727|0.0626339664518003|-0.026311397825591776,5570436|5570435|5570438|5570437,5719847|5719613|5719366|5719682,,,,,,
9,9,6086656,6213632,16,749,749,0.8300861815080036,6084280,-2376,3968,-128,0.31705318481217165,0.0012640638860866205,0,6080040,6219304,6228520,-1216.6160599466764,3900,-196,3,3976,3733,24,32,52,199,3882,3768,114,0.5483348251999667,0.3641905705176963,0,196,784,6080824,6220088,6229304,6080824,6230295,48.125,1451,1,32,-573,331,24,32,597,299,-347,-524,-435.5,28,0.2995595844184852,-0.07417999205290471,-0.03821514291547601,-0.03821514291547601,0,248,497,248.2995595844185,30310.004832082333,0.06364044483914764,0.2545617793565906,6.214887191323012e-05,124992.23139101085,-0.0017209080627513806,0.2687509825036263,1,868,169,844,0,0.01875098250362628,-4.714285714285714,490,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,-0.26468383710851934|0.492766115431121|0.2995595844184852|0.28277098765320824,0.3727357192686327|-0.04363613381201503|-0.07417999205290471|-0.4770981614269907,0.016380167181978322|-0.026614934425666092|-0.03821514291547601|-0.0007390880474469341,0.016380167181978322|-0.026614934425666092|-0.03821514291547601|-0.0007390880474469341,0|0|0|0,227|-4|248|-203,455|-7|497|-406,226.73531616289148|-3.507233884568879|248.2995595844185|-202.7172290123468,27677.650898790464|-428.129136299912|30310.004832082333|-24745.75549467124,0.05811341915185859|-0.0008989219511402704|0.06364044483914764|-0.051957460788483394,0.23245367660743435|-0.0035956878045610816|0.2545617793565906|-0.20782984315393357,5.67513858904869e-05|-8.778534679104203e-07|6.214887191323012e-05|-5.0739707801253314e-05,124992.9060767637|125000.1097316835|124992.23139101085|125006.34246347517,-0.1239904199585471|-0.05538043686215477|-0.0017209080627513806|0.33662216672108447,0.12299161143685211|-0.05920085515450091|0.2687509825036263|0.11580295837002996,0|0|1|0,758|204|868|184,326|589|169|691,734|180|844|160,0|0|0|0,0.12299161143685211|-0.05920085515450091|0.01875098250362628|0.11580295837002996,6080822|6080823|6080824|6080825,6230210|6229287|6230295|6228493,,,,,,
