file_name,packet_id,event_id,frame_id,payload_symbol_idx,mode,anchor_mode,header_start_sample,payload_start_sample,symbol_start_sample,sf,bw,sample_rate,os_factor,samples_per_symbol,raw_fft_bin,selected_peak_amp,selected_peak_power,selected_peak_phase,selected_peak_phase_unwrap,peak_margin_db,total_fft_energy,peak_energy_ratio,gt_bin,is_argmax_correct,gt_bin_amp,gt_bin_phase,gt_bin_rank
0_0_0_10_14_16.bin,1,1,0,0,no_offset,located,2518204,2550972,2550972,10,125000.0,500000.0,4,4096,201,4.917447333033007,24.181285858154297,2.383391735151192,2.383391735151192,2.0802130353822177,67.62909222835515,0.35755745140721706,803,0,0.14093185916913958,-2.351769272041504,327
0_0_0_10_14_16.bin,1,1,0,1,no_offset,located,2518204,2550972,2555068,10,125000.0,500000.0,4,4096,805,4.8705402063847485,23.72216033935547,-1.747745776121735,4.535439531057851,2.228955620350334,65.31645678679797,0.3631881076585019,826,0,0.2327241828753325,-2.014231914669009,82
0_0_0_10_14_16.bin,1,1,0,2,no_offset,located,2518204,2550972,2559164,10,125000.0,500000.0,4,4096,901,4.8458644970409654,23.482404708862305,-2.784313117642654,3.4988721895369324,0.38308502760431273,69.06668515731417,0.3399961161502988,922,0,0.15061555270161162,-2.695433285257396,158
0_0_0_10_14_16.bin,1,1,0,3,no_offset,located,2518204,2550972,2563260,10,125000.0,500000.0,4,4096,697,5.500697826268597,30.257675170898438,-2.979109420494036,3.3040758866855504,3.0470991452638216,68.50414567692951,0.4416911541908108,718,0,0.24158159622283393,2.6586108592223052,29
0_0_0_10_14_16.bin,1,1,0,4,no_offset,located,2518204,2550972,2567356,10,125000.0,500000.0,4,4096,85,4.860902723011123,23.628376007080078,-1.403351370954267,4.879833936225319,0.3360032465815874,68.81667056464539,0.34335250184595784,86,0,4.676455028991062,1.7867201543918174,2
0_0_0_10_14_16.bin,1,1,0,5,no_offset,located,2518204,2550972,2571452,10,125000.0,500000.0,4,4096,447,5.724298623793896,32.76759338378906,-0.5944047415174338,5.688780565662152,4.483890370237314,68.19162792433644,0.48052223390453563,468,0,0.09760483665752846,-0.9456535242694328,478
0_0_0_10_14_16.bin,1,1,0,6,no_offset,located,2518204,2550972,2575548,10,125000.0,500000.0,4,4096,67,4.765199649609741,22.707128524780273,-0.9937878024913392,5.289397504688247,0.24228019245142843,68.75416512592528,0.33026549712575953,89,0,0.07841729598413946,-2.9343313196694707,617
0_0_0_10_14_16.bin,1,1,0,7,no_offset,located,2518204,2550972,2579644,10,125000.0,500000.0,4,4096,692,5.629879516126054,31.69554328918457,-1.5686542696516512,4.7145310375279355,3.7338109824790284,68.87917111690058,0.46016150855519766,713,0,0.1740412274382858,-1.3767369293769665,96
0_0_0_10_14_16.bin,1,1,0,8,no_offset,located,2518204,2550972,2583740,10,125000.0,500000.0,4,4096,844,4.844339608711719,23.467628479003906,-1.5561913494445638,4.726993957735022,0.5042983040571941,68.62915765469734,0.3419483683171457,865,0,0.12702015180437723,-2.958667524935834,276
0_0_0_10_14_16.bin,1,1,0,9,no_offset,located,2518204,2550972,2587836,10,125000.0,500000.0,4,4096,471,5.72813382343482,32.811519622802734,1.276621049222867,7.559806356402453,4.352883497309003,69.00417924730618,0.4755004694021289,492,0,0.306517362375377,1.5865731933886191,22
0_0_0_10_14_16.bin,1,1,0,10,no_offset,located,2518204,2550972,2591932,10,125000.0,500000.0,4,4096,744,5.26970845742695,27.769824981689453,-2.6623029494599977,9.904067664899175,2.4718397156239087,68.12912104984571,0.4076058013631506,765,0,0.3233807804930179,2.9942719401545337,19
0_0_0_10_14_16.bin,1,1,0,11,no_offset,located,2518204,2550972,2596028,10,125000.0,500000.0,4,4096,1001,5.586522020812612,31.209228515625,2.3315659651780534,8.61475127235764,3.5083464658314014,67.87911242498558,0.4597766146414315,1023,0,0.18568702478556698,-0.11215858814150273,78
0_0_0_10_14_16.bin,1,1,0,12,no_offset,located,2518204,2550972,2600124,10,125000.0,500000.0,4,4096,576,5.865605965929768,34.405338287353516,1.1656563768695756,7.448841684049162,5.30269728746835,69.12918896452538,0.49769625251945454,597,0,0.17852236656270287,0.26870104689371954,98
0_0_0_10_14_16.bin,1,1,0,13,no_offset,located,2518204,2550972,2604220,10,125000.0,500000.0,4,4096,541,5.236058187824733,27.416305541992188,-2.3605498445585957,10.205820769800576,5.1973862017690555,65.50396744858881,0.41854419831149986,562,0,0.10382701505657548,-2.404157107388953,565
0_0_0_10_14_16.bin,1,1,0,14,no_offset,located,2518204,2550972,2608316,10,125000.0,500000.0,4,4096,457,5.500147747305786,30.251630783081055,-0.5250009013338913,12.041369713025281,5.514330985213558,66.94156113118879,0.4519110440791094,478,0,0.045236139504306376,0.775713786477991,904
0_0_0_10_14_16.bin,1,1,0,15,no_offset,located,2518204,2550972,2612412,10,125000.0,500000.0,4,4096,246,5.192510819579298,26.96216583251953,-0.9710215599213575,11.595349054437815,2.538002564909143,68.62915305577349,0.39286752978880474,267,0,0.188934789608861,-1.0717542694841222,84
0_0_0_10_14_16.bin,1,1,0,16,no_offset,located,2518204,2550972,2616508,10,125000.0,500000.0,4,4096,895,5.168725631212267,26.715728759765625,-1.0533859965923351,11.512984617766838,1.8892178434148055,68.81667121833698,0.38821594080021293,917,0,0.13693673374843865,2.0874685919355938,229
0_0_0_10_14_16.bin,1,1,0,17,no_offset,located,2518204,2550972,2620604,10,125000.0,500000.0,4,4096,635,5.590720666379888,31.25615692138672,0.6199151570119892,13.186285771371162,4.662112053946399,68.62915337184745,0.455435560337371,656,0,0.10081460416240844,0.6845285371991969,444
0_0_0_10_14_16.bin,1,1,0,18,no_offset,located,2518204,2550972,2624700,10,125000.0,500000.0,4,4096,867,4.845739503715389,23.4811954498291,-1.0173823734401217,11.548988240919051,0.9452730065778108,67.3790818400862,0.3484938471788333,889,0,0.16287699096048153,-2.714042712623573,136
0_0_0_10_14_16.bin,1,1,0,19,no_offset,located,2518204,2550972,2628796,10,125000.0,500000.0,4,4096,489,5.709377781222998,32.59699630737305,-1.6077537495388716,10.9586168648203,5.605727944967328,67.87911379605066,0.4802213005507683,510,0,0.23576231711781162,-1.9329240205839113,36
0_0_0_10_14_16.bin,1,1,0,20,no_offset,located,2518204,2550972,2632892,10,125000.0,500000.0,4,4096,838,4.9006690106998585,24.01656150817871,-0.9928537444331965,11.573516869925976,1.1621929559280082,68.69166664876684,0.34962845829581946,860,0,0.21986203238479435,1.416885335015865,55
0_0_0_10_14_16.bin,1,1,0,21,no_offset,located,2518204,2550972,2636988,10,125000.0,500000.0,4,4096,532,5.6879839394760365,32.35316848754883,-0.2487297641816485,12.317640850177524,5.288624792272298,69.37920638503056,0.46632370379101706,553,0,0.17520749619208048,0.23435565770670516,98
0_0_0_10_14_16.bin,1,1,0,22,no_offset,located,2518204,2550972,2641084,10,125000.0,500000.0,4,4096,608,5.566079267730747,30.981243133544922,-1.740028215432173,10.826342398927,5.31462450618235,68.62916147644034,0.45142971977270113,629,0,0.1647469955638396,-1.7122414409275168,126
0_0_0_10_14_16.bin,1,1,0,23,no_offset,located,2518204,2550972,2645180,10,125000.0,500000.0,4,4096,738,4.927080451207154,24.276123046875,-2.2228173482000155,10.343553266159157,2.151846156897818,67.50408834177051,0.35962448561583343,759,0,0.07932939953421736,2.3607337073762413,622
0_0_0_10_14_16.bin,1,1,0,24,no_offset,located,2518204,2550972,2649276,10,125000.0,500000.0,4,4096,852,4.847699010923253,23.500186920166016,0.19398384755037815,12.76035446190955,1.3329893951436669,68.25413263770406,0.3443042349524247,874,0,0.23069440229781046,-2.5058427008286914,44
0_0_0_10_14_16.bin,1,1,0,25,no_offset,located,2518204,2550972,2653372,10,125000.0,500000.0,4,4096,699,4.881576351374527,23.829790115356445,-2.5136410296724514,10.052729584686722,3.6779523861615218,66.50402831142492,0.35832100280852697,720,0,0.15305221958450207,2.9143774592577434,263
0_0_0_10_14_16.bin,1,1,0,26,no_offset,located,2518204,2550972,2657468,10,125000.0,500000.0,4,4096,293,4.513194867139114,20.368928909301758,-0.529048480997478,12.037322133361695,2.9789072360094853,64.69141865518577,0.3148629189579374,314,0,0.2027614042458402,0.9702792947060562,155
0_0_0_10_14_16.bin,1,1,0,27,no_offset,located,2518204,2550972,2661564,10,125000.0,500000.0,4,4096,581,5.435653166558939,29.54631996154785,1.9416882401567288,14.508058854515902,4.465844815123923,68.12911677249383,0.43368124175472594,602,0,0.11593612118436117,-2.9951337835072653,345
0_0_0_10_14_16.bin,1,1,0,28,no_offset,located,2518204,2550972,2665660,10,125000.0,500000.0,4,4096,1009,6.667651576502826,44.457576751708984,-2.604334961185579,16.24522096035318,8.641321157828203,68.81666494676665,0.6460292254223491,7,0,0.14335039654508214,0.44109216863337736,218
0_0_0_10_14_16.bin,1,1,0,29,no_offset,located,2518204,2550972,2669756,10,125000.0,500000.0,4,4096,589,5.498050896168319,30.228561401367188,2.4145518364273624,14.980922450786535,4.717791806140871,67.8166043318603,0.4457398258020091,610,0,0.11887953122743211,-1.7384084248334346,343
0_0_0_10_14_16.bin,1,1,0,30,no_offset,located,2518204,2550972,2673852,10,125000.0,500000.0,4,4096,785,4.409853687856819,19.446807861328125,0.179606866115725,12.745977480474897,0.04726270622162403,68.31663365472377,0.2846569981713885,775,0,0.1863649086092603,-0.5296181285557591,82
0_0_0_10_14_16.bin,1,1,0,31,no_offset,located,2518204,2550972,2677948,10,125000.0,500000.0,4,4096,875,5.476658955310642,29.993791580200195,-1.2679154733753484,11.298455140983824,4.411663069532424,67.75409793170365,0.4426860145113884,912,0,0.03989236366315393,1.3804802615025111,907
0_0_0_10_14_16.bin,1,1,0,32,no_offset,located,2518204,2550972,2682044,10,125000.0,500000.0,4,4096,728,4.756539448255901,22.624671936035156,2.3279925688083454,8.61117787598793,2.0895993613164157,68.1291299211016,0.3320851442288511,768,0,0.11827138211220922,-1.2303838017841264,354
0_0_0_10_14_16.bin,1,1,0,33,no_offset,located,2518204,2550972,2686140,10,125000.0,500000.0,4,4096,563,5.480418899942177,30.03499412536621,2.5096847787350054,8.792870085914592,3.939046040750631,67.8791106583376,0.44247772008304903,581,0,0.2978234883462494,2.624789465788467,22
0_0_0_10_14_16.bin,1,1,0,34,no_offset,located,2518204,2550972,2690236,10,125000.0,500000.0,4,4096,912,5.664428691643194,32.08575439453125,2.8642197520320463,9.147405059211632,5.311552295222334,67.56659507281984,0.47487599989241513,93,0,0.08604868535648182,-2.774240569783607,566
0_0_0_10_14_16.bin,2,2,1,0,no_offset,located,4018552,4051320,4051320,10,125000.0,500000.0,4,4096,778,5.533624922643731,30.621007919311523,-0.5465440591587998,-0.5465440591587998,5.028534118245274,65.94149629360709,0.46436628891419585,803,0,0.09978501101773125,0.9705631313761554,443
0_0_0_10_14_16.bin,2,2,1,1,no_offset,located,4018552,4051320,4055416,10,125000.0,500000.0,4,4096,801,5.457420199838945,29.783437728881836,-2.5439348422488557,-2.5439348422488557,3.9605951803303574,66.94155736123344,0.44491701273340467,711,0,0.10359123680440688,0.2852899245254982,414
0_0_0_10_14_16.bin,2,2,1,2,no_offset,located,4018552,4051320,4059512,10,125000.0,500000.0,4,4096,897,4.783613837884422,22.882965087890625,1.2509304590565973,-5.032254848122989,0.9147803477449776,65.87899480314627,0.3473484250369554,871,0,0.23730289853158162,1.7810959731928493,39
0_0_0_10_14_16.bin,2,2,1,3,no_offset,located,4018552,4051320,4063608,10,125000.0,500000.0,4,4096,693,6.020935335581716,36.25166320800781,0.6101524936832088,-5.673032813496377,8.337371115620197,67.0040574521604,0.5410368354765799,718,0,0.061661849476362475,-1.800996817509905,709
0_0_0_10_14_16.bin,2,2,1,4,no_offset,located,4018552,4051320,4067704,10,125000.0,500000.0,4,4096,60,4.644896160972947,21.57505989074707,-0.8387231378466772,-7.121908445026263,0.5412598252122559,65.6289728428419,0.3287429157608741,86,0,0.1895324674270267,2.48180978321525,85
0_0_0_10_14_16.bin,2,2,1,5,no_offset,located,4018552,4051320,4071800,10,125000.0,500000.0,4,4096,443,6.325280052706757,40.00917434692383,-1.7163799049829702,-7.9995652121625564,7.434284246364179,66.7540450068791,0.5993520593815824,468,0,0.07844754460295787,-0.2000746498194608,558
0_0_0_10_14_16.bin,2,2,1,6,no_offset,located,4018552,4051320,4075896,10,125000.0,500000.0,4,4096,63,4.766420778833265,22.71876335144043,1.5904265038826113,-10.975944110476561,0.7838635412296422,66.6290283570761,0.3409739555211098,89,0,0.15895197182840057,-1.1357040228646837,150
