dataset,target_snr_db,symbol_count,savaux_correct_rate,fused_correct_rate,savaux_gt_topk_rate,fused_gt_topk_rate,gt_in_structured_topk_rate,mean_savaux_gt_rank,mean_fused_gt_rank,mean_rank_delta,mean_gt_path_ratio
0_0_0_10_14_8,-25.0,350,0.7171428571428572,0.6771428571428572,0.9257142857142857,0.8171428571428572,0.9542857142857143,4.897142857142857,8.5,-3.6028571428571428,0.10351497800572869
0_0_0_10_14_16,-25.0,385,0.7506493506493507,0.7324675324675325,0.9064935064935065,0.8441558441558441,0.9428571428571428,6.015584415584415,8.774025974025975,-2.7584415584415583,0.1030389720429521
0_0_0_10_14_32,-25.0,245,0.7020408163265306,0.673469387755102,0.8204081632653061,0.7877551020408163,0.8448979591836735,51.08163265306123,52.42448979591837,-1.3428571428571427,0.10151292114377866
mean_of_datasets,-25.0,980,0.7232776747062463,0.6943599257884973,0.8842053184910328,0.8163512677798392,0.9140136054421769,20.6647866419295,23.23283858998145,-2.5680519480519477,0.10268895706415315
