payload_symbol_index,gt_raw_fft_bin,savaux_argmax_bin,fused_argmax_bin,savaux_gt_rank,fused_gt_rank,rank_delta,savaux_gt_topk,fused_gt_topk,savaux_correct,fused_correct,gt_in_structured_topk,gt_path_ratio,gt_path_name,evidence_mode,dataset,target_snr_db,packet_index
7,713,843,843,3,17,-14,1,0,0,0,1,0.10782940773564212,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,5
8,865,76,76,40,30,10,0,0,0,0,0,nan,,timing,0_0_0_10_14_8,-25.0,5
9,405,405,93,1,14,-13,1,0,1,0,1,0.09929712284087792,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,5
10,765,271,271,9,34,-25,0,0,0,0,1,0.1443506895251642,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,5
11,1023,1023,1023,1,1,0,1,1,1,1,1,0.12563447686385204,tau0_slope0.5,timing,0_0_0_10_14_8,-25.0,5
12,597,108,108,49,39,10,0,0,0,0,0,nan,,timing,0_0_0_10_14_8,-25.0,5
13,562,105,105,7,33,-26,1,0,0,0,1,0.10960624768499809,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,5
14,478,211,74,9,41,-32,0,0,0,0,1,0.09902358114363681,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,5
15,267,267,267,1,1,0,1,1,1,1,1,0.08480164302702396,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,5
16,917,917,917,1,1,0,1,1,1,1,1,0.07035200357456753,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,5
