esn0_db,trial_count,error_count,q2_ser,true_top4_given_error,true_top8_given_error,true_top16_given_error,p_c1m_true_gt_wrong,p_cmulti_true_gt_wrong,p_true_ratio_variance_lt_wrong,mean_abs_dev_q8_true,mean_abs_dev_q8_wrong,mean_abs_dev_q4_true,mean_abs_dev_q4_wrong,mean_abs_dev_q2_true,mean_abs_dev_q2_wrong,mean_ratio_variance_true,mean_ratio_variance_wrong
10.0,747,615,0.8232931726907631,0.1772357723577236,0.27479674796747966,0.3967479674796748,0.3203252032520325,0.3203252032520325,0.5138211382113821,0.08834500675663451,0.04983711274347421,0.08844367184610391,0.05010376081102837,0.08859981727079182,0.050726107444739335,2.2376590778770584e-05,1.7854104754008845e-05
11.0,747,540,0.7228915662650602,0.2574074074074074,0.37592592592592594,0.512962962962963,0.3277777777777778,0.3314814814814815,0.5462962962962963,0.08490983566142568,0.051565250752385695,0.08497132291583001,0.052030643310582894,0.08513657443493988,0.05239054528491627,2.337026927217916e-05,2.1658184757508414e-05
12.0,747,444,0.5943775100401606,0.3355855855855856,0.5067567567567568,0.6711711711711712,0.32207207207207206,0.32882882882882886,0.5540540540540541,0.08147223404137165,0.05174170884765934,0.08117299882149219,0.052358209464434834,0.0814166905074072,0.05260197373482542,2.308551339190349e-05,2.478229438066814e-05
13.0,747,346,0.46318607764390896,0.5028901734104047,0.6878612716763006,0.7601156069364162,0.3352601156069364,0.33236994219653176,0.5578034682080925,0.07702960138663559,0.0526178825364863,0.07653907590697395,0.05297851426381942,0.07710457865168333,0.052830777213206094,2.25609671209261e-05,2.641564561825983e-05
14.0,747,249,0.3333333333333333,0.6546184738955824,0.8032128514056225,0.8955823293172691,0.3413654618473896,0.3413654618473896,0.5381526104417671,0.07533889747862647,0.05340624390443832,0.07475172750491277,0.053624976726699115,0.07493985849774773,0.054472787178099794,2.2423921611340312e-05,2.5297295990659807e-05
15.0,747,184,0.2463186077643909,0.8858695652173914,0.9510869565217391,0.9619565217391305,0.32608695652173914,0.30434782608695654,0.5163043478260869,0.07355776530723704,0.05280886729734241,0.07281369418344809,0.052806434099374404,0.07292454937381189,0.05372294007355314,1.960040757880302e-05,2.1350063056551287e-05
