trial_id,esn0_db,seed,clean_symbol_index,packet_id,reference_id,payload_index,gt_symbol,decision_q2,is_error,true_rank_q2,true_in_top4,true_in_top8,true_in_top16,signal_power,added_noise_power
10:20260819:0,10.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,51,1,2,1,1,1,5.461110784836597e-08,2.2368709774690702e-05
10:20260819:1,10.0,20260819,1,exp0_000000_rxg20_0_fulltrim,0,1,313,313,0,1,1,1,1,5.516800773616521e-08,2.259681596873327e-05
10:20260819:2,10.0,20260819,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,3701,1,331,0,0,0,5.490116890765393e-08,2.248751878457505e-05
10:20260819:3,10.0,20260819,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,47,1,21,0,0,0,5.706549947195974e-08,2.337402858371471e-05
10:20260819:4,10.0,20260819,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,3915,1,6,0,1,1,5.727483806912936e-08,2.3459773673115387e-05
10:20260819:5,10.0,20260819,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,166,1,3,1,1,1,5.998009479350775e-08,2.4567846827420775e-05
10:20260819:6,10.0,20260819,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,1007,1,16,0,0,1,6.021993173101038e-08,2.4666084037021852e-05
10:20260819:7,10.0,20260819,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,3950,1,14,0,0,1,6.297640756193777e-08,2.5795136537369707e-05
10:20260819:8,10.0,20260819,8,exp0_000000_rxg20_0_fulltrim,0,8,849,1378,1,6,0,1,1,6.501240630023145e-08,2.6629081620574803e-05
10:20260819:9,10.0,20260819,9,exp0_000000_rxg20_0_fulltrim,0,9,665,3578,1,5,0,1,1,6.361536648147813e-08,2.605685411081344e-05
10:20260819:10,10.0,20260819,10,exp0_000000_rxg20_0_fulltrim,0,10,713,450,1,37,0,0,0,6.285975786989332e-08,2.5747356823508304e-05
10:20260819:11,10.0,20260819,11,exp0_000000_rxg20_0_fulltrim,0,11,797,4032,1,14,0,0,1,6.41980468785086e-08,2.629552000143712e-05
10:20260819:12,10.0,20260819,12,exp0_000000_rxg20_0_fulltrim,0,12,3881,3881,0,1,1,1,1,6.638878275846576e-08,2.7192845417867575e-05
10:20260819:13,10.0,20260819,13,exp0_000000_rxg20_0_fulltrim,0,13,693,3842,1,250,0,0,0,6.707617489640913e-08,2.747440123756918e-05
10:20260819:14,10.0,20260819,14,exp0_000000_rxg20_0_fulltrim,0,14,2437,258,1,70,0,0,0,6.669297009117698e-08,2.731744054934609e-05
10:20260819:15,10.0,20260819,15,exp0_000000_rxg20_0_fulltrim,0,15,1117,4069,1,16,0,0,1,6.649173228138338e-08,2.7235013542454633e-05
10:20260819:16,10.0,20260819,16,exp0_000000_rxg20_0_fulltrim,0,16,3705,4066,1,21,0,0,0,6.725976160509957e-08,2.7549598353448786e-05
10:20260819:17,10.0,20260819,17,exp0_000000_rxg20_0_fulltrim,0,17,3961,844,1,4,1,1,1,6.763267734756565e-08,2.770234464156289e-05
10:20260819:18,10.0,20260819,18,exp0_000000_rxg20_0_fulltrim,0,18,661,3007,1,13,0,0,1,6.599972254066516e-08,2.7033486352656448e-05
10:20260819:19,10.0,20260819,19,exp0_000000_rxg20_0_fulltrim,0,19,73,709,1,1630,0,0,0,6.574391180668965e-08,2.692870627602008e-05
10:20260819:20,10.0,20260819,20,exp0_000000_rxg20_0_fulltrim,0,20,2989,3764,1,4,1,1,1,6.626869349066005e-08,2.714365685377436e-05
10:20260819:21,10.0,20260819,21,exp0_000000_rxg20_0_fulltrim,0,21,693,3664,1,12,0,0,1,6.652362307658597e-08,2.7248076012169612e-05
10:20260819:22,10.0,20260819,22,exp0_000000_rxg20_0_fulltrim,0,22,3273,3273,0,1,1,1,1,6.679654523945706e-08,2.7359864930081614e-05
10:20260819:23,10.0,20260819,23,exp0_000000_rxg20_0_fulltrim,0,23,3277,3277,0,1,1,1,1,6.76383617920378e-08,2.770467299001868e-05
10:20260819:24,10.0,20260819,24,exp0_000000_rxg20_0_fulltrim,0,24,893,258,1,4,1,1,1,6.80420313290309e-08,2.7870016032371058e-05
10:20260819:25,10.0,20260819,25,exp0_000000_rxg20_0_fulltrim,0,25,3605,551,1,3,1,1,1,6.842685608202886e-08,2.802764025119902e-05
10:20260819:26,10.0,20260819,26,exp0_000000_rxg20_0_fulltrim,0,26,357,3700,1,211,0,0,0,6.476401392503328e-08,2.652734010369363e-05
10:20260819:27,10.0,20260819,27,exp0_000000_rxg20_0_fulltrim,0,27,1981,586,1,265,0,0,0,6.694602402354048e-08,2.742109144004218e-05
10:20260819:28,10.0,20260819,28,exp0_000000_rxg20_0_fulltrim,0,28,3501,4017,1,3479,0,0,0,6.276138429432516e-08,2.5707063006955586e-05
10:20260819:29,10.0,20260819,29,exp0_000000_rxg20_0_fulltrim,0,29,2269,563,1,883,0,0,0,6.393811427330359e-08,2.618905160634515e-05
10:20260819:30,10.0,20260819,30,exp0_000000_rxg20_0_fulltrim,0,30,2677,2677,0,1,1,1,1,6.23435032529794e-08,2.5535898932420362e-05
10:20260819:31,10.0,20260819,31,exp0_000000_rxg20_0_fulltrim,0,31,1909,4087,1,248,0,0,0,6.194128315506919e-08,2.537114958031634e-05
10:20260819:32,10.0,20260819,32,exp0_000002_rxg20_0_fulltrim,2,1,313,3183,1,33,0,0,0,2.8571456172268963e-08,1.1702868448161367e-05
10:20260819:33,10.0,20260819,33,exp0_000002_rxg20_0_fulltrim,2,2,1433,61,1,17,0,0,0,2.8822207680385437e-08,1.1805576265885875e-05
10:20260819:34,10.0,20260819,34,exp0_000002_rxg20_0_fulltrim,2,3,2865,242,1,15,0,0,1,3.087116764368785e-08,1.2644830266854542e-05
10:20260819:35,10.0,20260819,35,exp0_000002_rxg20_0_fulltrim,2,4,3469,3407,1,1196,0,0,0,2.938706659844156e-08,1.2036942478721663e-05
10:20260819:36,10.0,20260819,36,exp0_000002_rxg20_0_fulltrim,2,5,3985,3566,1,75,0,0,0,3.0635793243844216e-08,1.2548420912678592e-05
