packet_id,reference_id,sync_status,sync_valid,tested_payload_symbols,admitted_clean_symbols,clean_correct_q8,clean_correct_q4,clean_correct_q2,fine_payload_start_sample,cfo_int,cfo_frac,cfo_total_bins,cfo_hz,sfo_hat,sfo_cum_initial
exp0_000000_rxg20_0_fulltrim,0,ok,1,32,32,32,32,32,673552,-129,0.2867738127971463,-128.71322618720285,-3928.015935888759,-0.032989857029732124,0.025580086162754756
exp0_000002_rxg20_0_fulltrim,2,ok,1,32,29,29,31,29,673544,-130,0.06341743067322189,-129.9365825693268,-3965.3498098549435,-0.033303409516436025,0.02192780095683511
exp0_000003_rxg20_0_fulltrim,3,ok,1,32,32,32,32,32,673552,-129,0.12977658169648482,-128.8702234183035,-3932.8071111542818,-0.033030096221627926,0.003800740547303061
exp0_000004_rxg20_0_fulltrim,4,ok,1,32,30,30,31,31,673552,-129,0.13940132848228418,-128.86059867151772,-3932.513387192313,-0.03302762934988664,0.017080315363240395
exp0_000005_rxg20_0_fulltrim,5,ok,1,32,32,32,32,32,673551,-129,0.26866826981934944,-128.73133173018064,-3928.568473211079,-0.03299449757283695,-0.042478231976055714
exp0_000006_rxg20_0_fulltrim,6,ok,1,32,32,32,32,32,673552,-129,0.211765936096152,-128.78823406390384,-3930.3049946259716,-0.03300908193149063,-0.007236161750474146
exp0_000007_rxg20_0_fulltrim,7,ok,1,32,32,32,32,32,673551,-129,0.23772698893526098,-128.76227301106474,-3929.512726167747,-0.03300242798110128,-0.05637472620745215
exp0_000008_rxg20_0_fulltrim,8,ok,1,32,30,31,31,30,673552,-129,0.2713480799102873,-128.7286519200897,-3928.486691897269,-0.032993810723828614,0.014836410647933007
