payload_symbol_index,gt_raw_fft_bin,savaux_argmax_bin,fused_argmax_bin,savaux_gt_rank,fused_gt_rank,rank_delta,savaux_gt_topk,fused_gt_topk,savaux_correct,fused_correct,gt_in_structured_topk,gt_path_ratio,gt_path_name,evidence_mode,dataset,target_snr_db,packet_index
0,803,803,803,1,1,0,1,1,1,1,1,0.09555331556231575,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-24.0,0
1,826,826,826,1,1,0,1,1,1,1,1,0.06675756504334622,tau0_slope0.5,timing,0_0_0_10_14_8,-24.0,0
2,922,922,922,1,1,0,1,1,1,1,1,0.10318256242059165,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-24.0,0
3,718,718,718,1,1,0,1,1,1,1,1,0.1091429406442148,tau0_slope0,timing,0_0_0_10_14_8,-24.0,0
4,86,86,86,1,1,0,1,1,1,1,1,0.13213501773645342,tau0_slope0,timing,0_0_0_10_14_8,-24.0,0
5,467,467,467,1,1,0,1,1,1,1,1,0.08684808969228093,tau0_slope0,timing,0_0_0_10_14_8,-24.0,0
6,89,89,89,1,1,0,1,1,1,1,1,0.08431527112891928,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-24.0,0
7,713,713,713,1,1,0,1,1,1,1,1,0.09443341132507684,tau0.5_slope0.5,timing,0_0_0_10_14_8,-24.0,0
8,865,865,865,1,1,0,1,1,1,1,1,0.07520243521841724,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-24.0,0
9,405,405,405,1,1,0,1,1,1,1,1,0.06703102264732373,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-24.0,0
10,765,765,765,1,1,0,1,1,1,1,1,0.09131579659020506,tau0_slope-0.5,timing,0_0_0_10_14_8,-24.0,0
11,1023,1023,482,1,2,-1,1,1,1,0,1,0.12040154056211017,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-24.0,0
12,597,597,597,1,1,0,1,1,1,1,1,0.07555377959202979,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-24.0,0
13,562,562,562,1,1,0,1,1,1,1,1,0.19177309270599693,tau0_slope0,timing,0_0_0_10_14_8,-24.0,0
14,478,677,677,4,18,-14,1,0,0,0,1,0.11366673769717835,tau0_slope0.5,timing,0_0_0_10_14_8,-24.0,0
15,267,267,267,1,1,0,1,1,1,1,1,0.06263796830050551,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-24.0,0
16,917,917,917,1,1,0,1,1,1,1,1,0.08132665030547784,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-24.0,0
17,656,656,656,1,1,0,1,1,1,1,1,0.11846351634030751,tau0_slope0,timing,0_0_0_10_14_8,-24.0,0
