method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations
savaux,0,70,25,0.35714285714285715,0,0,0.43483580002430244,6.211940000347178,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_12,12,70,23,0.32857142857142857,4,2,1.0108241999841994,14.44034571405999,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_12,12,70,22,0.3142857142857143,4,1,1.0017929000205186,14.311327143150265,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
lora_information_12,12,70,23,0.32857142857142857,4,2,1.0076888000003237,14.39555428571891,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
savaux,0,70,21,0.3,0,0,0.18412599998919177,2.630371428417025,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
hamming_12,12,70,18,0.2571428571428571,3,0,1.0961235999930068,15.658908571328668,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
information_12,12,70,15,0.21428571428571427,6,0,1.1126051999817719,15.894359999739597,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
lora_information_12,12,70,19,0.2714285714285714,2,0,1.0924072000234446,15.605817143192066,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
savaux,0,70,23,0.32857142857142857,0,0,0.16063099999519181,2.294728571359883,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
hamming_12,12,70,19,0.2714285714285714,4,0,0.9594690000012633,13.706700000018047,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
information_12,12,70,19,0.2714285714285714,4,0,0.9839503999974113,14.056434285677303,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
lora_information_12,12,70,18,0.2571428571428571,5,0,0.9622652000107337,13.746645714439053,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
