method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations
savaux,0,70,25,0.35714285714285715,0,0,0.5327937000147358,7.611338571639083,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_12,12,70,23,0.32857142857142857,4,2,1.1954721000147401,17.07817285735343,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_12,12,70,22,0.3142857142857143,4,1,1.1952459999993152,17.074942857133074,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
lora_information_12,12,70,21,0.3,6,2,1.208287100020243,17.26124428600347,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
savaux,0,70,21,0.3,0,0,0.19816099999661674,2.8308714285230963,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
hamming_12,12,70,18,0.2571428571428571,3,0,1.065213700003369,15.2173385714767,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
information_12,12,70,15,0.21428571428571427,6,0,1.0863812000206963,15.51973142886709,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
lora_information_12,12,70,19,0.2714285714285714,3,1,1.0513885999935155,15.019837142764507,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
savaux,0,70,23,0.32857142857142857,0,0,0.2051668999956746,2.930955714223923,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
hamming_12,12,70,19,0.2714285714285714,4,0,1.0829482000372082,15.470688571960116,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
information_12,12,70,19,0.2714285714285714,4,0,1.1016613000065263,15.738018571521804,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
lora_information_12,12,70,20,0.2857142857142857,5,2,1.1124821999874257,15.892602856963224,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
