packet_index,joint_byte_value,joint_byte_hex,joint_payload_hex,joint_score,joint_candidate_rank,joint_candidate_count,independent_byte_value,independent_byte_hex,independent_payload_hex,independent_score,score_gap_independent_minus_joint,expected_payload_hex,joint_app_exact,independent_app_exact,affine_slope,affine_intercept
1,2,02,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,-0.090789752,6,256,50,32,404433221100320058303132333435363738393a3b3c3d3e3f4041424378563412,0.024181597,0.114971349,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,1,0,1,1
2,3,03,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,-0.027532790,5,256,67,43,404433221100430058303132333435363738393a3b3c3d3e3f4041424378563412,0.010429475,0.037962265,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,1,0,1,1
3,4,04,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,-0.238702390,31,256,6,06,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,-0.058939175,0.179763215,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,1,0,1,1
5,6,06,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,0.465687792,1,256,6,06,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,0.465687792,0.000000000,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,1,1,1,1
6,7,07,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,0.299036734,1,256,7,07,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,0.299036734,0.000000000,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,1,1,1,1
