dataset,target_snr_db,model,ambiguous_count,gt_phase_rank1_rate,gt_phase_rank_le2_rate,gt_phase_rank_mean,gt_minus_top1_mean,gt_minus_top1_positive_rate
0_0_0_10_14_8,-22.0,linear,35,0.22857142857142856,0.37142857142857144,3.857142857142857,0.02511203964947028,0.5714285714285714
0_0_0_10_14_8,-22.0,quadratic,35,0.3142857142857143,0.37142857142857144,3.8,0.1164287239649764,0.5714285714285714
0_0_0_10_14_8,-22.0,local_linear,35,0.2,0.2857142857142857,3.8857142857142857,0.1140042690439522,0.6285714285714286
0_0_0_10_14_8,-22.0,oracle_gt_linear_loo,35,0.11428571428571428,0.2571428571428571,4.371428571428571,0.0801318293041382,0.5142857142857142
0_0_0_10_14_8,-22.0,oracle_gt_quadratic_loo,35,0.2571428571428571,0.2857142857142857,4.171428571428572,0.15376924687358756,0.6571428571428571
0_0_0_10_14_16,-18.0,linear,1,0.0,1.0,2.0,0.6322035767812917,1.0
0_0_0_10_14_16,-18.0,quadratic,1,0.0,1.0,2.0,0.8465655876454844,1.0
0_0_0_10_14_16,-18.0,local_linear,1,1.0,1.0,1.0,0.8239798682072226,1.0
0_0_0_10_14_16,-18.0,oracle_gt_linear_loo,1,0.0,1.0,2.0,0.6322035767812917,1.0
0_0_0_10_14_16,-18.0,oracle_gt_quadratic_loo,1,0.0,1.0,2.0,0.8465655876454844,1.0
0_0_0_10_14_16,-19.0,linear,1,0.0,1.0,2.0,0.681969619629821,1.0
0_0_0_10_14_16,-19.0,quadratic,1,0.0,1.0,2.0,0.8357721799396575,1.0
0_0_0_10_14_16,-19.0,local_linear,1,1.0,1.0,1.0,0.8168372163622251,1.0
0_0_0_10_14_16,-19.0,oracle_gt_linear_loo,1,0.0,1.0,2.0,0.6260906865735892,1.0
0_0_0_10_14_16,-19.0,oracle_gt_quadratic_loo,1,0.0,0.0,3.0,0.8398102546987339,1.0
0_0_0_10_14_16,-20.0,linear,6,0.5,0.8333333333333334,1.8333333333333333,0.3344427247420798,0.8333333333333334
0_0_0_10_14_16,-20.0,quadratic,6,0.16666666666666666,0.6666666666666666,2.1666666666666665,0.41328150311481776,0.8333333333333334
0_0_0_10_14_16,-20.0,local_linear,6,0.16666666666666666,0.3333333333333333,3.5,0.2824966785820649,0.6666666666666666
0_0_0_10_14_16,-20.0,oracle_gt_linear_loo,6,0.6666666666666666,1.0,1.3333333333333333,0.3172599832963375,1.0
0_0_0_10_14_16,-20.0,oracle_gt_quadratic_loo,6,0.16666666666666666,0.6666666666666666,2.1666666666666665,0.41004863725573776,0.8333333333333334
0_0_0_10_14_16,-21.0,linear,21,0.38095238095238093,0.6666666666666666,2.2857142857142856,0.34081543120388896,0.9523809523809523
0_0_0_10_14_16,-21.0,quadratic,21,0.47619047619047616,0.8571428571428571,1.7619047619047619,0.5052778702447098,0.9047619047619048
0_0_0_10_14_16,-21.0,local_linear,21,0.2857142857142857,0.3333333333333333,3.9523809523809526,0.17085292272982533,0.6190476190476191
0_0_0_10_14_16,-21.0,oracle_gt_linear_loo,21,0.42857142857142855,0.7142857142857143,2.1904761904761907,0.33567918294215005,0.9047619047619048
0_0_0_10_14_16,-21.0,oracle_gt_quadratic_loo,21,0.42857142857142855,0.8571428571428571,1.7619047619047619,0.5047748720364458,0.8571428571428571
0_0_0_10_14_16,-22.0,linear,51,0.3137254901960784,0.5490196078431373,2.843137254901961,0.29406878348589255,0.7647058823529411
0_0_0_10_14_16,-22.0,quadratic,51,0.47058823529411764,0.7843137254901961,1.9411764705882353,0.39965561646555897,0.8627450980392157
0_0_0_10_14_16,-22.0,local_linear,51,0.09803921568627451,0.17647058823529413,4.372549019607843,-0.023877543195365728,0.45098039215686275
0_0_0_10_14_16,-22.0,oracle_gt_linear_loo,51,0.27450980392156865,0.6078431372549019,2.627450980392157,0.336027984646999,0.7647058823529411
0_0_0_10_14_16,-22.0,oracle_gt_quadratic_loo,51,0.6078431372549019,0.8627450980392157,1.607843137254902,0.4815132739670898,0.9215686274509803
0_0_0_10_14_32,-18.0,linear,9,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_32,-18.0,quadratic,9,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_32,-18.0,local_linear,9,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_32,-18.0,oracle_gt_linear_loo,9,0.1111111111111111,0.2222222222222222,3.6666666666666665,0.20344670095219866,0.5555555555555556
0_0_0_10_14_32,-18.0,oracle_gt_quadratic_loo,9,0.4444444444444444,0.6666666666666666,2.111111111111111,0.3836657086965936,1.0
0_0_0_10_14_32,-19.0,linear,8,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_32,-19.0,quadratic,8,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_32,-19.0,local_linear,8,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_32,-19.0,oracle_gt_linear_loo,8,0.125,0.25,3.875,0.10758966074796891,0.5
0_0_0_10_14_32,-19.0,oracle_gt_quadratic_loo,8,0.375,0.5,2.25,0.2971542930697726,0.875
0_0_0_10_14_32,-20.0,linear,8,0.0,0.0,4.0,0.4355240177101002,1.0
0_0_0_10_14_32,-20.0,quadratic,8,0.0,1.0,2.0,0.9402698180255393,1.0
0_0_0_10_14_32,-20.0,local_linear,8,0.0,0.0,7.0,-0.5333100101790811,0.0
0_0_0_10_14_32,-20.0,oracle_gt_linear_loo,8,0.375,0.5,2.875,0.4240833776101658,0.875
0_0_0_10_14_32,-20.0,oracle_gt_quadratic_loo,8,0.375,0.625,2.25,0.5317603462722211,0.875
0_0_0_10_14_32,-21.0,linear,9,0.6666666666666666,1.0,1.3333333333333333,0.7296150580913681,1.0
0_0_0_10_14_32,-21.0,quadratic,9,1.0,1.0,1.0,0.6257165734934637,1.0
0_0_0_10_14_32,-21.0,local_linear,9,0.0,0.0,5.0,-0.25134857366350577,0.3333333333333333
0_0_0_10_14_32,-21.0,oracle_gt_linear_loo,9,0.3333333333333333,0.5555555555555556,3.0,0.3819211141406342,0.7777777777777778
0_0_0_10_14_32,-21.0,oracle_gt_quadratic_loo,9,0.3333333333333333,0.7777777777777778,2.111111111111111,0.5202238240575885,1.0
0_0_0_10_14_32,-22.0,linear,25,0.18181818181818182,0.3181818181818182,4.136363636363637,0.0677183378187515,0.45454545454545453
0_0_0_10_14_32,-22.0,quadratic,25,0.18181818181818182,0.36363636363636365,4.0,0.11603497748181284,0.5454545454545454
0_0_0_10_14_32,-22.0,local_linear,25,0.18181818181818182,0.3181818181818182,4.318181818181818,0.08656341949297483,0.5454545454545454
0_0_0_10_14_32,-22.0,oracle_gt_linear_loo,25,0.2,0.28,3.64,0.1440903907341329,0.64
0_0_0_10_14_32,-22.0,oracle_gt_quadratic_loo,25,0.2,0.36,4.08,0.14947982290819697,0.6
