dataset,target_snr_db,packet_count,traditional_fft_symbol_ser,multi_offset_argmax_symbol_ser,current_selected_symbol_ser,savaux_paper_symbol_ser,current_minus_savaux_symbol_ser,current_gain_vs_traditional_fft,savaux_gain_vs_traditional_fft,winner_by_symbol_ser,traditional_fft_crc_valid_rate,current_selected_crc_valid_rate,savaux_paper_crc_valid_rate
0_0_0_10_14_16,-27,11,0.9688311688311688,0.8675324675324675,0.7298701298701299,0.5584415584415585,0.17142857142857137,0.23896103896103893,0.4103896103896103,savaux_paper,0.0,0.0,0.0
0_0_0_10_14_16,-26,11,0.9506493506493506,0.7792207792207794,0.587012987012987,0.3714285714285714,0.2155844155844156,0.36363636363636365,0.5792207792207793,savaux_paper,0.0,0.0,0.0
0_0_0_10_14_16,-25,11,0.9116883116883119,0.6441558441558443,0.43636363636363634,0.22857142857142856,0.20779220779220778,0.47532467532467554,0.6831168831168833,savaux_paper,0.0,0.0,0.0
0_0_0_10_14_16,-24,11,0.8337662337662338,0.509090909090909,0.29610389610389604,0.10389610389610389,0.19220779220779216,0.5376623376623377,0.7298701298701299,savaux_paper,0.0,0.0,0.0
0_0_0_10_14_16,-23,11,0.7324675324675325,0.3194805194805194,0.1662337662337662,0.049350649350649346,0.11688311688311687,0.5662337662337663,0.6831168831168831,savaux_paper,0.0,0.0,0.2727272727272727
0_0_0_10_14_16,-22,11,0.6025974025974027,0.17922077922077922,0.05974025974025974,0.005194805194805195,0.05454545454545454,0.5428571428571429,0.5974025974025975,savaux_paper,0.0,0.36363636363636365,0.8181818181818182
