packet_index,event_index,symbol_index,selected_bin,signed_bin,symbol_value,phase_at_bin,phase_predicted,phase_residual_rad,phase_score,margin,confidence,amplitude,energy_ratio,argmax_bin,argmax_is_selected,rank_by_amp,gt_bin,is_correct
1,1,0,222,222,221,-0.315695,-0.364393,0.048698,0.998814,0.505924,0.7209,10.495589,0.014248,222,1,0,222,1
1,1,1,826,-198,825,-0.040916,-0.284866,0.243950,1.000000,0.098504,0.5092,5.544063,0.004051,1007,0,0,826,1
1,1,2,922,-102,921,-0.281737,-3.429196,-3.135726,1.000000,0.108057,0.5209,5.089696,0.003260,637,0,0,922,1
1,1,3,718,-306,717,-0.736603,-0.284828,-0.451775,0.899674,0.367221,0.6785,9.557872,0.012416,718,1,0,718,1
1,1,4,107,107,106,-0.573961,-1.232168,0.658206,0.978304,0.021248,0.4244,7.677374,0.007518,989,0,0,107,1
1,1,5,468,468,467,-0.742458,-1.936420,1.193962,1.000000,0.107705,0.5190,3.359001,0.001489,880,0,0,468,1
1,1,6,89,89,88,-0.816644,0.532668,-1.349312,0.692500,-0.167151,0.2881,2.874618,0.001110,921,0,0,89,1
1,1,7,713,-311,712,-0.947766,1.648800,-2.596566,1.000000,0.027235,0.4371,7.232692,0.006569,713,1,0,713,1
1,1,8,865,-159,864,-1.353335,-0.637483,-0.715852,0.754535,0.125721,0.4441,8.974915,0.011032,865,1,0,865,1
1,1,9,492,492,491,-1.091775,-1.758903,0.667128,0.628354,-0.212904,0.2606,4.684622,0.002975,615,0,0,492,1
1,1,10,765,-259,764,-1.107517,-3.947194,2.839677,1.000000,0.065819,0.4778,7.725065,0.008002,765,1,0,765,1
1,1,11,1023,-1,1022,-1.294850,-1.513085,0.218235,1.000000,0.221407,0.6322,5.436205,0.004099,975,0,0,1023,1
1,1,12,597,-427,596,-0.940505,1.040714,-1.981219,0.746849,-0.189680,0.3095,6.716776,0.006024,607,0,0,597,1
1,1,13,562,-462,561,-1.667137,-1.711186,0.044048,0.999030,0.122998,0.5334,7.493604,0.007203,562,1,0,562,1
1,1,14,478,478,477,-1.037814,-3.691552,2.653739,1.000000,0.045075,0.4547,5.701765,0.004347,288,0,0,478,1
1,1,15,267,267,266,-1.410981,-3.723615,2.312633,1.000000,0.013878,0.4249,7.404016,0.007337,267,1,0,267,1
1,1,16,917,-107,916,-1.822885,-1.487092,-0.335793,0.944149,0.379553,0.6951,9.645422,0.011614,917,1,0,917,1
1,1,17,656,-368,655,-2.117249,-1.898996,-0.218253,0.976277,0.455711,0.7137,10.843803,0.015473,656,1,0,656,1
1,1,18,889,-135,888,-1.813985,-2.411613,0.597628,0.920079,0.205056,0.5845,5.361837,0.003727,811,0,0,889,1
1,1,19,510,510,509,-2.124207,-3.226032,1.101824,0.451969,-0.502109,0.1922,7.599293,0.007613,510,1,0,510,1
1,1,20,860,-164,859,-2.891494,-2.418571,-0.472923,1.000000,0.099664,0.5104,6.347627,0.005198,544,0,0,860,1
1,1,21,553,-471,552,-2.138576,1.640994,2.503615,1.000000,0.297805,0.7102,7.921896,0.008291,553,1,0,553,1
1,1,22,629,-395,628,-2.784651,-1.448656,-1.335995,1.000000,0.078256,0.4901,7.824002,0.007863,629,1,0,629,1
1,1,23,759,-265,758,3.093690,-3.430726,0.241230,1.000000,0.113554,0.5249,5.577106,0.004057,949,0,0,759,1
1,1,24,874,-150,873,2.664373,0.326301,2.338073,1.000000,0.067398,0.4812,8.549931,0.009234,874,1,0,874,1
1,1,25,720,-304,719,2.946289,2.018298,0.927990,0.475409,-0.491329,0.2000,6.353832,0.004997,243,0,0,720,1
1,1,26,314,314,313,2.399769,-0.778511,-3.104905,1.000000,0.458716,0.7183,9.839432,0.012183,314,1,0,314,1
1,1,27,602,-422,601,1.664049,3.856608,-2.192559,1.000000,0.112162,0.5233,6.314681,0.005344,879,0,0,602,1
1,1,28,7,7,6,1.807039,0.569633,1.237406,0.421354,-0.465681,0.1801,5.598206,0.004029,13,0,0,7,1
1,1,29,610,-414,609,2.008708,1.926281,0.082427,0.998289,0.113865,0.5258,7.615070,0.007467,547,0,0,610,1
1,1,30,807,-217,806,1.676417,2.205571,-0.529154,0.863234,0.235833,0.5957,8.801251,0.009716,807,1,0,807,1
1,1,31,897,-127,896,1.030107,1.897207,-0.867100,0.647041,0.020277,0.2981,10.046298,0.012703,897,1,0,897,1
1,1,32,568,-456,567,-1.584584,0.721743,-2.306326,1.000000,0.089535,0.4977,6.557314,0.005414,568,1,0,749,0
1,1,33,584,-440,583,0.881654,-2.230893,3.112548,1.000000,0.423466,0.7204,10.144728,0.013608,584,1,0,584,1
1,1,34,934,-90,933,0.081685,0.235344,-0.153659,0.988218,0.523656,0.7187,10.660434,0.015630,934,1,0,934,1
2,2,0,803,-221,802,-2.579739,-3.033442,0.453702,0.898831,-0.029902,0.3737,8.634616,0.009459,803,1,0,803,1
2,2,1,826,-198,825,-3.126965,-2.688408,-0.438558,0.905365,0.000832,0.3854,10.860657,0.014969,826,1,0,826,1
2,2,2,922,-102,921,-2.982470,-3.674191,0.691721,0.892207,0.002582,0.3714,8.765391,0.010024,48,0,2,922,1
2,2,3,718,-306,717,2.947518,1.714368,1.233150,0.331268,-0.575803,0.1467,8.552179,0.009458,718,1,0,718,1
2,2,4,86,86,85,2.766164,2.400292,0.365872,0.947116,0.013053,0.3985,3.996171,0.002075,820,0,15,86,1
2,2,5,468,468,467,2.512111,1.937177,0.574934,0.915457,0.003719,0.3756,6.164036,0.005103,75,0,17,468,1
2,2,6,89,89,88,2.449371,1.755516,0.693855,0.827054,-0.084566,0.3434,7.032932,0.006444,503,0,0,89,1
2,2,7,713,-311,712,2.056625,2.009050,0.047574,0.932737,0.021421,0.4019,5.372360,0.003654,376,0,6,713,1
2,2,8,865,-159,864,1.822257,1.609899,0.212358,0.977537,0.025877,0.4274,7.248507,0.006992,865,1,0,865,1
2,2,9,492,492,491,1.472034,1.691199,-0.219165,0.924799,0.027681,0.4044,3.663510,0.001787,1000,0,10,492,1
2,2,10,765,-259,764,1.559400,1.695579,-0.136179,0.906984,0.002927,0.3723,4.584621,0.002850,985,0,16,765,1
2,2,11,1023,-1,1022,1.189707,1.863984,-0.674278,0.781158,-0.115346,0.3292,9.302276,0.011170,1023,1,0,1023,1
2,2,12,597,-427,596,1.199388,1.194087,0.005301,0.958919,0.023219,0.4144,5.319548,0.003713,894,0,8,597,1
2,2,13,562,-462,561,1.081291,1.371349,-0.290058,0.958227,0.038314,0.4390,9.485578,0.011599,562,1,0,562,1
2,2,14,478,478,477,0.569428,0.824199,-0.254771,0.967721,0.017457,0.4221,9.862340,0.011733,478,1,0,478,1
2,2,15,267,267,266,0.635310,0.312336,0.322974,0.751631,-0.200705,0.3116,7.053098,0.006367,906,0,0,267,1
2,2,16,917,-107,916,0.152485,0.775509,-0.623024,0.812118,-0.085350,0.3441,10.291440,0.012863,917,1,0,917,1
2,2,17,656,-368,655,-0.129709,-0.359378,0.229669,0.973742,0.031179,0.4372,9.400400,0.011034,656,1,0,656,1
2,2,18,889,-135,888,-0.311651,-0.411903,0.100253,0.994979,0.042238,0.4591,9.684801,0.012551,889,1,0,889,1
2,2,19,510,510,509,-1.221437,-0.593845,-0.627592,0.809444,-0.088208,0.3362,7.884625,0.008274,510,1,0,510,1
2,2,20,860,-164,859,-1.732854,-1.503631,-0.229222,0.984527,0.039824,0.4443,4.379277,0.002416,940,0,0,860,1
2,2,21,553,-471,552,-1.237006,-2.138111,0.901105,0.620744,-0.286556,0.2635,8.921214,0.010152,553,1,0,553,1
2,2,22,629,-395,628,-2.047380,-1.695343,-0.352038,0.965649,0.047496,0.4412,5.150891,0.003378,752,0,5,629,1
2,2,23,759,-265,758,-2.213226,-2.215731,0.002506,0.972864,0.020710,0.4202,7.114977,0.006928,980,0,3,759,1
