file_name,lab_name,experiment_id,corridor_id,position_id,tx_power_dbm,filename_sf,filename_tx_power_dbm,filename_preamble_len,header_packet_counter,packet_avg_power_db,preamble_peak_to_residual_db,preamble_peak_width_3db_bins_avg,preamble_peak_mag_bin_-8,preamble_peak_mag_bin_-7,preamble_peak_mag_bin_-6,preamble_peak_mag_bin_-5,preamble_peak_mag_bin_-4,preamble_peak_mag_bin_-3,preamble_peak_mag_bin_-2,preamble_peak_mag_bin_-1,preamble_peak_mag_bin_+0,preamble_peak_mag_bin_+1,preamble_peak_mag_bin_+2,preamble_peak_mag_bin_+3,preamble_peak_mag_bin_+4,preamble_peak_mag_bin_+5,preamble_peak_mag_bin_+6,preamble_peak_mag_bin_+7,preamble_peak_mag_bin_+8
1_0_10_12_14_16.bin,lab1-SF12-TP14,1,0,10,14,12,14,16,,-22.2883154,3.78097844,0.935289979,0.0582256503,0.0310657918,0.0738838315,0.0511496142,0.105919905,0.101339139,0.211149588,0.459508687,1,0.238226086,0.135966986,0.0964569896,0.0735258609,0.0602699071,0.0501690805,0.0438966081,0.0377577655
1_0_10_12_14_16.bin,lab1-SF12-TP14,1,0,10,14,12,14,16,,-24.1800502,0.512660205,1.42582273,0.0720571354,0.0476287231,0.0925085694,0.0742444173,0.135243833,0.144167751,0.281821311,0.687646508,1,0.338540286,0.181788772,0.127538294,0.0983213335,0.0797657222,0.0677348375,0.0583953336,0.0513974056
1_0_10_12_14_16.bin,lab1-SF12-TP14,1,0,10,14,12,14,16,,-30.6906799,3.0204978,0.981961608,0.0612645373,0.0337215252,0.0781048238,0.0545062535,0.110843517,0.10969732,0.224127918,0.493951827,1,0.250604063,0.143259048,0.100509889,0.0763945505,0.0633261278,0.0529910289,0.0459884331,0.0403367765
1_0_10_12_14_16.bin,lab1-SF12-TP14,1,0,10,14,12,14,16,,-30.2824208,1.67847633,1.16880059,0.0684957802,0.0388929807,0.0876699686,0.0638936833,0.124562874,0.125620082,0.259485871,0.606036067,1,0.275356054,0.157723278,0.113249518,0.0878465772,0.0723817125,0.0599673726,0.0532364957,0.0447882973
1_0_10_12_14_16.bin,lab1-SF12-TP14,1,0,10,14,12,14,16,,-30.351119,-1.03088713,1.74930012,0.0531525798,0.0704860166,0.073223941,0.0974403098,0.111544169,0.159225345,0.235135138,0.57651031,1,0.654469013,0.259605825,0.164302185,0.122942828,0.0970342308,0.0808772519,0.0687817261,0.0609691404
1_0_10_12_14_16.bin,lab1-SF12-TP14,1,0,10,14,12,14,16,,-30.3075413,-1.11917567,1.76613259,0.0568565316,0.0699627846,0.0764907748,0.0971006677,0.119452409,0.164669126,0.247597545,0.608644664,1,0.63202697,0.258039474,0.165904582,0.122763678,0.0966594145,0.0813347846,0.070402123,0.0611627214
1_0_10_12_14_16.bin,lab1-SF12-TP14,1,0,10,14,12,14,16,,-30.9718989,-0.408945978,1.62587094,0.0331306681,0.0791656822,0.0483182371,0.104921639,0.0788795948,0.153456017,0.160533309,0.334811956,1,0.817997456,0.28848809,0.174400419,0.126468763,0.0989379883,0.082357116,0.0682706311,0.0607050583
1_0_10_12_14_16.bin,lab1-SF12-TP14,1,0,10,14,12,14,16,,-29.6541688,0.443476319,1.42447138,0.0716119632,0.0462121479,0.0921792611,0.0737471879,0.134367019,0.143105656,0.278804481,0.689681947,1,0.33340013,0.181345567,0.126298279,0.0977515876,0.080049634,0.0671394691,0.0581119172,0.0511653312
1_0_10_12_14_16.bin,lab1-SF12-TP14,1,0,10,14,12,14,16,,-26.7202198,-0.101618148,1.55839801,0.0721191838,0.0509170853,0.0929163843,0.0797849819,0.136569396,0.149148554,0.286698401,0.719524086,1,0.380284756,0.192897454,0.135672808,0.102619745,0.0838412791,0.0704056993,0.0617456138,0.053204257
1_0_10_12_14_16.bin,lab1-SF12-TP14,1,0,10,14,12,14,16,,-30.8747155,8.08574486,0.72999078,0.040887583,0.0140899429,0.0496902727,0.0249149185,0.0683462545,0.0551320836,0.127809703,0.230382949,1,0.162144274,0.0882357061,0.0615627207,0.0464865454,0.0384848714,0.0319601037,0.0278715063,0.0235544685
