packet_index,payload_symbol_index,gt_bin,bank_kind,pattern_count,savaux_selected_bin,savaux_ok,savaux_gt_rank,savaux_gt_power,savaux_gt_margin_db,savaux_gt_floor_db,plain_coherent_selected_bin,plain_coherent_ok,plain_coherent_gt_rank,plain_coherent_gt_power,plain_coherent_gt_margin_db,plain_coherent_gt_floor_db,lora_coherent_selected_bin,lora_coherent_ok,lora_coherent_gt_rank,lora_coherent_gt_power,lora_coherent_gt_margin_db,lora_coherent_gt_floor_db,lora_mean_power_selected_bin,lora_mean_power_ok,lora_mean_power_gt_rank,lora_mean_power_gt_power,lora_mean_power_gt_margin_db,lora_mean_power_gt_floor_db,lora_best_power_selected_bin,lora_best_power_ok,lora_best_power_gt_rank,lora_best_power_gt_power,lora_best_power_gt_margin_db,lora_best_power_gt_floor_db,lora_stable_power_selected_bin,lora_stable_power_ok,lora_stable_power_gt_rank,lora_stable_power_gt_power,lora_stable_power_gt_margin_db,lora_stable_power_gt_floor_db,lora_adaptive_gls_selected_bin,lora_adaptive_gls_ok,lora_adaptive_gls_gt_rank,lora_adaptive_gls_gt_power,lora_adaptive_gls_gt_margin_db,lora_adaptive_gls_gt_floor_db,lora_offpacket_gls_selected_bin,lora_offpacket_gls_ok,lora_offpacket_gls_gt_rank,lora_offpacket_gls_gt_power,lora_offpacket_gls_gt_margin_db,lora_offpacket_gls_gt_floor_db,dataset,snr_db,seed,noise_mode,covariance_source,white_effective_replicas,empirical_effective_replicas,cross_validated_effective_replicas
1,0,222,quadratic_only_diverse16,16,222,True,1,0.7324391971456521,18.251611100435277,40.876284222027614,222,True,1,0.022083051332759725,7.278306701985752,38.10180391514573,222,True,1,0.04577744990406681,18.251612354810163,40.8762851039754,222,True,1,0.04579199890572744,12.528437387392323,34.11623549669578,222,True,1,0.04805943510939218,2.1208162096261396,29.34276554419862,222,True,1,0.7322064870794783,18.283493932124287,47.553470552482025,222,True,1,7290.575877367484,18.26254038579726,40.93206043476253,222,True,1,14.982888161606901,18.298048116629822,40.48024192257775,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,offpacket,4.0,4.188397303878107,4.822185347877971
1,1,826,quadratic_only_diverse16,16,826,True,1,0.6725193482901801,20.287419690217806,40.173705157388326,826,True,1,0.025685700880169717,9.624899733951368,38.400656223465724,826,True,1,0.042032455984390975,20.28741893978151,40.17370472503208,826,True,1,0.042047423490135155,12.156165774129857,33.46899555480726,826,True,1,0.043221424729350005,1.710202361638828,28.467293921106396,826,True,1,0.6722799534266407,20.51443524263241,47.13942866396089,826,True,1,6830.726660340814,20.306193821363536,40.14983260639052,826,True,1,13.815729569866484,20.32244422402063,39.911348885072826,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,offpacket,4.0,4.188397303878107,4.822185347877971
1,2,922,quadratic_only_diverse16,16,922,True,1,0.8157760012935888,18.51850218383175,42.876862552051676,922,True,1,0.04419350258924879,14.462668478156752,43.171132524481656,922,True,1,0.05098600958561038,18.518501331160376,42.87686340254338,922,True,1,0.05099662601732168,12.111078236405547,36.079414495794396,922,True,1,0.052391235188933356,1.703223884738487,30.98304904172902,922,True,1,0.8156061737797743,18.599093138769828,49.63185577349943,922,True,1,10159.978732065729,18.678640862196836,42.880394553503514,922,True,1,16.76252498375042,18.516884856672785,42.586912843882715,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,offpacket,4.0,4.188397303878107,4.822185347877971
1,3,718,quadratic_only_diverse16,16,355,False,9,0.7217620553341,-2.1417030371292096,8.441847551303754,626,False,184,0.01582991276082055,-6.660221139330099,3.8967814143508406,355,False,9,0.04511013042575028,-2.141703093723669,8.441847666979804,355,False,42,0.05764764102735793,-2.5113108295042643,2.471187653313981,366,False,297,0.1286056927515736,-5.183667654434014,0.9348759381942884,355,False,4,0.5647894670490917,-1.7720953013486151,14.241430975344436,416,False,9,5.643908302724747,-1.3234659408882812,9.040217912777198,355,False,13,13.697557930927376,-2.0403379975610907,8.021362295340662,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,offpacket,4.0,4.188397303878107,4.822185347877971
1,4,107,quadratic_only_diverse16,16,337,False,27,0.6117828189235333,-23.747642543161952,10.44455550597268,338,False,31,0.023598365449161166,-23.851016953641775,8.789073241134208,337,False,27,0.038236433354107986,-23.747642467555355,10.444551460869532,337,False,62,0.05350977290276586,-22.29400531489278,4.958029367823043,337,False,108,0.11724304616666716,-19.21185056332498,3.334630054005646,337,False,26,0.43716113363936304,-25.201279695824525,16.158484956463404,337,False,23,6.7324385662106545,-23.423593933617134,11.02217907565098,337,False,29,10.797453575576895,-24.46033748846595,9.44810275553844,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,offpacket,4.0,4.188397303878107,4.822185347877971
1,5,468,quadratic_only_diverse16,16,337,False,10,0.997674507430478,-12.264650637799758,20.582008821576117,338,False,36,0.008192650697994847,-19.329005582015547,11.59676530923685,337,False,10,0.062354664705533594,-12.264649877756256,20.582006725766195,337,False,13,0.07022254190430921,-11.758376817628879,13.900059501037589,338,False,19,0.15747623622924636,-8.95682070206044,12.449370534792688,337,False,10,0.8858930153918047,-12.770923697927133,27.66971382650928,337,False,10,49.75688199738038,-12.743638676933704,20.55420231672268,337,False,10,20.198265431366266,-12.311739091841986,20.3548512071783,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,offpacket,4.0,4.188397303878107,4.822185347877971
1,6,89,quadratic_only_diverse16,16,128,False,17,1.1425719069166007,-23.03458352062298,19.443092851007176,128,False,18,0.07198089443769734,-22.051884486473952,20.269023957883622,128,False,17,0.07141075359436738,-23.034582952497868,19.443094855538515,128,False,43,0.07376478212995169,-22.894303521341463,12.74733728062683,128,False,73,0.12223341968928325,-20.847056572938236,9.78153762623825,128,False,17,1.106109427191516,-23.17486295177939,25.955852365721878,128,False,17,25.586656564793483,-23.01676007482517,19.360085588469275,128,False,17,23.611832789051732,-23.00951154000415,18.915075343821343,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,offpacket,4.0,4.188397303878107,4.822185347877971
1,7,713,quadratic_only_diverse16,16,128,False,15,0.7041568364746951,-14.777922206907348,25.806675211952623,128,False,26,0.015318750038559394,-19.030563848459746,21.12462719907198,128,False,15,0.04400981110204089,-14.777921281419491,25.806674884428077,128,False,35,0.0447875675146987,-14.714103376456347,14.837579110150132,127,False,62,0.060671829576247546,-14.107452287051371,10.78745166930339,128,False,15,0.6919288338062024,-14.841740111870493,37.59872408484845,128,False,15,52.153381218980506,-14.949275910787534,25.46525081175282,128,False,15,14.599915025055413,-14.695391023330004,24.935306979689486,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,offpacket,4.0,4.188397303878107,4.822185347877971
1,8,865,quadratic_only_diverse16,16,865,True,1,0.8108549489325902,18.10779407143342,42.8831482140848,865,True,1,0.03544656387391798,10.770494766689204,42.07244584133261,865,True,1,0.05067844132049551,18.107794977339402,42.88315126293199,865,True,1,0.05069112468300526,11.284568061834772,36.20458892262522,865,True,1,0.05262301959676677,0.7369834488818763,31.108037637137066,865,True,1,0.8106520659363172,18.19227016853355,49.66308406821252,865,True,1,9795.747709585703,18.258037152597552,42.8694282068266,865,True,1,16.672999757913757,17.971239506001314,42.32517350590362,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,offpacket,4.0,4.188397303878107,4.822185347877971
1,9,492,quadratic_only_diverse16,16,492,True,1,0.8031406826014553,14.932403081995073,42.84578157873767,493,False,5,0.0007441703149564651,-11.506583664772325,24.723257311747375,492,True,1,0.05019628948043009,14.932403015162269,42.845780896148085,492,True,1,0.05020895074443911,11.249649682958015,35.936175421629734,492,True,1,0.05132232554924633,0.6377070449608523,30.869493356779518,492,True,1,0.8029381534494211,14.962185516938506,49.927082203090684,492,True,1,10447.55956763382,15.043439905921378,43.07121799313325,492,True,1,16.46623102693908,14.771473541563356,42.621702294794105,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,offpacket,4.0,4.188397303878107,4.822185347877971
1,10,765,quadratic_only_diverse16,16,765,True,1,0.8085675403278323,18.81389544738732,42.803406577320374,765,True,1,0.021527394405417646,6.186508473830444,39.632320947736886,765,True,1,0.050535467745422065,18.81389235776468,42.80340383388757,765,True,1,0.05054406997766815,11.370580029106932,36.08540585900598,765,True,1,0.05217981535115724,0.7863147686516608,31.024694925952502,765,True,1,0.8084299280268913,18.8742380942657,49.727788576671685,765,True,1,10313.808779677654,18.818318213160218,42.757101451616506,765,True,1,16.56606090680694,18.623603104136926,42.744528966512306,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,offpacket,4.0,4.188397303878107,4.822185347877971
1,11,1023,quadratic_only_diverse16,16,1023,True,1,1.7434517516849155,3.8426054898477897,13.729078491104802,1023,True,1,0.10914082519474949,0.9480905021184177,13.778821984570468,1023,True,1,0.10896573368389617,3.8426064727747704,13.72907998128689,1023,True,1,0.13782027256618257,3.0712351838229583,7.294001905599362,131,False,2,0.26999497078583107,-0.4965628902137753,5.149688901902175,1023,True,1,1.378436537147264,4.613976778799601,20.09500200801667,1023,True,1,17.717783787369164,4.283773783925969,13.985710275329136,1023,True,1,35.87876589697129,3.9104860636817182,13.663801571715585,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,offpacket,4.0,4.188397303878107,4.822185347877971
1,12,597,quadratic_only_diverse16,16,299,False,112,0.48730895034965727,-6.283986558466303,4.648135028842662,399,False,205,0.023071063394025135,-6.623534363874096,3.710406873050597,299,False,112,0.03045681215675834,-6.2839851087535825,4.648135255633436,299,False,409,0.058335181973992255,-4.5871051782420835,0.3496875366839466,809,False,303,0.211512821846049,-5.3704809630633585,0.8432089096717779,299,False,83,0.2544241169886739,-7.980866488977803,8.79001753510871,299,False,41,3.359554187203797,-4.339026768157635,6.644139564906325,299,False,100,11.231297995927351,-6.441002624320744,5.13767615705028,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,offpacket,4.0,4.188397303878107,4.822185347877971
