dataset,snr_db,seed,method,errors,symbol_count,ser,fixes_vs_savaux,breaks_vs_savaux
0_0_0_10_14_8,-22.0,44,ordinary_fft,69,105,0.6571428571428571,0,69
0_0_0_10_14_8,-22.0,44,savaux,0,105,0.0,0,0
0_0_0_10_14_8,-22.0,44,branch_gls,0,105,0.0,0,0
0_0_0_10_14_8,-22.0,44,savaux_dual,0,105,0.0,0,0
0_0_0_10_14_8,-22.0,44,proposed,0,105,0.0,0,0
0_0_0_10_14_8,-22.0,44,unichirp,27,105,0.2571428571428571,0,0
0_0_0_10_14_8,-22.0,44,symfec,15,105,0.14285714285714285,0,0
0_0_0_10_14_8,-22.0,44,loratrimmer,3,105,0.02857142857142857,0,0
0_0_0_10_14_8,-23.0,44,ordinary_fft,83,105,0.7904761904761904,0,81
0_0_0_10_14_8,-23.0,44,savaux,2,105,0.01904761904761905,0,0
0_0_0_10_14_8,-23.0,44,branch_gls,2,105,0.01904761904761905,0,0
0_0_0_10_14_8,-23.0,44,savaux_dual,3,105,0.02857142857142857,0,1
0_0_0_10_14_8,-23.0,44,proposed,3,105,0.02857142857142857,0,1
0_0_0_10_14_8,-23.0,44,unichirp,37,105,0.3523809523809524,0,0
0_0_0_10_14_8,-23.0,44,symfec,26,105,0.24761904761904763,0,0
0_0_0_10_14_8,-23.0,44,loratrimmer,9,105,0.08571428571428572,0,0
0_0_0_10_14_8,-24.0,44,ordinary_fft,90,105,0.8571428571428571,0,81
0_0_0_10_14_8,-24.0,44,savaux,9,105,0.08571428571428572,0,0
0_0_0_10_14_8,-24.0,44,branch_gls,9,105,0.08571428571428572,0,0
0_0_0_10_14_8,-24.0,44,savaux_dual,9,105,0.08571428571428572,0,0
0_0_0_10_14_8,-24.0,44,proposed,9,105,0.08571428571428572,0,0
0_0_0_10_14_8,-24.0,44,unichirp,38,105,0.3619047619047619,0,0
0_0_0_10_14_8,-24.0,44,symfec,47,105,0.44761904761904764,0,0
0_0_0_10_14_8,-24.0,44,loratrimmer,20,105,0.19047619047619047,0,0
0_0_0_10_14_8,-25.0,44,ordinary_fft,97,105,0.9238095238095239,0,74
0_0_0_10_14_8,-25.0,44,savaux,23,105,0.21904761904761905,0,0
0_0_0_10_14_8,-25.0,44,branch_gls,23,105,0.21904761904761905,0,0
0_0_0_10_14_8,-25.0,44,savaux_dual,24,105,0.22857142857142856,0,1
0_0_0_10_14_8,-25.0,44,proposed,23,105,0.21904761904761905,0,0
0_0_0_10_14_8,-25.0,44,unichirp,47,105,0.44761904761904764,0,0
0_0_0_10_14_8,-25.0,44,symfec,68,105,0.6476190476190476,0,0
0_0_0_10_14_8,-25.0,44,loratrimmer,33,105,0.3142857142857143,0,0
0_0_0_10_14_8,-26.0,44,ordinary_fft,101,105,0.9619047619047619,0,62
0_0_0_10_14_8,-26.0,44,savaux,39,105,0.37142857142857144,0,0
0_0_0_10_14_8,-26.0,44,branch_gls,39,105,0.37142857142857144,0,0
0_0_0_10_14_8,-26.0,44,savaux_dual,39,105,0.37142857142857144,0,0
0_0_0_10_14_8,-26.0,44,proposed,39,105,0.37142857142857144,0,0
0_0_0_10_14_8,-26.0,44,unichirp,59,105,0.5619047619047619,0,0
0_0_0_10_14_8,-26.0,44,symfec,80,105,0.7619047619047619,0,0
0_0_0_10_14_8,-26.0,44,loratrimmer,54,105,0.5142857142857142,0,0
0_0_0_10_14_16,-22.0,44,ordinary_fft,75,105,0.7142857142857143,0,74
0_0_0_10_14_16,-22.0,44,savaux,1,105,0.009523809523809525,0,0
0_0_0_10_14_16,-22.0,44,branch_gls,1,105,0.009523809523809525,0,0
0_0_0_10_14_16,-22.0,44,savaux_dual,1,105,0.009523809523809525,0,0
0_0_0_10_14_16,-22.0,44,proposed,1,105,0.009523809523809525,0,0
0_0_0_10_14_16,-22.0,44,unichirp,11,105,0.10476190476190476,0,0
0_0_0_10_14_16,-22.0,44,symfec,12,105,0.11428571428571428,0,0
0_0_0_10_14_16,-22.0,44,loratrimmer,2,105,0.01904761904761905,0,0
0_0_0_10_14_16,-23.0,44,ordinary_fft,85,105,0.8095238095238095,0,83
0_0_0_10_14_16,-23.0,44,savaux,2,105,0.01904761904761905,0,0
0_0_0_10_14_16,-23.0,44,branch_gls,2,105,0.01904761904761905,0,0
0_0_0_10_14_16,-23.0,44,savaux_dual,2,105,0.01904761904761905,0,0
0_0_0_10_14_16,-23.0,44,proposed,2,105,0.01904761904761905,0,0
0_0_0_10_14_16,-23.0,44,unichirp,13,105,0.12380952380952381,0,0
0_0_0_10_14_16,-23.0,44,symfec,38,105,0.3619047619047619,0,0
0_0_0_10_14_16,-23.0,44,loratrimmer,7,105,0.06666666666666667,0,0
0_0_0_10_14_16,-24.0,44,ordinary_fft,89,105,0.8476190476190476,0,80
0_0_0_10_14_16,-24.0,44,savaux,9,105,0.08571428571428572,0,0
0_0_0_10_14_16,-24.0,44,branch_gls,10,105,0.09523809523809523,0,1
0_0_0_10_14_16,-24.0,44,savaux_dual,10,105,0.09523809523809523,0,1
0_0_0_10_14_16,-24.0,44,proposed,11,105,0.10476190476190476,0,2
0_0_0_10_14_16,-24.0,44,unichirp,22,105,0.20952380952380953,0,0
0_0_0_10_14_16,-24.0,44,symfec,66,105,0.6285714285714286,0,0
0_0_0_10_14_16,-24.0,44,loratrimmer,24,105,0.22857142857142856,0,0
0_0_0_10_14_16,-25.0,44,ordinary_fft,94,105,0.8952380952380953,0,68
0_0_0_10_14_16,-25.0,44,savaux,26,105,0.24761904761904763,0,0
0_0_0_10_14_16,-25.0,44,branch_gls,25,105,0.23809523809523808,1,0
0_0_0_10_14_16,-25.0,44,savaux_dual,25,105,0.23809523809523808,1,0
0_0_0_10_14_16,-25.0,44,proposed,25,105,0.23809523809523808,1,0
0_0_0_10_14_16,-25.0,44,unichirp,55,105,0.5238095238095238,0,0
0_0_0_10_14_16,-25.0,44,symfec,77,105,0.7333333333333333,0,0
0_0_0_10_14_16,-25.0,44,loratrimmer,44,105,0.41904761904761906,0,0
0_0_0_10_14_16,-26.0,44,ordinary_fft,98,105,0.9333333333333333,0,49
0_0_0_10_14_16,-26.0,44,savaux,49,105,0.4666666666666667,0,0
0_0_0_10_14_16,-26.0,44,branch_gls,50,105,0.47619047619047616,0,1
0_0_0_10_14_16,-26.0,44,savaux_dual,50,105,0.47619047619047616,0,1
0_0_0_10_14_16,-26.0,44,proposed,50,105,0.47619047619047616,0,1
0_0_0_10_14_16,-26.0,44,unichirp,72,105,0.6857142857142857,0,0
0_0_0_10_14_16,-26.0,44,symfec,90,105,0.8571428571428571,0,0
0_0_0_10_14_16,-26.0,44,loratrimmer,63,105,0.6,0,0
