branch_dimension,branch_snapshots,branch_diagonal_cv,branch_mean_abs_correlation,branch_max_abs_correlation,pair_dimension,pair_snapshots,pair_diagonal_cv,pair_mean_abs_correlation,pair_max_abs_correlation,dataset,snr_db,seed,offpacket_windows
4,2048,0.01143592483022489,0.010747050865407027,0.02040062035784175,2,2048,0.0074640029757105306,0.028670529207534157,0.028670529207534157,0_0_0_10_14_8,-22.0,44,128
4,2048,0.011436426214573883,0.01074704139334783,0.02040127460672583,2,2048,0.007463865754194116,0.028670733360247374,0.028670733360247374,0_0_0_10_14_8,-23.0,44,128
4,2048,0.01143688318026343,0.010747027597289745,0.020401858781001744,2,2048,0.007463742911236247,0.028670914278841348,0.028670914278841348,0_0_0_10_14_8,-24.0,44,128
4,2048,0.011437286774816681,0.010747017169191624,0.02040238216956843,2,2048,0.007463632931251039,0.028671078107343536,0.028671078107343536,0_0_0_10_14_8,-25.0,44,128
4,2048,0.011437649763731418,0.010747010283624214,0.020402841832785505,2,2048,0.007463535844471651,0.02867122535905996,0.02867122535905996,0_0_0_10_14_8,-26.0,44,128
4,2048,0.010325591407617714,0.01342458124113254,0.026895913408759124,2,2048,0.015247871217599886,0.01785786523782577,0.01785786523782577,0_0_0_10_14_16,-22.0,44,128
4,2048,0.010320915729088718,0.013426451154578543,0.026894633511868882,2,2048,0.015250485205062907,0.017845404511512144,0.017845404511512144,0_0_0_10_14_16,-23.0,44,128
4,2048,0.010316909135554126,0.013428300105345443,0.026894133349228435,2,2048,0.015252577317009982,0.01783392803164654,0.01783392803164654,0_0_0_10_14_16,-24.0,44,128
4,2048,0.01031347764286183,0.013430097537870481,0.02689422283550046,2,2048,0.015254253336282515,0.017823407028488475,0.017823407028488475,0_0_0_10_14_16,-25.0,44,128
4,2048,0.010310513317285067,0.01343182310153017,0.02689471672790943,2,2048,0.01525559452002773,0.017813793271815374,0.017813793271815374,0_0_0_10_14_16,-26.0,44,128
