dataset,snr_db,method,errors,symbol_count,fixes_vs_savaux,breaks_vs_savaux,ser
0_0_0_10_14_16,-22.0,ordinary_fft,75,105,0,74,0.7142857142857143
0_0_0_10_14_16,-22.0,savaux,1,105,0,0,0.009523809523809525
0_0_0_10_14_16,-22.0,branch_gls,1,105,0,0,0.009523809523809525
0_0_0_10_14_16,-22.0,savaux_dual,1,105,0,0,0.009523809523809525
0_0_0_10_14_16,-22.0,proposed,1,105,0,0,0.009523809523809525
0_0_0_10_14_16,-22.0,unichirp,11,105,0,0,0.10476190476190476
0_0_0_10_14_16,-22.0,symfec,12,105,0,0,0.11428571428571428
0_0_0_10_14_16,-22.0,loratrimmer,2,105,0,0,0.01904761904761905
0_0_0_10_14_16,-23.0,ordinary_fft,85,105,0,83,0.8095238095238095
0_0_0_10_14_16,-23.0,savaux,2,105,0,0,0.01904761904761905
0_0_0_10_14_16,-23.0,branch_gls,2,105,0,0,0.01904761904761905
0_0_0_10_14_16,-23.0,savaux_dual,2,105,0,0,0.01904761904761905
0_0_0_10_14_16,-23.0,proposed,2,105,0,0,0.01904761904761905
0_0_0_10_14_16,-23.0,unichirp,13,105,0,0,0.12380952380952381
0_0_0_10_14_16,-23.0,symfec,38,105,0,0,0.3619047619047619
0_0_0_10_14_16,-23.0,loratrimmer,7,105,0,0,0.06666666666666667
0_0_0_10_14_16,-24.0,ordinary_fft,89,105,0,80,0.8476190476190476
0_0_0_10_14_16,-24.0,savaux,9,105,0,0,0.08571428571428572
0_0_0_10_14_16,-24.0,branch_gls,10,105,0,1,0.09523809523809523
0_0_0_10_14_16,-24.0,savaux_dual,10,105,0,1,0.09523809523809523
0_0_0_10_14_16,-24.0,proposed,11,105,0,2,0.10476190476190476
0_0_0_10_14_16,-24.0,unichirp,22,105,0,0,0.20952380952380953
0_0_0_10_14_16,-24.0,symfec,66,105,0,0,0.6285714285714286
0_0_0_10_14_16,-24.0,loratrimmer,24,105,0,0,0.22857142857142856
0_0_0_10_14_16,-25.0,ordinary_fft,94,105,0,68,0.8952380952380953
0_0_0_10_14_16,-25.0,savaux,26,105,0,0,0.24761904761904763
0_0_0_10_14_16,-25.0,branch_gls,25,105,1,0,0.23809523809523808
0_0_0_10_14_16,-25.0,savaux_dual,25,105,1,0,0.23809523809523808
0_0_0_10_14_16,-25.0,proposed,25,105,1,0,0.23809523809523808
0_0_0_10_14_16,-25.0,unichirp,55,105,0,0,0.5238095238095238
0_0_0_10_14_16,-25.0,symfec,77,105,0,0,0.7333333333333333
0_0_0_10_14_16,-25.0,loratrimmer,44,105,0,0,0.41904761904761906
0_0_0_10_14_16,-26.0,ordinary_fft,98,105,0,49,0.9333333333333333
0_0_0_10_14_16,-26.0,savaux,49,105,0,0,0.4666666666666667
0_0_0_10_14_16,-26.0,branch_gls,50,105,0,1,0.47619047619047616
0_0_0_10_14_16,-26.0,savaux_dual,50,105,0,1,0.47619047619047616
0_0_0_10_14_16,-26.0,proposed,50,105,0,1,0.47619047619047616
0_0_0_10_14_16,-26.0,unichirp,72,105,0,0,0.6857142857142857
0_0_0_10_14_16,-26.0,symfec,90,105,0,0,0.8571428571428571
0_0_0_10_14_16,-26.0,loratrimmer,63,105,0,0,0.6
0_0_0_10_14_8,-22.0,ordinary_fft,69,105,0,69,0.6571428571428571
0_0_0_10_14_8,-22.0,savaux,0,105,0,0,0.0
0_0_0_10_14_8,-22.0,branch_gls,0,105,0,0,0.0
0_0_0_10_14_8,-22.0,savaux_dual,0,105,0,0,0.0
0_0_0_10_14_8,-22.0,proposed,0,105,0,0,0.0
0_0_0_10_14_8,-22.0,unichirp,27,105,0,0,0.2571428571428571
0_0_0_10_14_8,-22.0,symfec,15,105,0,0,0.14285714285714285
0_0_0_10_14_8,-22.0,loratrimmer,3,105,0,0,0.02857142857142857
0_0_0_10_14_8,-23.0,ordinary_fft,83,105,0,81,0.7904761904761904
0_0_0_10_14_8,-23.0,savaux,2,105,0,0,0.01904761904761905
