packet_index,event_index,detected_start_sample,detected_end_sample,detected_window_count,detected_reference_bin,detected_reference_signed_bin,detected_mean_confidence_db,aligned_start_sample,align_offset_samples,align_peak_bin,align_peak_signed_bin,align_confidence_db,align_peak_share,frame_valid,located_preamble_start_sample,located_sfd_start_sample,located_payload_start_sample,locator_score,preamble_ref_bin,preamble_ref_signed_bin,preamble_stable_count,sync1_bin,sync2_bin,sync1_expected_bin,sync2_expected_bin,sync1_distance,sync2_distance,sfd1_bin,sfd2_bin,sfd_bin_distance,mean_preamble_confidence_db,mean_sfd_confidence_db,grlora_framesync_valid,grlora_coarse_offset_chips,grlora_coarse_offset_samples,grlora_synced_preamble_start_sample,grlora_synced_sfd_start_sample,grlora_synced_payload_start_sample,grlora_fine_preamble_start_sample,grlora_fine_payload_start_sample,grlora_preamble_peak_mean_signed_bin,grlora_preamble_peak_max_abs_signed_bin,grlora_preamble_bin0_count,grlora_preamble_peak_count,grlora_sync1_peak_signed_bin,grlora_sync2_peak_signed_bin,grlora_sync1_expected_signed_bin,grlora_sync2_expected_signed_bin,grlora_sync1_distance,grlora_sync2_distance,grlora_sfd1_peak_signed_bin,grlora_sfd2_peak_signed_bin,grlora_sfd_mean_signed_bin,grlora_up_symbols_used,grlora_cfo_frac_est,grlora_sto_frac_initial,grlora_sto_frac_refined,grlora_sto_frac_used,grlora_sto_sample_correction,grlora_cfo_int_est,grlora_down_val_signed_bin,grlora_cfo_total_est,grlora_cfo_hz_est,grlora_sfo_hat,grlora_sfo_samples_per_symbol,grlora_clk_off,grlora_fs_p,grlora_netid_sto_frac_est,grlora_payload_sto_frac_est,grlora_payload_sto_sample_correction,grlora_netid1_est,grlora_netid2_est,grlora_netid_offset,grlora_netid_valid,grlora_sfo_cum_initial,grlora_fine_preamble_peak_mean_signed_bin,grlora_fine_preamble_peak_max_abs_signed_bin,grlora_fine_preamble_bin0_count,grlora_fine_preamble_peak_count,grlora_center_sample_phase,grlora_branch_sample_phases,grlora_branch_valid,grlora_branch_down_val_valid,grlora_branch_cfo_frac_est,grlora_branch_sto_frac_initial,grlora_branch_sto_frac_refined,grlora_branch_sto_frac_used,grlora_branch_sto_sample_correction,grlora_branch_cfo_int_est,grlora_branch_down_val_signed_bin,grlora_branch_cfo_total_est,grlora_branch_cfo_hz_est,grlora_branch_sfo_hat,grlora_branch_sfo_samples_per_symbol,grlora_branch_clk_off,grlora_branch_fs_p,grlora_branch_netid_sto_frac_est,grlora_branch_payload_sto_frac_est,grlora_branch_payload_sto_sample_correction,grlora_branch_netid1_est,grlora_branch_netid2_est,grlora_branch_netid_offset,grlora_branch_netid_valid,grlora_branch_sfo_cum_initial,grlora_branch_fine_preamble_start_sample,grlora_branch_fine_payload_start_sample,grlora_spectrum_chirps,grlora_spectrum_raw_peak_signed_bin,grlora_spectrum_peak_signed_bin,grlora_spectrum_peak_relative_db,grlora_spectrum_bin0_relative_db,grlora_spectrum_bin0_is_peak
0,0,1105920,1282048,36,231,231,1.2968538591839007,1137646,31726,4067,-29,6.591789287515505,0.004807206795711588,1,1133514,1272778,1281994,260.49939320376774,4058,-38,31,4082,4090,24,32,0,0,4081,4081,0,3.9144797157149442,1.733237290396438,0,38,152,1133666,1272930,1282146,1133667,1282535,-27.96875,895,31,32,24,32,24,32,0,0,-53,-53,-53.0,28,0.3072646379182272,0.15610168949470798,-0.1260763239551764,-0.1260763239551764,-1,97,195,97.30726463791822,11878.328202870876,0.02494034873844531,0.09976139495378124,2.4355809314887998e-05,124996.95552383564,-0.3279851643249265,-0.221988682186534,-1,660,429,636,0,0.028011317813465997,-25.928571428571427,510,9,28,2,0|1|2|3,0|0|0|0,1|1|1|1,-0.41348296718620303|-0.13098930144202886|0.3072646379182272|0.3206041680979141,0.41691839395660313|0.40538842248016843|0.15610168949470798|0.40733557788627806,0.007075342819904134|-0.12074075533765294|-0.1260763239551764|0.027669588562913097,0.007075342819904134|-0.12074075533765294|-0.1260763239551764|0.027669588562913097,0|0|-1|0,148|-108|97|97,296|-215|195|195,147.5865170328138|-108.13098930144203|97.30726463791822|97.32060416809792,18015.93225498215|-13199.583654961185|11878.328202870876|11879.956563488515,0.037827177832892606|-0.027714524631290247|0.02494034873844531|0.02494376772813664,0.15130871133157042|-0.11085809852516099|0.09976139495378124|0.09977507091254656,3.6940603352434185e-05|-2.706496546024438e-05|2.4355809314887998e-05|2.4359148172008437e-05,124995.38242458094|125003.38312068254|124996.95552383564|124996.9551064785,0.21754503347246756|-0.007605543538940829|-0.3279851643249265|-0.1741298441367145,0.3783105392622612|-0.12539227322192437|-0.221988682186534|-0.0681188312921337,2|-1|-1|0,24|24|660|731,147|99|429|53,0|0|636|707,0|0|0|0,-0.12168946073773879|0.12460772677807563|0.028011317813465997|-0.0681188312921337,1133664|1133665|1133667|1133667,1282734|1281714|1282535|1282535,,,,,,
1,1,2605056,2793472,39,4020,-76,7.2658810136699215,2633904,28848,4064,-32,7.948947585701286,0.006635359574519409,1,2633928,2773192,2782408,275.5694549808526,4070,-26,32,4094,6,24,32,0,0,4069,4069,0,4.30103659045308,3.9241152260117396,0,26,104,2634032,2773296,2782512,2634034,2782958,5.46875,175,31,32,297,684,24,32,273,652,-53,-53,-53.0,28,0.4330478573924529,-0.011814259862799915,-0.431984358865634,-0.431984358865634,-2,111,223,111.43304785739245,13602.666974779351,0.02856085909816292,0.11424343639265168,2.7891463963049726e-05,124996.51356700461,0.4819631322755794,-0.39665321655722807,-2,302,410,278,0,0.10334678344277193,15.142857142857142,460,2,28,2,0|1|2|3,0|0|0|0,1|1|1|1,0.4376397716245533|-0.10874145115708493|0.4330478573924529|-0.029653977628910103,-0.4904856724583624|0.40246983235944|-0.011814259862799915|-0.33892797632047567,0.06584697525102001|0.43109259658913907|-0.431984358865634|-0.3589684325632898,0.06584697525102001|0.43109259658913907|-0.431984358865634|-0.3589684325632898,0|2|-2|-1,111|-27|111|8,223|-53|223|16,111.43763977162455|-27.108741451157083|111.43304785739245|7.97034602237109,13603.227511184637|-3309.1725404244485|13602.666974779351|972.942629683971,0.028562036029225073|-0.0069481088402596584|0.02856085909816292|0.0020428403789140583,0.11424814411690029|-0.027792435361038634|0.11424343639265168|0.008171361515656233,2.789261330979011e-05|-6.785262539316073e-06|2.7891463963049726e-05|1.99496130753326e-06,124996.51342333628|125000.84815781743|124996.51356700461|124999.75062983656,-0.02016787181377766|0.20875311370083005|0.4819631322755794|-0.29359754043803993,0.10122078131042889|0.1792236511297265|-0.39665321655722807|-0.28491546882765517,0|1|-2|-1,302|318|302|319,410|411|410|435,278|294|278|295,0|0|0|0,0.10122078131042889|-0.07077634887027351|0.10334678344277193|-0.03491546882765517,2634030|2634029|2634034|2634034,2782954|2782402|2782958|2782546,,,,,,
2,2,4104192,4284416,37,3713,-383,1.040822840844843,4134314,30122,4075,-21,8.6145638607526,0.00954977933344706,1,4134294,4273558,4282774,268.63551346492665,4070,-26,30,4094,6,24,32,0,0,4069,4069,0,4.444947957054024,3.4606114300298385,0,26,104,4134398,4273662,4282878,4134398,4282767,62.53125,1391,28,32,24,32,24,32,0,0,-53,-53,-53.0,28,-0.41440580746628,-0.10955649675877088,-0.0491558110045599,-0.0491558110045599,0,-27,-53,-27.41440580746628,-3346.4850839192236,-0.007026452175380941,-0.028105808701523766,-6.861769702520451e-06,125000.8577212128,-0.27400228061675,-0.30386470236211904,-1,25,33,1,1,-0.053864702362119043,-52.82142857142857,443,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,0.4138472251819402|-0.21429257731374068|-0.41440580746628|0.41348534964691247,-0.49366041853750176|0.42655476043380836|-0.10955649675877088|0.1903385871118973,-0.41773853558117935|-0.46026279404679826|-0.0491558110045599|0.39670882274670916,-0.41773853558117935|0.42655476043380836|-0.0491558110045599|0.39670882274670916,-2|2|0|2,-27|244|-27|-27,-54|489|-53|-54,-26.58615277481806|243.78570742268627|-27.41440580746628|-26.586514650353088,-3245.3799773947826|29758.997488120884|-3346.4850839192236|-3245.42415165443,-0.006814166694386421|0.06248352148418246|-0.007026452175380941|-0.00681425944493364,-0.027256666777545683|0.24993408593672983|-0.028105808701523766|-0.02725703777973456,-6.654459662486739e-06|6.101906394939693e-05|-6.861769702520451e-06|-6.654550239193008e-06,125000.8318074578|124992.37261700633|125000.8577212128|125000.83181877992,0.3642081301984552|0.4260274479276469|-0.27400228061675|0.17865252050883274,0.3352479217473129|-0.3084175857645777|-0.30386470236211904|0.14969191786786473,1|-1|-1|1,23|725|25|24,31|31|33|229,-1|701|1|0,1|0|1|0,0.08524792174731288|-0.05841758576457767|-0.053864702362119043|-0.10030808213213527,4134398|4134395|4134398|4134397,4282771|4283854|4282767|4282770,,,,,,
3,3,5611520,5791744,37,333,333,3.793723356937477,5638760,27240,4071,-25,11.054548811482121,0.012852446624690827,1,5634584,5773848,5783064,285.30057212152883,4051,-45,31,4075,4083,24,32,0,0,4088,4088,0,5.065634419729065,5.586311284968762,0,45,180,5634764,5774028,5783244,5634766,5783583,-36.65625,1173,31,32,24,32,24,32,0,0,-53,-53,-53.0,28,-0.3533012981589223,-0.15480597012827002,-0.4755250028007264,-0.4755250028007264,-2,85,170,84.64669870184107,10332.848962627084,0.021695381049272367,0.08678152419708947,2.1186895555930046e-05,124997.35163805551,0.21872719077598934,0.31093256023539695,1,24,640,0,0,0.06093256023539695,-8.035714285714286,483,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,0.4008192806889638|0.09718901789592471|-0.3533012981589223|0.39655585998627707,-0.4476311879606101|0.07722548200672631|-0.15480597012827002|0.3362095811553903,0.4961317811128289|0.14457671034030145|-0.4755250028007264|-0.03242641801625734,-0.4476311879606101|0.14457671034030145|-0.4755250028007264|-0.03242641801625734,-2|1|-2|0,-248|-27|85|-248,-495|-53|170|-495,-247.59918071931105|-26.902810982104075|84.64669870184107|-247.60344414001372,-30224.509365150276|-3284.0345437138762|10332.848962627084|-30225.02980224777,-0.06346093416016789|-0.006895327809643242|0.021695381049272367|-0.0634620268966613,-0.25384373664067156|-0.027581311238572968|0.08678152419708947|-0.2538481075866452,-6.197356851578895e-05|-6.7337185641047284e-06|2.1186895555930046e-05|-6.19746356412708e-05,125007.74669606448|125000.8417148205|124997.35163805551|125007.74682945515,-0.47838108108598254|-0.07607377956828232|0.21872719077598934|-0.063211278709419,0.25190994873330386|-0.10537892275926608|0.31093256023539695|-0.33292489302022954,1|0|1|-1,560|24|24|418,3|32|640|32,536|0|0|394,0|1|0|0,0.0019099487333038567|-0.10537892275926608|0.06093256023539695|-0.08292489302022954,5634764|5634762|5634766|5634765,5782249|5783135|5783583|5782254,,,,,,
4,4,7106560,7290880,38,25,25,5.86844722581505,7135070,28510,4081,-15,12.43575252447437,0.024952645065134615,1,7135043,7274307,7283523,378.2717736529359,4074,-22,32,2,10,24,32,0,0,4065,4065,0,11.789005856239015,14.035717563130122,1,22,88,7135131,7274395,7283611,7135130,7283503,0.0,0,32,32,24,32,24,32,0,0,-53,-53,-53.0,28,0.38392945767970926,0.15302997807853777,0.2905100448389303,0.2905100448389303,1,-27,-54,-26.61607054232029,-3249.032048623082,-0.006821834770945327,-0.02728733908378131,-6.661948018501296e-06,125000.83274350232,0.07221133216867981,0.04321853439216217,0,24,32,0,1,0.04321853439216217,0.0,0,28,28,2,0|1|2|3,1|1|1|1,1|1|1|1,0.38642825619189575|0.3840899817757338|0.38392945767970926|0.38545414327560723,-0.32064077116285716|-0.08318369576195082|0.15302997807853777|0.4217376417318972,-0.21746367716056522|0.005464483671392365|0.2905100448389303|-0.47784714352536706,-0.21746367716056522|0.005464483671392365|0.2905100448389303|0.4217376417318972,-1|0|1|2,-27|-27|-27|-27,-54|-54|-54|-54,-26.613571743808105|-26.615910018224266|-26.61607054232029|-26.614545856724394,-3248.7270195078254|-3249.012453396517|-3249.032048623082|-3248.845929775927,-0.006821194316128795|-0.006821793627799945|-0.006821834770945327|-0.006821443986242668,-0.02728477726451518|-0.02728717451119978|-0.02728733908378131|-0.027285775944970673,-6.6613225743445264e-06|-6.661907839648384e-06|-6.661948018501296e-06|-6.661566392815106e-06,125000.83266532181|125000.83273847995|125000.83274350232|125000.8326957991,-0.43574189527668666|-0.2128329124182059|0.07221133216867981|0.20345143417213185,-0.464731971120234|-0.24182553533635565|0.04321853439216217|0.17446029723060041,-2|-1|0|1,24|24|24|24,32|32|32|32,0|0|0|0,1|1|1|1,0.03526802887976599|0.008174464663644354|0.04321853439216217|-0.07553970276939959,7135130|7135130|7135130|7135130,7283503|7283503|7283503|7283503,,,,,,
5,5,8605696,8790016,38,3814,-282,1.0466335903855999,8635398,29702,4071,-25,17.302557957229496,0.05131853434726684,1,8635390,8774654,8783870,372.1540588644847,4069,-27,32,4093,5,24,32,0,0,4070,4070,0,12.536695391693158,11.086414052901837,1,27,108,8635498,8774762,8783978,8635497,8783870,0.0,0,32,32,24,32,24,32,0,0,-53,-53,-53.0,28,0.3714773104614319,0.08662001959896172,0.1852363170386325,0.1852363170386325,1,-27,-54,-26.628522689538567,-3250.5520861253135,-0.0068250263198530265,-0.027300105279412106,-6.665064765481471e-06,125000.83313309569,-0.03316452519666435,-0.06217088705603968,0,24,32,0,1,-0.06217088705603968,0.0,0,28,28,2,0|1|2|3,1|1|1|1,1|1|1|1,0.3712275715257042|0.37054999378015774|0.3714773104614319|0.37189187750680086,-0.39918753629729054|-0.11270211909702495|0.08662001959896172|0.3548745995748498,-0.31092626347617625|-0.04160203170100302|0.1852363170386325|0.45001733632010565,-0.31092626347617625|-0.04160203170100302|0.1852363170386325|0.45001733632010565,-1|0|1|2,-27|-27|-27|-27,-54|-54|-54|-54,-26.628772428474296|-26.62945000621984|-26.628522689538567|-26.6281081224932,-3250.582571835241|-3250.665283962383|-3250.5520861253135|-3250.501479796533,-0.00682509032921732|-0.0068252639958529425|-0.0068250263198530265|-0.006824920064202686,-0.02730036131686928|-0.02730105598341177|-0.027300105279412106|-0.027299680256810743,-6.665127274626289e-06|-6.665296870950139e-06|-6.665064765481471e-06|-6.664961000197935e-06,125000.83314090932|125000.83316210886|125000.83313309569|125000.83312012503,0.47067084598886955|-0.26001047956829715|-0.03316452519666435|0.23161989426561969,0.44166421208969586|-0.28901785155067217|-0.06217088705603968|0.20261398399275832,2|-1|0|1,23|24|24|24,31|32|32|32,-1|0|0|0,1|1|1|1,-0.05833578791030414|-0.03901785155067217|-0.06217088705603968|-0.04738601600724168,8635497|8635497|8635497|8635497,8783870|8783870|8783870|8783870,,,,,,
6,6,10117120,10293248,36,434,434,1.3759380157414087,10148063,30943,4074,-22,15.803725264732492,0.0395993909673236,0,10140123,10279387,10288603,-340.6106490017993,41,41,31,73,4035,24,32,8,134,4002,4003,1,10.73421152589359,6.222640550686554,0,-41,-164,10139959,10279223,10288439,10139961,10288976,0.75,24,31,32,32,350,24,32,8,318,-53,-52,-52.5,28,0.3566101638627402,0.14200544933077663,-0.44434860257922537,-0.44434860257922537,-2,134,269,134.35661016386274,16400.9533891434,0.03443628515579832,0.1377451406231933,3.36291847224593e-05,124995.79635190968,-0.34238747759367905,-0.19603326568153623,-1,32,53,8,0,0.05396673431846377,0.4642857142857143,4,16,28,2,0|1|2|3,0|0|0|0,1|1|1|1,0.35525587309401735|0.35306741981714035|0.3566101638627402|0.3551913689971739,-0.3380788914067807|-0.06108570813649678|0.14200544933077663|0.43920212658790836,0.480530692807406|-0.47725350354846796|-0.44434860257922537|-0.3910206316413678,-0.3380788914067807|-0.47725350354846796|-0.44434860257922537|0.43920212658790836,-1|-2|-2|2,134|134|134|134,269|269|269|269,134.35525587309402|134.35306741981714|134.35661016386274|134.35519136899717,16400.788070446048|16400.520925270648|16400.9533891434|16400.780196410786,0.034435938044159835|0.03443537713241161|0.03443628515579832|0.034435921511430476,0.13774375217663934|0.13774150852964645|0.1377451406231933|0.1377436860457219,3.362884574624984e-05|3.3628297980870715e-05|3.36291847224593e-05|3.3628829601006324e-05,124995.79639428173|124995.79646275239|124995.79635190968|124995.79639629988,-0.236128873993666|-0.37532143531129636|-0.34238747759367905|-0.4588483850463163,-0.08977613730598666|-0.22897108249854692|-0.19603326568153623|-0.31249571862273706,0|-1|-1|-1,32|32|32|33,35|53|53|36,8|8|8|9,0|0|0|0,-0.08977613730598666|0.02102891750145308|0.05396673431846377|-0.06249571862273706,10139958|10139960|10139961|10139958,10288973|10288975|10288976|10288977,,,,,,
7,7,11608064,11792384,38,127,127,2.6007050338150877,11636089,28025,4061,-35,6.773737185405215,0.0057946690802113225,1,11636061,11775325,11784541,290.4382423584301,4054,-42,31,4078,4086,24,32,0,0,4085,4085,0,5.169577895558168,6.63865500948927,0,42,168,11636229,11775493,11784709,11636227,11784600,-13.0,416,31,32,24,32,24,32,0,0,-53,-53,-53.0,28,-0.021455455704380424,0.3950373144708939,0.49523650785364787,0.49523650785364787,2,-27,-53,-27.02145545570438,-3298.5175116826636,-0.006925736993977953,-0.027702947975911812,-6.763415033181595e-06,125000.84542687914,0.2736129240463534,0.2441785418219471,1,24,892,0,0,-0.005821458178052907,-13.0,394,23,28,2,0|1|2|3,0|0|0|0,1|1|1|1,0.33948076102993824|0.27245035000665463|-0.021455455704380424|0.19270717417755784,-0.45975774331600405|-0.07578062656088415|0.3950373144708939|0.45890777446551567,-0.3867426930214606|-0.48974165025799865|0.49523650785364787|-0.032276574346973064,-0.3867426930214606|-0.48974165025799865|0.49523650785364787|-0.032276574346973064,-2|-2|2|0,-27|-167|-27|-167,-54|-334|-53|-334,-26.66051923897006|-166.72754964999334|-27.02145545570438|-166.80729282582243,-3254.4579149133374|-20352.48408813395|-3298.5175116826636|-20362.218362527154,-0.006833227198833827|-0.04273312221908789|-0.006925736993977953|-0.04275356080218947,-0.027332908795335308|-0.17093248887635157|-0.027702947975911812|-0.17101424320875788,-6.673073436361159e-06|-4.173156466707802e-05|-6.763415033181595e-06|-4.1751524220888155e-05,125000.83413417953|125005.21644558338|125000.84542687914|125005.2189405276,0.3945940366158569|0.1427984387311887|0.2736129240463534|-0.4003905200170361,0.3655528210208132|-0.03881733069993487|0.2441785418219471|0.4179068465736586,1|0|1|2,784|23|24|25,357|31|892|33,760|-1|0|1,0|1|0|1,0.11555282102081321|-0.03881733069993487|-0.005821458178052907|-0.08209315342634138,11636229|11636230|11636227|11636230,11784598|11784044|11784600|11784036,,,,,,
8,8,14606336,14790656,38,3608,-488,1.2818308609484033,14636853,30517,4069,-27,15.815401715097115,0.04133228276459529,1,14636881,14776145,14785361,369.39269336420625,4076,-20,32,4,12,24,32,0,0,4063,4063,0,11.796520822295236,11.849297845222804,1,20,80,14636961,14776225,14785441,14636960,14785333,0.0,0,32,32,24,32,24,32,0,0,-53,-53,-53.0,28,0.3101939766016953,0.125316413307601,0.23620777298505632,0.23620777298505632,1,-27,-54,-26.689806023398305,-3258.0329618406136,-0.006840733551209326,-0.027362934204837305,-6.680403858602858e-06,125000.83505048232,0.01730429934635791,-0.011768818246281731,0,24,32,0,1,-0.011768818246281731,0.0,0,28,28,2,0|1|2|3,1|1|1|1,1|1|1|1,0.309699783903092|0.3113442414101878|0.3101939766016953|0.31072969696977715,-0.3593386006916717|-0.08775398315995742|0.125316413307601|0.38842577460109845,-0.2775203128762769|-0.010160771676663473|0.23620777298505632|0.49112360271625155,-0.2775203128762769|-0.010160771676663473|0.23620777298505632|0.49112360271625155,-1|0|1|2,-27|-27|-27|-27,-54|-54|-54|-54,-26.690300216096908|-26.688655758589814|-26.689806023398305|-26.689270303030224,-3258.093288097767|-3257.8925486559833|-3258.0329618406136|-3257.967566287869,-0.006840860215321127|-0.006840438732466121|-0.006840733551209326|-0.006840596243343814,-0.02736344086128451|-0.027361754929864483|-0.027362934204837305|-0.027362384973375255,-6.680527554024538e-06|-6.680115949673946e-06|-6.680403858602858e-06|-6.680269768890443e-06,125000.83506594425|125000.83501449371|125000.83505048232|125000.83503372112,-0.4964278397665529|-0.22905481111557935|0.01730429934635791|0.2722245229292495,0.4744985043183323|-0.25812667572856035|-0.011768818246281731|0.2431519888950383,2|-1|0|1,24|24|24|24,32|32|32|32,0|0|0|0,1|1|1|1,-0.025501495681667707|-0.00812667572856035|-0.011768818246281731|-0.006848011104961693,14636960|14636960|14636960|14636960,14785329|14785333|14785333|14785333,,,,,,
9,9,16109568,16293888,38,228,228,7.502295888356678,16141320,31752,4070,-26,14.132529658891034,0.023154733812086922,1,16137216,16276480,16285696,366.658392610382,4068,-28,32,4092,4,24,32,0,0,4071,4071,0,12.29385928924433,10.04169750228774,1,28,112,16137328,16276592,16285808,16137327,16285700,0.0,0,32,32,24,32,24,32,0,0,-53,-53,-53.0,28,0.30009089383712184,0.13484544237354779,0.2424461996501053,0.2424461996501053,1,-27,-54,-26.699909106162877,-3259.266248310898,-0.006843323022904161,-0.027373292091616645,-6.682932639554845e-06,125000.83536657994,0.02345986291717217,-0.005624259930170572,0,24,32,0,1,-0.005624259930170572,0.0,0,28,28,2,0|1|2|3,1|1|1|1,1|1|1|1,0.30042370195055135|0.2983313441390014|0.30009089383712184|0.3020963376494627,-0.3376707608478|-0.06606351558657667|0.13484544237354779|0.42582330865218665,-0.23275329668476086|0.02210468685666799|0.2424461996501053|-0.47721714970670337,-0.23275329668476086|0.02210468685666799|0.2424461996501053|0.42582330865218665,-1|0|1|2,-27|-27|-27|-27,-54|-54|-54|-54,-26.69957629804945|-26.701668655861|-26.699909106162877|-26.697903662350537,-3259.2256223204895|-3259.481037092407|-3259.266248310898|-3259.0214431580243,-0.006843237722485506|-0.006843774004475343|-0.006843323022904161|-0.0068428090174160695,-0.027372950889942023|-0.027375096017901373|-0.027373292091616645|-0.027371236069664278,-6.682849338364752e-06|-6.683373051245452e-06|-6.682932639554845e-06|-6.68243068107038e-06,125000.8353561673|125000.8354216314|125000.83536657994|125000.83530383513,-0.45173690380429704|-0.196896081286543|0.02345986291717217|0.2068534200948724,-0.48082066412486046|-0.22598212080556318|-0.005624259930170572|0.1777714817708541,-2|-1|0|1,24|24|24|24,32|32|32|32,0|0|0|0,1|1|1|1,0.019179335875139536|0.02401787919443682|-0.005624259930170572|-0.07222851822914589,16137327|16137327|16137327|16137327,16285700|16285700|16285700|16285700,,,,,,
