sf,tx_power_dbm,capture_count,ok_capture_count,header_valid_packets,probe_traditional_fft_crc_valid_rate,probe_current_selected_crc_valid_rate,probe_savaux_paper_crc_valid_rate,probe_savaux_codec_crc_valid_rate
10,14,3,3,8,1.0,1.0,1.0,1.0
11,2,4,4,12,0.9166666666666666,0.9166666666666666,1.0,1.0
12,2,4,4,11,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
12,6,4,4,12,0.0,0.0,0.0,0.0
12,10,4,4,12,0.0,0.0,0.0,0.0
12,14,4,4,12,0.0,0.0,0.0,0.0
