dataset,scenario,snr_db,blocker_isr_db,blocker_frequency,seed,packet_index,payload_symbol_index,raw_start_sample,demod_start_sample,origin_shift,sf,os_factor,signal_reference_power,gt_bin,savaux_bin,cleaned_bin,alias_trim_bin,savaux_error,alias_trim_error,fix,break,gate_triggered,changed,blocker_count,clean_gain_db,strongest_tone_prominence_db,strongest_tone_power_fraction,estimated_blocker_frequency,blocker_frequency_error,savaux_seconds,alias_trim_overhead_seconds
0_0_0_10_14_8,awgn,-22.0,,,2101,0,0,728281,728283,2,10,4,9.805608631442118e-05,803,803,803,803,0,0,0,0,0,0,0,0.0,10.492573673128282,0.0018977334971362941,,,0.14682079999965936,0.002233199999864155
0_0_0_10_14_8,awgn,-22.0,,,2101,0,1,732377,732379,2,10,4,9.805608631442118e-05,826,826,826,826,0,0,0,0,0,0,0,0.0,11.725516692675237,0.0025208956940155104,,,0.0014324000003398396,0.0019712999992407276
0_0_0_10_14_8,awgn,-22.0,,,2101,0,2,736473,736475,2,10,4,9.805608631442118e-05,922,922,922,922,0,0,0,0,0,0,0,0.0,11.944644024227866,0.002573764901303311,,,0.0013998999993418693,0.0020968999997421633
0_0_0_10_14_8,awgn,-22.0,,,2101,0,3,740569,740571,2,10,4,9.805608631442118e-05,718,718,718,718,0,0,0,0,0,0,0,0.0,10.74747106282048,0.002031896186618341,,,0.0021735000000262517,0.0019260999997641193
0_0_0_10_14_8,awgn,-22.0,,,2101,0,4,744665,744667,2,10,4,9.805608631442118e-05,86,86,86,86,0,0,0,0,0,0,0,0.0,11.32372346755712,0.0023539430872409573,,,0.0013777000003756257,0.0020104000004721456
0_0_0_10_14_8,awgn,-22.0,,,2101,0,5,748761,748763,2,10,4,9.805608631442118e-05,467,467,467,467,0,0,0,0,0,0,0,0.0,11.547044830695334,0.0026061220224323513,,,0.0013988000000608736,0.0018959999997605337
0_0_0_10_14_8,awgn,-22.0,,,2101,0,6,752857,752859,2,10,4,9.805608631442118e-05,89,89,89,89,0,0,0,0,0,0,0,0.0,11.163972765332446,0.002307229699345468,,,0.001730100000713719,0.0022347000003719586
0_0_0_10_14_8,awgn,-22.0,,,2101,0,7,756953,756955,2,10,4,9.805608631442118e-05,713,713,713,713,0,0,0,0,0,0,0,0.0,11.204173683210094,0.002248697934094436,,,0.0015367999994850834,0.001957599999514059
0_0_0_10_14_8,awgn,-22.0,,,2101,0,8,761049,761051,2,10,4,9.805608631442118e-05,865,865,865,865,0,0,0,0,0,0,0,0.0,11.75120399724344,0.0025923624040969286,,,0.0012954000003446708,0.002096199999868986
0_0_0_10_14_8,awgn,-22.0,,,2101,0,9,765145,765147,2,10,4,9.805608631442118e-05,405,405,405,405,0,0,0,0,0,0,0,0.0,11.899255217995794,0.0026020556467604037,,,0.0012433000001692562,0.0019274000005680136
0_0_0_10_14_8,awgn,-22.0,,,2101,0,10,769241,769243,2,10,4,9.805608631442118e-05,765,765,765,765,0,0,0,0,0,0,0,0.0,11.703138884669343,0.0025050363165229424,,,0.001330699999925855,0.00222719999965193
0_0_0_10_14_8,awgn,-22.0,,,2101,0,11,773337,773339,2,10,4,9.805608631442118e-05,1023,1023,1023,1023,0,0,0,0,0,0,0,0.0,11.627033476604645,0.0024449125880790213,,,0.0014186999997036764,0.0020980999997846084
0_0_0_10_14_8,awgn,-22.0,,,2101,0,12,777433,777435,2,10,4,9.805608631442118e-05,597,597,597,597,0,0,0,0,0,0,0,0.0,11.481704412626392,0.002382951078706733,,,0.00150370000028488,0.002159699999538134
0_0_0_10_14_8,awgn,-22.0,,,2101,0,13,781529,781531,2,10,4,9.805608631442118e-05,562,562,562,562,0,0,0,0,0,0,0,0.0,12.021481036511899,0.002685083322559352,,,0.0012652999994315905,0.0018799999998009298
0_0_0_10_14_8,awgn,-22.0,,,2101,0,14,785625,785627,2,10,4,9.805608631442118e-05,478,478,478,478,0,0,0,0,0,0,0,0.0,11.099221185822849,0.002191176087966212,,,0.0012357000005067675,0.0021640999993906007
0_0_0_10_14_8,awgn,-22.0,,,2101,0,15,789721,789723,2,10,4,9.805608631442118e-05,267,267,267,267,0,0,0,0,0,0,0,0.0,11.307743546534144,0.0022939917368528526,,,0.0015559999992547091,0.0019557000005079317
0_0_0_10_14_8,awgn,-22.0,,,2101,0,16,793817,793819,2,10,4,9.805608631442118e-05,917,917,917,917,0,0,0,0,0,0,0,0.0,11.093386948360216,0.002176976436283894,,,0.0015026000000943895,0.002271300000757037
0_0_0_10_14_8,awgn,-22.0,,,2101,0,17,797913,797915,2,10,4,9.805608631442118e-05,656,656,656,656,0,0,0,0,0,0,0,0.0,11.801623196775697,0.0025498298487499206,,,0.0013991000005262322,0.0019726999998965766
0_0_0_10_14_8,awgn,-22.0,,,2101,0,18,802009,802011,2,10,4,9.805608631442118e-05,889,889,889,889,0,0,0,0,0,0,0,0.0,11.807759264054782,0.0025978924748181003,,,0.0012736999997287057,0.002185200000894838
0_0_0_10_14_8,awgn,-22.0,,,2101,0,19,806105,806107,2,10,4,9.805608631442118e-05,510,510,510,510,0,0,0,0,0,0,0,0.0,12.257113599272225,0.002803565564130908,,,0.0014983000000938773,0.001976999999897089
0_0_0_10_14_8,awgn,-22.0,,,2101,0,20,810201,810203,2,10,4,9.805608631442118e-05,860,860,860,860,0,0,0,0,0,0,0,0.0,13.032350779285517,0.0033846401666208616,,,0.001287199999751465,0.002331900000172027
0_0_0_10_14_8,awgn,-22.0,,,2101,0,21,814297,814299,2,10,4,9.805608631442118e-05,553,553,553,553,0,0,0,0,0,0,0,0.0,11.551817993868703,0.002430662981107439,,,0.0014624000004914706,0.0019775000000663567
0_0_0_10_14_8,awgn,-22.0,,,2101,0,22,818393,818395,2,10,4,9.805608631442118e-05,629,629,629,629,0,0,0,0,0,0,0,0.0,12.040045603463987,0.0027155231297349407,,,0.0012933999996675993,0.0021538999999393127
0_0_0_10_14_8,awgn,-22.0,,,2101,0,23,822489,822491,2,10,4,9.805608631442118e-05,759,759,759,759,0,0,0,0,0,0,0,0.0,11.450796021111394,0.002406523035125313,,,0.0015675000004193862,0.0019439999996393453
0_0_0_10_14_8,awgn,-22.0,,,2101,0,24,826585,826587,2,10,4,9.805608631442118e-05,874,874,874,874,0,0,0,0,0,0,0,0.0,11.708240198857972,0.0025096576336839454,,,0.0014109000003372785,0.0023206999994727084
0_0_0_10_14_8,awgn,-22.0,,,2101,0,25,830681,830683,2,10,4,9.805608631442118e-05,720,720,720,720,0,0,0,0,0,0,0,0.0,10.870363604687993,0.0021283461007403303,,,0.0015106000000741915,0.0019424000001890818
0_0_0_10_14_8,awgn,-22.0,,,2101,0,26,834777,834779,2,10,4,9.805608631442118e-05,314,314,314,314,0,0,0,0,0,0,0,0.0,11.008235712296226,0.002215726302125405,,,0.0013278999995236518,0.002083899999888672
0_0_0_10_14_8,awgn,-22.0,,,2101,0,27,838873,838875,2,10,4,9.805608631442118e-05,602,602,602,602,0,0,0,0,0,0,0,0.0,11.38276429762891,0.002320533446564278,,,0.0015685999997003819,0.0020257999995010323
0_0_0_10_14_8,awgn,-22.0,,,2101,0,28,842969,842971,2,10,4,9.805608631442118e-05,7,7,7,7,0,0,0,0,0,0,0,0.0,11.976710790046798,0.0026796478748287895,,,0.0012956000000485801,0.001915499999995518
0_0_0_10_14_8,awgn,-22.0,,,2101,0,29,847065,847067,2,10,4,9.805608631442118e-05,610,610,610,610,0,0,0,0,0,0,0,0.0,11.734321247063786,0.002666385690984254,,,0.0012334000002738321,0.002214299999650393
0_0_0_10_14_8,awgn,-22.0,,,2101,0,30,851161,851163,2,10,4,9.805608631442118e-05,839,839,839,839,0,0,0,0,0,0,0,0.0,10.731046923175764,0.002007548370765264,,,0.0014529999998558196,0.002048299999842129
0_0_0_10_14_8,awgn,-22.0,,,2101,0,31,855257,855259,2,10,4,9.805608631442118e-05,913,913,913,913,0,0,0,0,0,0,0,0.0,11.408685667309976,0.0024614870030902113,,,0.001317899999776273,0.002159900000151538
0_0_0_10_14_8,awgn,-22.0,,,2101,0,32,859353,859355,2,10,4,9.805608631442118e-05,764,764,764,764,0,0,0,0,0,0,0,0.0,10.683143086858308,0.0020077612704569106,,,0.0013677999995707069,0.001918199999636272
0_0_0_10_14_8,awgn,-22.0,,,2101,0,33,863449,863451,2,10,4,9.805608631442118e-05,577,577,577,577,0,0,0,0,0,0,0,0.0,11.089525165332955,0.0021971563129458654,,,0.0012700999996013707,0.002154099999643222
0_0_0_10_14_8,awgn,-22.0,,,2101,0,34,867545,867547,2,10,4,9.805608631442118e-05,936,936,936,936,0,0,0,0,0,0,0,0.0,12.13740705111956,0.0028184453957343495,,,0.0015036000004329253,0.0020300999995015445
0_0_0_10_14_8,awgn,-22.0,,,2101,1,0,3228456,3228458,2,10,4,9.805608631442118e-05,222,222,222,222,0,0,0,0,0,0,0,0.0,10.607168997890897,0.001993945845611552,,,0.0014080999999350752,0.002387999999882595
0_0_0_10_14_8,awgn,-22.0,,,2101,1,1,3232552,3232554,2,10,4,9.805608631442118e-05,711,711,711,711,0,0,0,0,0,0,0,0.0,11.80107787515227,0.002668088516240461,,,0.001542100000733626,0.002103700000589015
0_0_0_10_14_8,awgn,-22.0,,,2101,1,2,3236648,3236650,2,10,4,9.805608631442118e-05,871,871,871,871,0,0,0,0,0,0,0,0.0,12.488751388683333,0.002997468704625517,,,0.001357799999823328,0.002284700000018347
