dataset,scenario,snr_db,blocker_isr_db,seed,symbol_count,savaux_errors,alias_trim_errors,savaux_ser,alias_trim_ser,net_fixed_errors,fixes,breaks,gate_count,change_count,gate_rate,change_rate,mean_tone_prominence_db,mean_tone_power_fraction,mean_savaux_seconds,mean_alias_trim_overhead_seconds
0_0_0_10_14_16,awgn,-26.0,,all,1155,455,455,0.3939393939393939,0.3939393939393939,0,0,0,0,0,0.0,0.0,11.515945527079115,0.002459118834404648,0.0011612909956895308,0.0013277089177538932
0_0_0_10_14_16,awgn,-26.0,,2101,385,156,156,0.4051948051948052,0.4051948051948052,0,0,0,0,0,0.0,0.0,11.481661031089493,0.002438069528444347,0.001117476363647079,0.0013092371428648256
0_0_0_10_14_16,awgn,-26.0,,2202,385,150,150,0.38961038961038963,0.38961038961038963,0,0,0,0,0,0.0,0.0,11.567681963943702,0.0024914954305414226,0.0012369792207812078,0.0013630462337743381
0_0_0_10_14_16,awgn,-26.0,,2303,385,149,149,0.38701298701298703,0.38701298701298703,0,0,0,0,0,0.0,0.0,11.498493586204155,0.002447791544228174,0.0011294174026403056,0.0013108433766225156
0_0_0_10_14_16,awgn,-24.0,,all,1155,132,132,0.11428571428571428,0.11428571428571428,0,0,0,0,0,0.0,0.0,11.515913651401721,0.0024589641577531097,0.0011237020779148012,0.0012888042424157933
0_0_0_10_14_16,awgn,-24.0,,2101,385,38,38,0.0987012987012987,0.0987012987012987,0,0,0,0,0,0.0,0.0,11.482007628928033,0.0024383002751267595,0.0011275319480443034,0.001284060779206894
0_0_0_10_14_16,awgn,-24.0,,2202,385,47,47,0.12207792207792208,0.12207792207792208,0,0,0,0,0,0.0,0.0,11.567264403458646,0.0024906578839254904,0.001125558961039487,0.001293938961035482
0_0_0_10_14_16,awgn,-24.0,,2303,385,47,47,0.12207792207792208,0.12207792207792208,0,0,0,0,0,0.0,0.0,11.49846892181848,0.002447934314207078,0.0011180153246606133,0.001288412987005004
0_0_0_10_14_16,awgn,-22.0,,all,1155,13,13,0.011255411255411256,0.011255411255411256,0,0,0,0,0,0.0,0.0,11.515747485803859,0.0024589241634225462,0.001212368398273808,0.0013192154112544672
0_0_0_10_14_16,awgn,-22.0,,2101,385,5,5,0.012987012987012988,0.012987012987012988,0,0,0,0,0,0.0,0.0,11.482355729447638,0.0024380566785001277,0.001336139220809666,0.0013714670129685417
0_0_0_10_14_16,awgn,-22.0,,2202,385,5,5,0.012987012987012988,0.012987012987012988,0,0,0,0,0,0.0,0.0,11.56676006032817,0.0024902478045240317,0.0011876812986954903,0.0013161774025993746
0_0_0_10_14_16,awgn,-22.0,,2303,385,3,3,0.007792207792207792,0.007792207792207792,0,0,0,0,0,0.0,0.0,11.498126667635777,0.002448468007243479,0.0011132846753162675,0.001270001818195485
0_0_0_10_14_32,awgn,-26.0,,all,735,311,311,0.4231292517006803,0.4231292517006803,0,0,0,0,0,0.0,0.0,11.522275290037289,0.0024595369113943766,0.0011656889795866395,0.0013175111564482501
0_0_0_10_14_32,awgn,-26.0,,2101,245,107,107,0.43673469387755104,0.43673469387755104,0,0,0,0,0,0.0,0.0,11.539665933039462,0.0024697639649926386,0.0012049514285573256,0.0013353489795917995
0_0_0_10_14_32,awgn,-26.0,,2202,245,106,106,0.4326530612244898,0.4326530612244898,0,0,0,0,0,0.0,0.0,11.526387385915346,0.0024605706095741546,0.0011445163265270078,0.0013025408162821823
0_0_0_10_14_32,awgn,-26.0,,2303,245,98,98,0.4,0.4,0,0,0,0,0,0.0,0.0,11.500772551157063,0.002448276159616336,0.0011475991836755847,0.0013146436734707688
0_0_0_10_14_32,awgn,-24.0,,all,735,147,147,0.2,0.2,0,0,0,0,0,0.0,0.0,11.523306118899086,0.0024603742025386096,0.0012063915646402066,0.001326609931974646
0_0_0_10_14_32,awgn,-24.0,,2101,245,46,46,0.18775510204081633,0.18775510204081633,0,0,0,0,0,0.0,0.0,11.541309715964996,0.002470837135278043,0.001262019591859473,0.001355652244890326
0_0_0_10_14_32,awgn,-24.0,,2202,245,51,51,0.20816326530612245,0.20816326530612245,0,0,0,0,0,0.0,0.0,11.524443176439888,0.002460165299384865,0.0012225489795851825,0.0013349697959302849
0_0_0_10_14_32,awgn,-24.0,,2303,245,50,50,0.20408163265306123,0.20408163265306123,0,0,0,0,0,0.0,0.0,11.504165464292374,0.0024501201729529207,0.0011346061224759645,0.0012892077551033272
0_0_0_10_14_32,awgn,-22.0,,all,735,94,94,0.12789115646258503,0.12789115646258503,0,0,0,0,0,0.0,0.0,11.521478658789414,0.0024593900215692317,0.0011415586394541853,0.0012904857142919874
0_0_0_10_14_32,awgn,-22.0,,2101,245,31,31,0.12653061224489795,0.12653061224489795,0,0,0,0,0,0.0,0.0,11.540886847156644,0.0024710579970048897,0.0011549742857118407,0.001312675918401213
0_0_0_10_14_32,awgn,-22.0,,2202,245,31,31,0.12653061224489795,0.12653061224489795,0,0,0,0,0,0.0,0.0,11.521573517766067,0.002457709357020774,0.0011198253061444788,0.0012662910204068924
0_0_0_10_14_32,awgn,-22.0,,2303,245,32,32,0.1306122448979592,0.1306122448979592,0,0,0,0,0,0.0,0.0,11.501975611445529,0.002449402710682031,0.0011498763265062363,0.0012924902040678569
0_0_0_10_14_8,awgn,-26.0,,all,1050,428,428,0.4076190476190476,0.4076190476190476,0,0,0,0,0,0.0,0.0,11.506137944600415,0.0024492159472842066,0.0012050551428685486,0.0015091845714275787
0_0_0_10_14_8,awgn,-26.0,,2101,350,132,132,0.37714285714285717,0.37714285714285717,0,0,0,0,0,0.0,0.0,11.50672233119302,0.002448187824892207,0.0012899694285832604,0.0016630862857216146
0_0_0_10_14_8,awgn,-26.0,,2202,350,137,137,0.3914285714285714,0.3914285714285714,0,0,0,0,0,0.0,0.0,11.489601850671676,0.002439462690556169,0.0011913242857112241,0.0015285062857115657
