dataset,target_snr_db,packet_count,center_symbol_ser,center_symbol_accuracy,center_crc_valid_rate,multi_symbol_ser,multi_symbol_accuracy,multi_crc_valid_rate,v3_symbol_ser,v3_symbol_accuracy,v3_crc_valid_rate,selected_symbol_ser,selected_symbol_accuracy,selected_crc_valid_rate,phase_line_symbol_ser,phase_line_symbol_accuracy,phase_line_crc_valid_rate,phase_line_ser_gain_vs_v3,selected_ser_gain_vs_center,selected_crc_gain_vs_center,selected_ser_gain_vs_multi,selected_crc_gain_vs_multi,mean_phase_line_false_lock_rate,mean_phase_line_uncertain_candidate_recall,mean_phase_line_rmse_pi,mean_phase_line_r2
0_0_0_10_14_16,-24.0,11,0.0025974025974025974,0.9974025974025974,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0025974025974025974,0.9974025974025974,0.9090909090909091,-0.0025974025974025974,0.0,-0.09090909090909094,-0.0025974025974025974,-0.09090909090909094,0.0,0.36363636363636365,0.2337336466098945,0.9387242007374641
0_0_0_10_14_16,-25.0,11,0.018181818181818184,0.9818181818181819,0.6363636363636364,0.0,1.0,1.0,0.0,1.0,1.0,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0025974025974025974,0.9974025974025974,0.9090909090909091,-0.0025974025974025974,0.015584415584415586,0.2727272727272727,-0.0025974025974025974,-0.09090909090909094,0.0,0.45454545454545453,0.23256619620816937,0.9387781722345466
0_0_0_10_14_16,-26.0,11,0.05454545454545454,0.9454545454545454,0.2727272727272727,0.0,1.0,1.0,0.0,1.0,1.0,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0025974025974025974,0.9974025974025974,0.9090909090909091,-0.0025974025974025974,0.051948051948051945,0.6363636363636364,-0.0025974025974025974,-0.09090909090909094,0.0,0.6363636363636364,0.23335043729666538,0.9382621291306006
0_0_0_10_14_16,-27.0,11,0.12207792207792206,0.8779220779220779,0.18181818181818182,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0,1.0,1.0,0.018181818181818184,0.9818181818181819,0.45454545454545453,0.018181818181818184,0.9818181818181819,0.45454545454545453,-0.018181818181818184,0.10389610389610388,0.2727272727272727,-0.015584415584415586,-0.45454545454545453,0.0,0.9090909090909091,0.20694804202005154,0.9002261295630927
0_0_0_10_14_16,-28.0,11,0.2337662337662338,0.7662337662337663,0.0,0.01038961038961039,0.9896103896103896,0.6363636363636364,0.0,1.0,1.0,0.05714285714285714,0.942857142857143,0.09090909090909091,0.05714285714285714,0.942857142857143,0.09090909090909091,-0.05714285714285714,0.17662337662337665,0.09090909090909091,-0.046753246753246755,-0.5454545454545454,0.0,1.0,0.20989842068315986,0.8996909130932582
mean_of_datasets,-24.0,11,0.0025974025974025974,0.9974025974025974,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0025974025974025974,0.9974025974025974,0.9090909090909091,-0.0025974025974025974,0.0,-0.09090909090909094,-0.0025974025974025974,-0.09090909090909094,0.0,0.36363636363636365,0.2337336466098945,0.9387242007374641
mean_of_datasets,-25.0,11,0.018181818181818184,0.9818181818181819,0.6363636363636364,0.0,1.0,1.0,0.0,1.0,1.0,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0025974025974025974,0.9974025974025974,0.9090909090909091,-0.0025974025974025974,0.015584415584415586,0.2727272727272727,-0.0025974025974025974,-0.09090909090909094,0.0,0.45454545454545453,0.23256619620816937,0.9387781722345466
mean_of_datasets,-26.0,11,0.05454545454545454,0.9454545454545454,0.2727272727272727,0.0,1.0,1.0,0.0,1.0,1.0,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0025974025974025974,0.9974025974025974,0.9090909090909091,-0.0025974025974025974,0.051948051948051945,0.6363636363636364,-0.0025974025974025974,-0.09090909090909094,0.0,0.6363636363636364,0.23335043729666538,0.9382621291306006
mean_of_datasets,-27.0,11,0.12207792207792206,0.8779220779220779,0.18181818181818182,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0,1.0,1.0,0.018181818181818184,0.9818181818181819,0.45454545454545453,0.018181818181818184,0.9818181818181819,0.45454545454545453,-0.018181818181818184,0.10389610389610388,0.2727272727272727,-0.015584415584415586,-0.45454545454545453,0.0,0.9090909090909091,0.20694804202005154,0.9002261295630927
mean_of_datasets,-28.0,11,0.2337662337662338,0.7662337662337663,0.0,0.01038961038961039,0.9896103896103896,0.6363636363636364,0.0,1.0,1.0,0.05714285714285714,0.942857142857143,0.09090909090909091,0.05714285714285714,0.942857142857143,0.09090909090909091,-0.05714285714285714,0.17662337662337665,0.09090909090909091,-0.046753246753246755,-0.5454545454545454,0.0,1.0,0.20989842068315986,0.8996909130932582
